ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,C_COMUN_PAN_PRD_PRS_PHBCS,PRI,PT,PVEM,MC,NA,MORENA,ES,BCSC,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,11,56,5165,850,2120,1042,0,168,5819,236,608,71,,1817,,,17896,7,642,18545,35350,
3,BAJA CALIFORNIA SUR,2,LA PAZ,45,65,4941,2070,362,1471,1075,302,6607,374,583,134,2243,,,,20162,14,1004,21180,34497,
3,BAJA CALIFORNIA SUR,3,LA PAZ,39,65,5485,1506,553,698,352,462,8014,459,1093,179,,,,,18801,17,991,19809,32336,
3,BAJA CALIFORNIA SUR,4,LA PAZ,35,69,4831,1157,442,712,471,569,9598,575,937,201,,,,,19493,21,702,20216,37466,
3,BAJA CALIFORNIA SUR,5,LA PAZ,37,68,5027,1906,384,1135,469,470,7948,692,1077,482,,,,,19590,39,909,20538,33423,
3,BAJA CALIFORNIA SUR,6,LA PAZ,33,70,3441,1139,474,3149,246,486,7126,315,636,182,,,,,17194,0,881,18075,31884,
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,31,63,2915,1578,2494,1045,0,299,6380,210,450,60,,,,,15431,14,654,16099,33173,
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,22,56,3806,710,4122,693,0,233,6723,247,1261,47,,,,,17842,34,598,18474,35147,
3,BAJA CALIFORNIA SUR,9,CABO SAN LUCAS,30,60,2827,529,3758,705,0,185,5729,216,699,44,,,,,14692,6,804,15502,32948,
3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,29,55,4112,2366,310,232,174,1253,5693,380,292,264,,,,,15076,8,783,15867,27571,
3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,43,59,4805,3782,338,335,463,211,5617,363,222,180,,,,,16316,15,787,17118,26095,
3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,17,58,3982,1772,4840,784,0,384,5135,235,310,91,,,,,17533,10,752,18295,31767,
3,BAJA CALIFORNIA SUR,13,LORETO,31,64,7044,2173,626,1578,0,2621,3139,316,349,0,,,,,17846,4,1264,19114,28804,
3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,23,46,3528,1378,361,397,0,1873,4787,721,104,0,,,,,13149,0,726,13875,24179,
3,BAJA CALIFORNIA SUR,15,LA PAZ,34,60,5793,2215,390,614,394,1468,7624,446,1447,199,,,1220,,21810,17,818,22645,33424,
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,23,64,3998,787,3572,740,0,350,6679,254,1573,47,,,,1076,19076,18,675,19769,38082,
