ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,C_COMUN_PAN_PRD_PRS_PHBCS,PRI,PT,PVEM,MC,NA,MORENA,ES,MORENA_ES,BCSC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,11,56,5165,850,2120,1042,0,168,,,6126,608,0,1817,,,17896,7,642,18545,35350,
3,BAJA CALIFORNIA SUR,2,LA PAZ,45,65,4941,2070,362,1471,1075,302,,,7115,583,2243,,,,20162,14,1004,21180,34497,
3,BAJA CALIFORNIA SUR,3,LA PAZ,39,65,5485,1506,553,698,352,462,,,8652,1093,,,,,18801,17,991,19809,32336,
3,BAJA CALIFORNIA SUR,4,LA PAZ,35,69,4831,1157,442,712,471,569,,,10374,937,,,,,19493,21,702,20216,37466,
3,BAJA CALIFORNIA SUR,5,LA PAZ,37,68,5027,1906,384,1135,469,470,,,9122,1077,,,,,19590,39,909,20538,33423,
3,BAJA CALIFORNIA SUR,6,LA PAZ,33,70,3441,1139,474,3149,246,486,,,7623,636,,,,,17194,0,881,18075,31884,
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,31,63,2915,1578,2494,1045,0,299,,,6650,450,,,,,15431,14,654,16099,33173,
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,22,56,3806,710,4122,693,0,233,,,7017,1261,,,,,17842,34,598,18474,35147,
3,BAJA CALIFORNIA SUR,9,CABO SAN LUCAS,30,60,2827,529,3758,705,0,185,,,5989,699,,,,,14692,6,804,15502,32948,
3,BAJA CALIFORNIA SUR,10,CD. CONSTITUCION,29,55,4112,2366,310,232,174,1253,,,6337,292,,,,,15076,8,783,15867,27571,
3,BAJA CALIFORNIA SUR,11,CD. CONSTITUCION,43,59,4888,3820,347,341,472,220,,,6360,233,,,,,16681,15,787,17483,26095,
3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,17,58,3982,1772,4840,784,0,384,,,5461,310,,,,,17533,10,752,18295,31767,
3,BAJA CALIFORNIA SUR,13,LORETO,31,64,7144,2196,643,1596,0,2632,3305,319,,362,,,,,18197,4,1326,19527,28804,
3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,23,46,3528,1378,361,397,0,1873,4787,721,,104,,,,,13149,0,726,13875,24179,
3,BAJA CALIFORNIA SUR,15,LA PAZ,34,60,5793,2215,390,614,394,1468,,,8269,1447,,,1220,,21810,18,951,22779,33424,
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,23,64,3998,787,3572,740,0,350,,,6980,1573,,,0,1076,19076,18,675,19769,38082,
