ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PRI_PVEM_NVA_ALIANZA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
6,COLIMA,1,NO ESTABLECIDO ACUERDO 24/2014,15,50,0,6468,5131,384,1249,475,2199,811,543,232,164,9,17656,617,18282,30126,0.6069
6,COLIMA,2,NO ESTABLECIDO ACUERDO 24/2014,43,76,0,9878,0,691,2189,684,1859,8012,699,401,342,17,24755,1149,25921,39721,0.6526
6,COLIMA,3,NO ESTABLECIDO ACUERDO 24/2014,27,70,0,6797,6286,439,2916,473,933,610,313,275,0,7,19042,849,19898,33022,0.6026
6,COLIMA,4,NO ESTABLECIDO ACUERDO 24/2014,24,61,0,8013,8148,465,495,619,856,598,386,197,235,7,20012,599,20618,32132,0.6417
6,COLIMA,5,NO ESTABLECIDO ACUERDO 24/2014,29,67,9613,8313,0,446,0,841,1458,0,390,248,209,12,21518,595,22125,35297,0.6268
6,COLIMA,6,NO ESTABLECIDO ACUERDO 24/2014,21,59,8823,7189,0,1392,0,493,895,0,446,309,0,7,19549,558,20114,30953,0.6498
6,COLIMA,7,NO ESTABLECIDO ACUERDO 24/2014,17,54,6223,7631,0,705,0,1645,1538,0,584,443,217,15,18986,593,19594,33223,0.5898
6,COLIMA,8,NO ESTABLECIDO ACUERDO 24/2014,36,57,7241,6482,0,429,0,413,2327,0,524,342,238,15,17996,401,18412,30951,0.5949
6,COLIMA,9,NO ESTABLECIDO ACUERDO 24/2014,26,50,0,3643,5071,1357,3303,305,278,0,351,422,61,2,14791,639,15432,25481,0.6056
6,COLIMA,10,NO ESTABLECIDO ACUERDO 24/2014,19,43,5181,6532,0,201,0,457,817,0,641,223,129,2,14181,353,14536,25485,0.5704
6,COLIMA,11,NO ESTABLECIDO ACUERDO 24/2014,14,56,6138,8472,0,300,0,675,836,0,567,257,629,10,17874,431,18315,33539,0.5461
6,COLIMA,12,NO ESTABLECIDO ACUERDO 24/2014,17,54,6834,8447,0,461,0,394,829,0,377,355,547,5,18244,422,18671,32784,0.5695
6,COLIMA,13,NO ESTABLECIDO ACUERDO 24/2014,26,56,6564,8554,0,234,0,383,560,0,425,290,442,11,17452,505,17968,32122,0.5594
6,COLIMA,14,NO ESTABLECIDO ACUERDO 24/2014,20,65,0,9217,5885,209,2428,576,669,402,377,224,442,4,20429,662,21095,34942,0.6037
6,COLIMA,15,NO ESTABLECIDO ACUERDO 24/2014,16,41,5001,5913,0,468,0,356,949,0,471,159,121,4,13438,342,13784,24951,0.5524
6,COLIMA,16,NO ESTABLECIDO ACUERDO 24/2014,20,44,6233,5469,0,186,0,258,547,0,197,161,64,3,13115,277,13395,23802,0.5628
