ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
6,COLIMA,6,ARMERIA,21,41,2563,4158,1267,3164,263,179,0,287,400,47,0,1,12328,530,12859,20876,0.616
6,COLIMA,1,COLIMA,91,218,26413,13407,1809,5710,2148,6035,9770,1877,1036,676,95,42,68976,2840,71858,117846,0.6098
6,COLIMA,2,COMALA,13,32,4620,5128,247,152,283,227,310,125,47,113,0,1,11252,291,11544,15950,0.7238
6,COLIMA,3,COQUIMATLAN,15,33,4454,4747,75,62,263,396,60,52,91,39,80,3,10319,236,10558,15445,0.6836
6,COLIMA,4,CUAUHTEMOC,18,43,5405,6215,1152,123,256,253,152,220,152,0,121,1,14049,358,14408,21876,0.6586
6,COLIMA,7,IXTLAHUACAN,8,12,589,1695,76,1148,62,18,43,16,29,0,0,0,3676,134,3810,4875,0.7815
6,COLIMA,8,MANZANILLO,70,216,33064,20602,1196,2539,2001,2802,1063,1733,1112,2016,568,30,68696,1881,70607,126616,0.5576
6,COLIMA,9,MINATITLAN,7,15,1626,1954,8,1452,27,92,73,13,14,44,0,0,5305,139,5444,6771,0.804
6,COLIMA,10,TECOMAN,60,137,18994,15910,945,622,1113,2412,372,1373,565,328,563,10,43197,1081,44288,78843,0.5617
6,COLIMA,5,VILLA DE ALVAREZ,67,156,19290,15904,1592,1228,2631,5136,1811,1595,1092,577,386,42,51242,1502,52786,89433,0.5902
