CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,PAN,PRI,PRD,PT,PVEM,MC,CPP,MORENA,PES,PRD_MC_CPP,PRD_MC,PRD_CPP,MC_CPP,PT_PVEM_MORENA_PES,PT_PVEM_MORENA,PT_PVEM_PES,PT_MORENA_PES,PVEM_MORENA_PES,PT_PVEM,PT_MORENA,PT_PES,PVEM_MORENA,PVEM_PES,MORENA_PES,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,COMPUTADA,MECANISMOS_TRASLADO,FECHA_HORA
'210857B0100',210857B010044,21,PUEBLA,107,OCOYUCAN,857,1,B,0,Rural,3,43,137,92,7,1,1,5,60,0,13,3,3,0,2,0,0,0,0,1,1,0,1,0,0,0,16,386,606,Cotejo (Levantada en Casilla),Si,D,02:08.0
'210857C0100',210857C010045,21,PUEBLA,107,OCOYUCAN,857,1,C,0,Rural,3,54,145,74,9,4,2,6,55,1,7,0,2,0,0,2,0,0,0,1,2,0,0,0,0,0,13,377,606,Cotejo (Levantada en Casilla),Si,D,09:15.2
'210857C0200',210857C020046,21,PUEBLA,107,OCOYUCAN,857,2,C,0,Rural,3,48,124,76,1,1,4,5,71,0,1,2,5,0,0,1,0,1,0,0,1,0,0,0,1,0,14,356,605,Cotejo (Levantada en Consejo Distrital),Si,D,37:53.2
'210857C0300',210857C030047,21,PUEBLA,107,OCOYUCAN,857,3,C,0,Rural,3,43,204,83,4,2,0,8,37,0,4,1,3,8,1,4,1,3,0,0,0,0,2,0,0,0,12,420,605,Cotejo (Levantada en Consejo Distrital),Si,D,45:35.6
'210858B0100',210858B010048,21,PUEBLA,107,OCOYUCAN,858,1,B,0,Rural,3,56,124,89,9,1,2,8,90,1,8,1,2,0,3,2,0,0,1,1,1,0,2,0,0,0,11,412,676,Cotejo (Levantada en Consejo Distrital),Si,D,50:01.6
'210858C0100',210858C010049,21,PUEBLA,107,OCOYUCAN,858,1,C,0,Rural,3,43,121,85,2,1,2,10,87,1,8,4,3,2,1,3,0,0,0,0,1,0,1,0,0,0,23,398,676,Cotejo (Levantada en Consejo Distrital),Si,D,08:57.4
'210858C0200',210858C020055,21,PUEBLA,107,OCOYUCAN,858,2,C,0,Rural,3,50,115,98,13,2,2,11,80,1,8,3,3,0,2,5,0,1,0,2,3,0,1,0,1,0,18,419,676,Cotejo (Levantada en Consejo Distrital),Si,D,30:27.5
'210858C0300',210858C030058,21,PUEBLA,107,OCOYUCAN,858,3,C,0,Rural,3,52,145,78,4,0,2,9,96,0,7,2,0,3,3,2,0,1,1,0,2,0,1,0,1,0,6,415,675,Cotejo (Levantada en Consejo Distrital),Si,D,40:37.7
'210858E0100',210858E010050,21,PUEBLA,107,OCOYUCAN,858,1,E,0,Rural,3,276,26,2,0,0,6,1,32,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,351,659,Cotejo (Levantada en Consejo Distrital),Si,D,54:42.4
'210858E0101',210858E010151,21,PUEBLA,107,OCOYUCAN,858,1,E,1,Rural,3,244,36,3,0,3,10,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,330,659,Cotejo (Levantada en Consejo Distrital),Si,D,08:29.3
'210858E0102',210858E010252,21,PUEBLA,107,OCOYUCAN,858,1,E,2,Rural,3,255,27,4,1,3,6,2,39,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,344,659,Cotejo (Levantada en Casilla),Si,D,05:13.5
