CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,PAN,PRI,PRD,PT,PVEM,MC,CPP,MORENA,PES,PAN_PRD_MC_CPP,PAN_PRD_MC,PAN_PRD_CPP,PAN_MC_CPP,PRD_MC_CPP,PAN_PRD,PAN_MC,PAN_CPP,PRD_MC,PRD_CPP,MC_CPP,PT_PVEM_MORENA_PES,PT_PVEM_MORENA,PT_PVEM_PES,PT_MORENA_PES,PVEM_MORENA_PES,PT_PVEM,PT_MORENA,PT_PES,PVEM_MORENA,PVEM_PES,MORENA_PES,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,COMPUTADA,MECANISMOS_TRASLADO,FECHA_HORA
'210262B0100',210262B010015,21,PUEBLA,29,CAÑADA MORELOS,262,1,B,0,Urbana,3,44,205,1,12,4,5,10,90,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,13,395,623,Cotejo (Levantada en Consejo Distrital),Si,F-D,35:12.1
'210262C0100',210262C010016,21,PUEBLA,29,CAÑADA MORELOS,262,1,C,0,Urbana,3,39,219,4,12,1,2,13,92,0,6,0,3,1,0,1,0,7,1,0,0,2,2,1,2,0,1,6,0,1,0,2,0,11,429,622,Cotejo (Levantada en Consejo Distrital),Si,F-D,35:49.8
'210262C0200',210262C020017,21,PUEBLA,29,CAÑADA MORELOS,262,2,C,0,Urbana,3,39,182,1,11,3,4,10,78,10,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,1,1,0,0,1,11,362,622,Cotejo (Levantada en Consejo Distrital),Si,F-D,36:02.9
'210263B0100',210263B010018,21,PUEBLA,29,CAÑADA MORELOS,263,1,B,0,Urbana,3,36,154,3,6,3,3,10,64,0,2,0,2,0,0,1,0,0,0,1,0,1,3,0,0,1,0,1,0,0,0,0,0,8,299,514,Cotejo (Levantada en Casilla),Si,F-D,11:39.9
'210263C0100',210263C010019,21,PUEBLA,29,CAÑADA MORELOS,263,1,C,0,Urbana,3,28,165,4,7,1,1,9,49,1,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23,295,513,Cotejo (Levantada en Casilla),Si,F-D,57:11.7
'210263C0200',210263C020020,21,PUEBLA,29,CAÑADA MORELOS,263,2,C,0,Urbana,3,30,163,1,7,2,5,11,53,2,3,2,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,1,0,13,300,513,Cotejo (Levantada en Casilla),Si,F-D,58:13.0
'210264B0100',210264B010021,21,PUEBLA,29,CAÑADA MORELOS,264,1,B,0,Rural,3,46,169,5,6,2,3,4,69,2,1,1,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,10,330,569,Cotejo (Levantada en Casilla),Si,F-D,59:06.8
'210264C0100',210264C010022,21,PUEBLA,29,CAÑADA MORELOS,264,1,C,0,Rural,3,29,196,2,7,1,3,8,56,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,315,569,Cotejo (Levantada en Consejo Distrital),Si,F-D,37:05.3
'210264E0100',210264E010023,21,PUEBLA,29,CAÑADA MORELOS,264,1,E,0,Rural,3,16,115,1,3,3,3,4,22,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,182,299,Cotejo (Levantada en Casilla),Si,F-D,59:55.6
'210265B0100',210265B010024,21,PUEBLA,29,CAÑADA MORELOS,265,1,B,0,Rural,3,32,219,6,16,2,4,8,83,0,2,1,0,1,0,0,1,1,0,0,0,2,0,0,1,1,4,3,0,1,0,0,0,15,403,671,Cotejo (Levantada en Consejo Distrital),Si,F-D,38:40.6
'210265C0100',210265C010025,21,PUEBLA,29,CAÑADA MORELOS,265,1,C,0,Rural,3,38,212,5,10,5,7,6,70,0,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,8,372,671,Cotejo (Levantada en Consejo Distrital),Si,F-D,38:56.2
