SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
799,B1,9,4,1,4,1,5,20,2,61,44,10,2,52,6,0,2,0,1,0,4,0,58,0,0,2,1,1,1,0,8,299,689
799,C1,5,3,2,4,1,10,34,2,49,44,3,1,53,6,0,0,0,2,0,8,0,45,0,0,6,4,1,3,0,12,298,689
799,C2,3,12,1,3,3,7,10,1,54,27,2,1,58,9,0,0,0,1,0,4,0,39,0,0,7,1,2,1,0,20,266,688
799,C3,4,14,1,5,2,7,21,0,48,36,5,1,43,5,0,1,0,3,1,2,0,48,1,0,7,0,2,1,1,7,266,688
799,C4,4,8,2,7,0,5,32,1,51,48,6,1,59,9,0,3,1,1,0,7,0,53,3,0,5,1,1,1,0,10,319,688
800,B1,5,13,3,5,0,3,19,0,47,92,2,0,53,12,2,1,0,1,0,2,0,80,1,0,6,1,0,0,0,11,359,613
800,C1,4,9,0,1,1,5,24,1,43,58,5,0,73,6,6,0,0,1,0,2,0,42,1,0,6,0,2,3,0,4,297,612
800,C2,6,4,2,2,1,2,18,2,58,55,2,5,59,4,2,2,0,2,0,3,0,72,1,0,5,1,2,2,0,11,323,612
801,B1,6,11,5,0,1,5,16,3,42,71,2,0,55,8,0,1,0,5,0,4,0,42,0,0,6,2,0,2,0,7,294,526
801,C1,9,13,5,4,1,4,22,0,38,61,1,2,46,4,1,1,0,1,1,0,0,44,2,0,3,0,0,0,1,5,269,525
801,C2,9,11,4,3,1,0,0,0,44,74,2,0,0,0,0,1,0,2,1,1,0,75,0,0,73,0,0,0,0,1,302,525
801,E1,7,5,11,2,1,2,127,1,36,24,1,2,0,0,4,0,1,3,0,0,0,77,1,0,0,0,0,0,0,14,319,610
802,B1,14,14,2,5,1,12,31,1,45,43,2,1,101,10,0,0,1,3,0,1,0,58,2,0,9,3,4,0,0,5,368,724
802,C1,19,17,4,2,1,10,28,0,57,51,2,2,86,3,0,2,0,3,0,1,0,49,2,0,6,0,0,4,0,8,357,723
802,C2,14,13,1,4,1,6,25,1,55,47,6,1,92,7,0,1,0,2,0,1,0,63,0,0,10,3,2,2,1,10,368,723
