SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
623,C2,12,5,2,2,72,14,46,2,9,19,1,2,10,16,8,13,2,0,0,5,0,4,0,3,1,5,0,1,12,266,684
623,C3,5,8,8,6,72,22,42,1,17,8,0,1,3,8,7,9,11,3,22,9,1,2,0,3,0,0,1,0,17,286,684
623,C4,3,7,7,5,44,17,53,2,22,17,0,0,11,12,5,10,10,4,2,3,1,2,0,4,4,2,1,1,10,259,683
624,B1,15,10,7,9,64,14,28,2,12,25,1,0,4,16,3,5,1,3,4,4,2,10,0,1,0,1,0,0,4,245,670
624,C1,18,6,6,7,47,15,48,1,17,20,1,2,7,17,3,6,5,6,1,7,3,4,2,1,1,0,0,0,12,263,670
624,C2,16,11,9,4,61,17,51,1,5,31,0,1,5,15,4,7,10,0,5,7,4,3,2,4,1,2,1,0,5,282,669
625,B1,13,10,3,5,45,11,65,0,40,22,0,1,5,16,5,9,14,1,1,3,1,12,0,2,0,6,1,0,21,312,676
625,C1,14,10,7,3,56,10,64,2,25,29,3,0,5,8,4,24,12,2,1,5,3,12,3,5,1,0,0,1,6,315,676
626,B1,14,6,6,1,41,13,48,1,26,17,0,1,5,11,8,11,9,1,0,7,1,12,0,3,0,0,1,0,10,253,559
626,C1,9,6,5,3,58,18,46,0,25,19,0,2,6,11,4,9,3,0,3,3,0,11,1,1,0,1,1,0,12,257,558
626,C2,16,6,9,3,43,18,42,1,21,27,2,3,1,14,5,17,4,2,4,5,0,11,0,2,0,2,1,1,13,273,558
627,B1,16,7,9,1,38,11,29,2,16,28,1,1,2,11,3,10,4,1,8,1,2,4,0,3,0,0,0,1,16,225,565
627,C1,9,9,2,7,42,19,53,0,21,21,0,4,9,6,5,8,10,1,2,3,4,11,0,0,0,0,0,0,9,255,564
628,B1,27,7,2,2,60,18,61,0,17,6,0,1,9,11,6,13,3,0,5,2,1,7,1,4,2,2,0,0,13,280,629
628,C1,20,8,0,7,70,18,59,0,16,6,4,3,12,13,7,18,4,0,1,4,1,11,1,1,1,2,1,2,9,299,629
629,B1,112,80,3,2,34,34,66,0,10,5,2,6,4,9,4,3,1,2,1,4,1,17,0,1,0,0,0,0,12,413,700
629,C1,114,72,6,4,40,26,68,0,6,6,0,1,3,4,5,7,0,2,1,0,0,7,2,1,0,0,0,0,13,388,700
629,C2,113,73,6,4,38,36,39,4,0,3,6,6,4,0,3,3,1,0,0,0,4,11,0,2,0,0,0,0,6,362,700
630,B1,16,14,3,3,92,18,55,0,28,6,0,1,17,17,3,12,8,2,4,12,1,14,1,1,0,1,1,0,8,338,629
630,C1,19,23,2,10,55,19,55,0,33,13,2,3,17,12,1,8,14,1,11,8,0,14,0,4,0,2,0,0,13,339,628
630,C2,17,17,1,3,75,21,69,4,26,11,0,1,15,18,0,11,6,0,2,6,0,13,0,0,0,0,0,0,7,323,628
630,C3,21,9,2,9,94,20,50,0,25,6,0,2,11,18,3,13,5,0,8,9,1,11,4,0,1,4,2,0,10,338,628
631,B1,10,7,2,5,45,8,53,3,19,15,2,0,6,17,4,12,1,2,11,5,2,2,1,3,1,0,0,0,8,244,526
631,C1,8,10,2,4,52,8,49,0,7,12,1,2,7,7,1,21,0,0,7,4,0,7,2,0,1,0,2,0,9,223,526
631,C2,5,8,5,5,57,3,40,1,23,13,0,6,6,19,3,18,1,1,4,6,0,5,1,4,1,0,0,0,8,243,525
632,B1,3,3,4,8,42,28,33,1,6,19,0,5,6,3,3,10,13,3,2,0,0,7,0,1,0,3,0,0,5,208,559
632,C1,4,6,5,3,53,23,27,1,13,14,0,1,6,10,3,10,16,0,4,5,0,3,1,2,0,0,1,0,13,224,558
632,C2,7,6,4,2,55,22,33,0,8,4,0,2,8,3,6,9,13,1,0,0,3,0,0,0,0,0,0,0,16,202,558
633,B1,12,12,3,4,74,22,38,0,11,38,0,2,3,6,3,4,4,11,2,4,2,3,0,2,0,2,0,0,7,269,574
633,C1,14,4,2,4,67,10,36,2,8,36,0,1,4,8,3,4,1,1,5,0,1,5,0,0,0,0,0,0,39,255,573
633,C2,12,4,5,2,80,13,38,0,0,33,1,0,9,9,2,8,2,6,5,2,0,5,0,2,0,0,0,0,9,247,573
634,B1,29,26,3,6,67,16,47,1,11,16,0,1,5,15,7,9,2,0,5,4,1,12,0,1,0,0,1,3,7,295,600
634,C1,33,25,3,5,68,6,55,1,12,6,0,3,11,18,7,4,3,2,15,3,1,12,0,1,0,1,0,0,8,303,599
634,C2,31,20,4,0,52,20,61,0,19,9,1,0,9,12,9,1,3,1,4,8,1,11,1,2,0,1,0,0,4,284,599
634,E1,38,32,4,9,76,40,37,1,12,5,2,3,7,10,8,8,5,0,1,3,1,11,1,0,0,0,2,0,9,325,639
634,E1 C1,40,22,40,7,55,53,49,4,12,5,0,2,3,10,7,8,3,0,9,5,2,15,2,0,0,0,0,0,17,370,638
634,S1,2,6,0,1,12,3,10,1,2,0,0,1,1,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,50,0
635,B1,7,8,3,3,70,24,66,2,15,17,1,4,5,6,3,12,0,0,3,4,0,5,3,0,0,0,0,0,17,278,692
635,C1,11,13,0,3,57,25,60,1,5,20,1,2,7,8,1,6,0,2,4,1,1,3,1,5,1,2,0,0,12,252,692
635,C2,9,11,3,3,65,26,77,1,7,28,0,3,6,10,3,6,3,1,1,4,3,6,0,4,1,2,1,0,9,293,691
636,B1,10,7,14,3,78,9,38,1,15,8,4,1,14,20,6,16,9,3,1,2,2,1,1,2,0,4,1,0,15,285,636
636,C1,11,7,3,1,75,8,61,1,12,17,2,2,14,22,3,18,3,2,3,1,1,3,1,0,0,0,0,0,7,278,636
636,C2,11,6,7,2,62,15,35,0,8,6,1,0,23,27,7,5,4,0,5,4,6,1,0,4,2,2,4,0,12,259,636
637,B1,6,16,15,6,71,11,64,1,18,34,11,2,10,24,11,6,9,2,0,0,1,15,0,10,0,0,0,0,11,354,737
637,C1,10,8,9,10,66,15,67,2,19,16,10,0,8,24,7,14,2,1,0,0,4,10,0,5,0,2,1,0,13,323,737
638,B1,15,11,8,3,81,13,46,2,14,3,1,4,17,34,11,9,3,0,0,5,0,6,2,5,0,0,0,0,11,304,696
638,C1,12,3,10,5,74,17,50,2,17,11,2,1,22,23,7,9,1,2,1,4,1,6,2,8,3,0,2,0,4,299,695
638,C2,8,7,7,5,76,17,46,2,16,9,1,2,15,19,4,9,4,0,2,0,0,13,2,1,0,0,0,0,12,277,695
639,B1,15,10,6,18,77,20,59,3,19,2,1,5,6,21,5,3,4,0,6,4,0,30,0,3,2,0,2,0,5,326,611
639,C1,20,16,3,20,81,25,48,1,14,6,0,1,6,10,2,4,2,4,3,3,0,31,2,1,1,1,1,0,8,314,611
639,C2,12,10,2,28,70,22,54,2,8,2,3,2,9,20,1,3,6,1,6,6,0,26,1,3,1,1,0,0,5,304,610
640,B1,14,12,4,34,62,16,37,3,11,3,1,1,2,22,1,3,2,2,3,10,3,31,1,5,0,0,0,0,3,286,580
640,C1,17,14,2,32,80,21,50,2,12,3,0,1,7,35,1,2,0,1,2,7,3,26,0,2,2,1,0,0,8,331,580
641,B1,27,11,0,12,114,15,41,0,8,4,0,1,5,24,7,1,5,1,1,2,5,33,2,3,0,3,2,0,5,332,657
641,C1,18,14,2,13,111,12,58,1,14,1,0,1,4,24,5,3,4,1,3,2,6,51,1,4,0,0,1,1,6,361,657
642,B1,6,5,8,2,79,10,28,1,25,8,0,2,5,9,3,7,5,1,2,0,2,17,0,2,1,1,0,0,10,239,529
642,C1,15,6,8,5,65,5,26,3,15,6,2,2,5,8,4,19,5,1,7,3,0,6,1,1,0,1,0,0,8,227,528
642,C2,1,4,2,2,86,15,28,0,20,12,3,0,5,7,2,6,0,0,2,0,0,9,0,1,0,0,0,0,15,220,528
643,B1,2,7,0,1,79,3,29,2,12,3,2,0,4,8,9,4,1,0,0,1,0,6,0,0,0,0,0,0,10,183,396
643,C1,5,2,2,1,65,7,31,0,15,7,2,0,2,8,11,1,0,1,7,1,0,7,0,0,0,0,0,0,5,180,396
644,B1,3,7,4,2,111,20,49,1,13,13,1,1,7,7,7,6,5,0,7,0,1,0,0,3,1,1,0,0,7,277,715
644,C1,10,11,5,4,79,13,45,0,4,17,1,0,9,10,5,4,7,0,2,0,1,3,2,0,0,3,1,0,9,245,715
644,C2,7,13,8,4,79,28,23,1,8,5,0,2,4,8,7,7,4,0,5,1,0,5,3,2,0,1,0,0,12,237,715
644,C3,10,6,5,7,100,18,46,3,8,12,0,3,4,19,2,7,2,0,5,1,0,3,0,2,0,1,1,1,7,273,715
644,C4,7,3,4,4,98,11,54,2,13,9,1,4,7,15,9,7,2,1,12,1,0,4,0,1,1,1,0,0,8,279,714
645,B1,3,10,2,1,92,9,38,2,9,5,2,3,3,9,2,8,10,2,2,0,1,2,1,1,0,0,1,0,6,224,585
645,C1,5,17,4,2,64,12,55,1,2,1,0,1,3,8,5,8,2,5,2,0,0,5,1,1,0,0,1,0,11,216,585
645,C2,3,15,2,4,61,10,51,2,2,4,1,1,3,7,3,10,2,3,5,0,0,0,0,2,0,0,0,0,14,205,584
646,B1,4,10,2,3,56,21,62,2,3,4,0,0,5,9,4,7,6,4,8,1,0,0,0,0,1,1,0,0,2,215,529
646,C1,8,11,0,6,51,11,50,3,8,5,0,2,7,10,1,9,2,2,5,0,0,2,1,1,1,1,0,0,10,207,528
646,C2,4,8,1,2,58,16,40,4,9,2,1,1,5,8,5,8,5,6,10,0,1,1,0,2,0,2,0,0,6,205,528
647,B1,15,16,3,10,79,14,65,2,17,6,2,1,3,9,7,2,4,0,7,2,0,12,1,5,0,1,1,0,13,297,707
647,C1,11,16,6,13,88,14,49,1,17,6,0,2,8,17,3,4,3,2,2,1,1,16,2,2,0,0,0,0,15,299,707
