SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
579,B1,0,32,43,0,23,95,76,0,3,2,20,0,0,1,6,0,42,1,2,0,0,12,0,0,9,367,606
579,C1,0,23,35,0,37,75,77,1,0,0,26,0,1,0,8,1,47,3,0,0,0,30,0,0,8,372,605
579,E1,0,37,53,0,27,100,63,0,0,0,19,0,0,0,20,1,48,3,0,0,0,19,0,0,16,406,732
580,B1,2,29,52,0,17,95,107,0,1,1,4,0,1,1,10,2,34,1,3,0,0,11,0,0,12,383,692
580,C1,0,18,75,0,21,79,80,0,1,2,12,0,3,1,8,4,36,1,2,0,0,9,0,0,7,359,691
580,C2,5,20,78,0,28,103,83,0,3,1,15,0,0,0,10,3,50,3,0,0,0,11,0,0,5,418,691
581,B1,0,30,49,1,25,75,79,0,1,1,15,0,2,0,14,1,67,0,1,1,0,14,1,0,9,386,620
581,C1,3,33,45,0,22,76,71,0,0,0,19,1,7,0,9,1,54,1,1,1,0,21,0,0,13,378,619
582,B1,0,9,58,0,12,90,79,0,0,1,14,0,1,0,18,1,79,0,1,0,0,26,0,0,9,398,585
582,C1,1,11,43,0,13,84,85,1,0,1,4,0,0,0,9,1,72,0,3,0,0,54,0,0,4,386,584
583,B1,6,10,46,0,6,87,125,0,0,1,5,0,0,0,0,2,33,1,9,0,0,19,0,0,3,353,574
583,C1,0,13,61,0,11,99,98,1,1,4,3,0,0,1,1,2,50,0,1,0,0,28,1,0,9,384,573
584,B1,4,26,54,0,29,83,126,0,0,1,3,0,1,1,14,6,43,0,7,0,0,29,0,0,9,436,647
584,C1,2,15,55,0,17,128,121,0,0,1,3,0,4,0,10,2,63,1,8,0,0,21,1,0,6,458,646
585,B1,1,22,46,0,0,66,101,0,2,0,1,0,0,0,10,4,36,1,22,0,0,4,0,0,5,321,619
