SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_psd,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
869,B1,2,4,2,1,44,9,63,1,4,1,1,0,22,78,7,3,0,7,0,0,0,10,0,0,0,7,266,514
869,C1,0,9,0,1,39,18,39,0,10,1,0,0,36,97,3,4,0,7,0,0,0,8,0,0,0,13,285,514
869,C2,2,9,1,1,50,13,58,1,3,0,1,1,47,84,6,4,1,3,1,0,0,7,0,0,0,4,297,514
870,B1,8,16,0,0,40,25,52,1,2,10,0,2,20,131,7,11,0,11,0,0,0,3,0,0,0,5,344,554
870,C1,8,15,1,4,75,15,45,0,5,4,0,0,20,133,6,7,0,8,0,0,0,2,0,0,0,9,357,554
870,C2,5,18,1,2,58,18,50,3,6,9,0,1,24,131,2,8,2,6,0,0,0,2,0,0,0,5,351,553
871,B1,4,22,0,2,108,27,76,0,7,7,0,0,22,125,7,18,0,10,0,0,0,2,0,0,0,6,443,716
871,C1,7,30,1,0,79,18,73,1,11,2,0,0,53,107,5,13,0,9,1,0,0,3,0,0,0,5,418,716
872,B1,4,11,1,2,53,18,33,2,12,5,0,1,21,87,4,10,0,13,0,0,0,10,0,0,0,0,287,463
873,B1,2,15,0,0,59,16,77,0,8,3,0,0,31,99,6,5,1,2,2,0,0,8,0,0,0,19,353,650
873,C1,2,15,3,1,100,14,93,1,4,3,0,1,26,98,2,3,0,6,3,0,0,8,0,0,0,6,389,650
873,C2,0,23,1,1,82,16,63,2,2,7,0,0,47,88,1,3,0,0,4,0,0,8,0,0,0,7,355,649
874,B1,3,23,3,2,93,21,85,1,11,17,0,0,35,112,6,7,0,6,3,0,0,4,0,0,0,0,432,726
874,C1,6,21,3,1,83,23,129,2,26,14,0,0,23,105,2,2,0,11,2,1,0,8,0,0,0,2,464,726
875,B1,4,18,1,2,56,12,51,0,9,2,0,0,16,82,6,2,0,13,1,0,0,2,0,0,0,5,282,487
875,C1,5,13,1,1,56,13,71,0,11,1,0,0,17,109,4,2,0,14,0,0,0,1,0,0,0,5,324,486
876,B1,4,32,1,1,51,5,83,0,4,6,0,0,22,40,4,1,0,11,0,0,0,2,0,0,0,7,274,473
876,C1,3,27,1,0,58,18,75,1,3,3,2,1,21,41,1,3,0,16,1,0,0,4,0,0,0,2,281,472
876,S1,0,4,0,0,7,1,0,0,2,1,7,0,11,12,0,0,0,2,0,0,0,0,0,0,0,2,49,0
877,B1,3,16,0,1,35,6,71,0,10,6,0,0,16,47,2,0,0,5,0,0,0,2,0,0,0,4,224,307
878,B1,4,18,6,4,47,22,42,1,12,4,0,0,28,43,2,0,0,13,0,0,0,2,1,0,0,3,252,390
879,B1,2,12,1,2,58,17,66,0,4,2,0,0,20,86,2,4,0,10,17,0,0,2,0,0,0,4,309,543
