SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
44,B1,114,6,1,1,4,1,111,3,12,6,2,4,8,5,0,0,3,4,0,2,4,1,1,0,3,0,3,1,0,14,314,652
44,C1,109,5,2,2,5,3,107,8,10,3,0,4,6,3,1,2,2,8,0,1,5,0,0,0,9,2,3,0,0,11,311,652
44,C2,111,8,0,1,3,5,102,4,10,6,4,1,7,4,0,3,4,4,0,0,1,0,1,0,2,0,3,0,0,15,299,651
45,B1,160,8,4,3,4,1,113,6,4,1,1,9,9,6,0,0,2,0,1,1,2,1,0,0,8,1,1,1,0,6,353,587
45,C1,135,6,3,4,13,1,133,4,7,3,2,7,10,4,1,1,5,1,0,1,3,0,1,0,6,0,0,0,0,5,356,587
45,C2,170,5,3,3,7,3,104,2,3,2,3,8,4,9,0,0,3,1,2,4,4,0,0,0,4,3,1,0,0,10,358,587
45,C3,152,8,5,1,8,4,132,6,4,3,2,6,7,1,0,2,5,1,0,0,2,0,0,0,6,0,3,0,0,5,363,587
46,B1,178,1,1,2,2,5,91,0,2,8,0,4,7,4,0,0,3,0,0,1,1,1,0,0,8,2,4,0,2,15,342,593
46,C1,179,4,1,3,1,0,101,2,1,7,3,2,7,3,0,2,2,0,0,2,1,3,0,0,5,0,0,0,0,5,334,592
47,B1,99,6,1,1,2,4,102,1,3,1,1,2,4,4,0,1,4,4,0,2,0,0,0,3,3,2,0,0,0,16,266,535
47,C1,105,7,0,1,1,4,72,1,2,1,0,2,6,3,1,0,2,6,0,0,1,1,0,0,6,1,1,0,0,19,243,534
47,C2,123,9,2,0,2,4,87,1,2,1,1,4,9,6,0,0,10,5,0,0,0,0,0,0,1,1,4,2,0,7,281,534
48,B1,143,5,4,1,4,3,61,1,4,2,3,3,2,1,0,2,0,0,0,1,0,0,0,0,7,1,1,0,0,5,254,568
48,C1,120,6,1,2,4,5,80,5,1,1,0,9,2,3,0,0,2,0,0,0,1,0,2,0,3,0,1,0,0,9,257,568
48,C2,115,5,1,3,3,3,64,3,3,3,1,7,6,2,1,0,2,2,1,0,4,1,2,0,3,0,1,0,0,15,251,567
49,B1,214,26,0,4,12,3,144,1,5,2,1,24,7,11,0,0,2,0,0,6,0,0,1,0,2,1,4,0,0,7,477,729
49,C1,214,29,1,3,1,15,151,4,7,0,1,11,13,7,0,1,0,1,0,8,0,1,1,2,0,0,0,0,0,10,481,728
50,B1,195,19,0,1,3,0,131,1,6,0,0,13,13,4,0,0,0,1,0,3,0,0,0,1,3,0,1,0,0,12,407,741
50,C1,183,14,0,3,2,3,135,4,6,4,1,11,8,4,0,2,4,3,0,6,2,0,0,2,7,0,1,0,0,17,422,741
51,B1,120,21,7,0,1,8,127,1,5,0,0,3,8,4,1,1,1,1,0,0,1,0,0,1,5,1,3,0,0,8,328,486
51,C1,140,20,1,2,2,6,133,4,2,1,0,6,9,6,0,1,2,4,0,1,0,0,0,0,3,0,0,0,0,2,345,486
52,B1,170,0,2,1,1,5,88,2,8,2,3,4,7,0,0,2,4,2,0,3,1,1,0,0,6,2,2,1,1,7,325,564
52,C1,161,6,3,0,2,4,79,0,3,1,0,11,8,0,0,0,3,2,0,5,0,0,2,0,2,1,1,1,0,7,302,564
52,C2,133,5,1,1,2,2,80,3,3,1,0,4,4,4,0,0,1,3,0,4,2,0,0,0,5,3,2,0,0,7,270,563
53,B1,106,16,3,0,2,7,86,2,6,0,0,9,9,4,0,1,0,3,0,1,2,0,7,1,4,0,0,1,0,10,280,463
54,B1,78,8,0,49,1,8,152,3,4,0,2,5,5,2,0,0,3,0,0,0,2,0,0,0,2,2,0,0,0,9,335,696
54,C1,100,3,1,39,2,4,131,1,5,0,1,4,4,3,0,0,2,0,0,0,2,0,2,0,4,0,1,0,0,8,317,696
55,B1,53,1,2,37,5,1,92,4,4,0,2,3,1,5,0,0,0,0,0,1,3,0,1,1,4,1,0,0,0,9,230,644
55,C1,71,1,0,28,2,6,86,3,3,4,0,2,3,2,0,0,3,3,0,1,5,1,0,0,5,0,1,1,1,12,244,644
55,C2,94,3,0,28,1,1,67,4,3,0,0,2,2,2,0,0,3,1,0,2,9,0,2,0,1,1,0,0,0,6,232,644
55,E1,73,5,0,6,1,5,71,2,3,1,1,1,4,2,1,0,4,1,1,0,0,1,2,0,5,1,0,0,0,14,205,493
55,E1 C1,72,8,2,12,3,3,52,0,3,1,1,1,3,1,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,6,178,492
56,B1,81,8,0,42,5,3,131,2,3,2,0,1,6,8,0,0,2,0,0,3,1,0,1,0,4,0,1,0,0,11,315,689
56,C1,106,8,0,49,4,12,114,6,1,0,0,4,3,4,0,0,2,0,0,4,1,0,0,0,5,0,3,0,0,13,339,688
57,B1,101,4,0,35,9,10,103,0,6,0,0,2,4,2,0,1,3,3,0,1,4,0,0,0,7,0,2,0,0,8,305,684
57,C1,90,2,1,32,7,18,110,0,1,1,0,2,8,2,0,0,4,0,0,0,0,0,2,1,3,1,2,1,0,15,303,684
58,B1,94,9,5,52,18,3,115,1,5,0,0,6,5,3,0,0,4,1,0,0,2,0,2,0,2,1,3,1,0,8,340,692
58,C1,134,6,0,54,9,8,84,1,3,1,0,5,4,5,0,2,2,6,0,1,0,0,1,1,5,0,1,0,0,13,346,692
59,B1,123,4,4,28,3,8,98,5,4,1,1,6,7,4,0,0,11,1,1,1,2,0,1,0,6,1,1,1,0,12,334,745
59,C1,93,4,0,34,4,6,106,1,4,4,1,2,2,1,1,0,8,3,0,0,3,0,0,0,3,0,1,0,0,5,286,745
59,C2,116,6,2,28,2,5,108,1,4,2,0,9,4,0,1,0,4,2,2,4,4,1,0,1,10,1,1,0,0,6,324,745
59,C3,157,6,1,35,7,14,94,0,5,1,0,3,3,3,0,0,3,4,0,1,1,1,0,0,8,0,0,0,0,7,354,745
60,B1,37,7,1,6,2,5,67,1,10,1,2,10,2,1,0,0,2,1,0,0,0,0,2,1,1,1,2,1,0,9,172,407
60,C1,67,4,5,12,2,0,69,1,4,3,0,12,1,1,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,4,191,406
61,B1,115,9,2,0,2,3,92,5,4,2,2,7,2,1,1,0,3,0,1,0,0,0,2,0,3,0,1,0,0,9,266,619
61,C1,111,5,2,1,0,4,78,5,1,2,2,1,1,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,2,220,619
61,C2,129,13,7,2,2,6,82,3,1,2,3,2,1,2,0,1,0,1,0,2,1,0,1,0,2,0,0,0,0,6,269,618
61,C3,114,13,4,0,4,8,75,4,0,3,10,3,4,5,0,0,2,0,0,0,0,0,1,0,3,1,1,0,0,9,264,618
62,B1,95,17,7,3,1,3,56,2,1,0,1,131,4,2,0,0,1,1,1,1,6,0,23,3,2,0,0,0,0,10,371,632
62,C1,69,20,5,1,1,2,66,2,1,1,0,102,0,0,1,0,0,1,1,0,12,2,11,1,1,1,0,0,0,12,313,631
62,C2,85,21,13,2,2,2,62,3,0,0,1,102,2,1,0,3,0,1,1,1,15,0,7,1,2,0,0,0,0,11,338,631
62,C3,110,22,3,5,1,2,50,0,3,0,1,127,1,0,0,0,0,0,0,1,8,1,12,4,1,0,0,0,0,9,361,631
63,B1,54,25,6,1,7,2,55,4,2,1,1,17,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,10,191,446
63,C1,46,25,2,0,6,2,53,6,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,181,446
64,B1,76,10,0,2,1,5,64,4,2,0,0,8,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,6,185,407
64,C1,87,11,0,1,1,6,62,2,1,0,0,18,1,2,0,0,7,0,0,0,3,0,3,2,2,0,0,0,0,4,213,407
65,B1,53,9,7,4,3,1,105,0,2,0,2,4,7,4,0,0,1,4,0,0,1,0,0,0,9,1,3,1,0,7,228,532
65,C1,77,6,4,4,4,0,114,1,2,0,1,4,7,3,1,0,2,3,0,0,0,0,0,0,12,3,1,2,0,6,257,532
65,C2,48,14,1,0,1,0,81,0,11,1,0,4,12,5,0,1,1,4,0,0,0,0,0,1,8,0,2,2,1,14,212,531
66,B1,112,6,0,0,2,0,119,1,0,3,0,5,9,3,0,3,2,2,0,1,2,1,0,0,7,2,3,1,0,8,292,521
66,C1,142,9,0,2,5,2,92,3,6,1,0,10,4,1,0,7,1,1,0,1,0,1,0,0,6,1,2,1,0,5,303,521
66,E1,90,7,1,3,1,0,59,2,8,0,0,1,3,3,0,1,5,12,0,0,0,0,0,0,5,1,2,0,0,13,217,551
66,E1 C1,102,5,0,2,2,4,54,0,3,0,0,5,3,6,1,1,4,10,0,1,0,0,0,1,1,1,1,0,0,12,219,551
67,B1,154,11,3,3,2,1,106,5,1,0,1,5,6,4,0,0,0,1,1,1,2,0,1,1,6,2,2,0,0,19,338,644
67,C1,133,8,4,1,4,3,114,5,6,1,1,7,3,6,0,1,2,3,1,4,1,0,0,0,5,2,2,0,1,11,329,644
67,C2,163,7,2,0,11,3,102,3,3,1,1,4,10,8,0,2,1,2,2,4,1,0,1,1,8,1,1,1,0,11,354,644
68,B1,178,4,0,0,5,1,103,0,2,0,0,14,13,2,0,0,0,1,0,16,0,0,0,1,13,3,5,0,0,9,370,744
68,C1,164,4,0,2,3,2,98,1,3,0,1,5,6,1,0,2,1,0,0,9,0,0,0,0,14,1,0,0,0,11,328,744
68,C2,208,3,0,0,0,1,102,2,1,0,0,12,11,2,0,0,0,1,0,8,1,0,1,1,15,0,1,0,0,12,382,744
69,B1,171,1,1,0,4,0,174,1,0,0,1,4,9,8,0,0,0,0,0,2,1,0,0,0,11,1,3,1,0,5,398,615
69,C1,157,1,1,0,5,0,156,2,2,0,0,4,10,4,0,1,0,2,0,7,0,0,0,0,11,2,4,1,0,7,377,614
70,B1,81,4,4,2,2,1,141,8,4,2,0,7,10,3,0,0,2,0,0,0,4,0,1,0,16,2,2,0,0,10,306,569
70,C1,87,4,1,7,1,4,134,4,5,2,0,7,6,3,0,1,10,7,1,0,2,0,0,0,7,2,2,0,0,8,305,568
70,C2,97,2,4,5,3,3,137,2,2,6,0,7,5,4,0,1,2,1,1,0,1,1,0,0,5,3,1,1,0,10,304,568
71,B1,140,15,2,4,1,0,175,3,5,5,1,17,6,3,0,0,1,2,0,2,1,0,1,0,7,2,3,0,0,8,404,634
71,C1,154,3,2,4,0,1,148,0,1,4,0,20,8,9,0,2,2,3,0,2,2,0,1,3,9,0,0,0,0,11,389,634
