CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,6,CANANEA,15,CANANEA,70,C01,151,0,28,0,12,17,80,9,0,3,0,0,0,0,0,0,0,300,22,322,608,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,71,B,146,0,27,0,8,17,101,11,0,1,0,0,0,0,0,0,0,311,17,328,668,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,71,C01,184,0,30,0,6,14,71,17,0,4,0,0,0,0,0,0,0,326,13,339,667,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,72,B,172,0,47,0,23,18,99,12,0,3,0,0,0,0,0,0,0,374,3,377,745,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,72,C01,176,0,44,0,12,25,77,21,0,4,0,0,0,0,0,0,0,359,30,389,745,Grupo de Recuento,,,
1,26,SONORA,6,CANANEA,15,CANANEA,73,B,120,0,39,0,14,10,67,12,0,0,0,0,0,0,0,0,0,262,9,271,572,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,73,C01,145,0,24,0,10,13,68,12,0,5,0,0,0,0,0,0,0,277,10,287,572,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,73,C02,131,0,35,0,10,18,70,15,0,4,0,0,0,0,0,0,0,283,14,297,571,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,73,C03,140,0,30,0,6,16,82,16,0,2,0,0,0,0,0,0,0,292,11,303,571,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,74,B,118,0,35,0,9,21,69,14,0,2,0,0,0,0,0,0,0,268,22,290,606,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,74,C01,111,0,30,0,15,18,96,14,0,3,0,0,0,0,0,0,1,287,8,296,606,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,74,C02,131,0,36,0,3,21,83,23,0,1,0,0,0,0,0,0,3,298,10,311,606,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,75,B,121,0,31,0,11,27,133,9,0,5,0,0,0,0,0,0,0,337,18,355,711,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,75,C01,171,0,21,0,7,23,104,25,0,1,0,0,0,0,0,0,0,352,18,370,711,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,75,C02,139,0,32,0,9,22,94,13,0,3,0,0,0,0,0,0,0,312,10,322,711,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,75,C03,161,0,23,0,11,22,103,9,0,0,0,0,0,0,0,0,0,329,9,338,711,Acta casilla,,,
