ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
16,MICHOACAN,1,LA PIEDAD,147,279,24655,23018,19467,887,870,520,931,5090,522,0,744,1133,65,77837,2236,80138,151585,0.5287
16,MICHOACAN,2,PURUÁNDIRO,128,242,12348,19738,26490,5617,1041,740,2198,1821,407,0,247,507,32,71154,2543,73729,131361,0.5613
16,MICHOACAN,3,MARAVATÍO,98,230,14365,18440,25623,1690,1239,5716,3269,1549,748,0,243,521,39,73403,2838,76280,128194,0.595
16,MICHOACAN,4,JIQUILPAN,158,295,28393,22979,24208,1977,4844,2336,910,2426,367,0,392,635,52,89467,2135,91654,152023,0.6029
16,MICHOACAN,5,JACONA,126,276,16216,21029,21839,2572,3426,4639,1322,3048,876,0,478,490,83,75935,3240,79258,152751,0.5189
16,MICHOACAN,6,ZAMORA,96,238,18008,12182,10636,4705,1669,3110,937,2524,931,0,372,292,110,55366,2260,57736,136998,0.4214
16,MICHOACAN,7,ZACAPU,141,247,16963,16569,24811,3161,2102,5117,1947,4131,618,0,115,368,29,75902,3359,79290,134399,0.59
16,MICHOACAN,8,ZINAPÉCUARO,141,307,20570,22761,25139,10250,2357,4944,928,3598,1307,0,475,1476,39,93805,3325,97169,172940,0.5619
16,MICHOACAN,9,LOS REYES,110,237,23435,14979,18670,3811,4786,1876,513,1434,299,0,1011,949,31,71763,2322,74116,129561,0.5721
16,MICHOACAN,10,MORELIA NOROESTE,74,239,17729,15139,17318,1595,1603,2577,765,3228,1705,0,492,830,209,62981,3706,66896,146552,0.4565
16,MICHOACAN,11,MORELIA NORESTE,93,211,19508,11978,13500,1859,1253,2488,574,2931,1454,0,663,1468,140,57676,2949,60765,122027,0.498
16,MICHOACAN,12,HIDALGO,126,251,21749,18162,23241,5516,989,2167,606,1999,518,0,540,674,35,76161,2785,78981,138010,0.5723
16,MICHOACAN,13,ZITÁCUARO,99,225,17137,15854,22423,5125,3207,1481,1659,2898,1252,0,718,1677,74,73431,3394,76899,129045,0.5959
16,MICHOACAN,14,URUAPAN NORTE,91,218,14308,12596,22469,943,1402,1206,1119,2310,1641,0,205,590,72,58789,2348,61209,123219,0.4967
16,MICHOACAN,15,PÁTZCUARO,114,272,18505,21302,34719,1784,3259,3146,833,3941,981,0,403,851,69,89724,4850,94643,157008,0.6028
16,MICHOACAN,16,MORELIA SUROESTE,89,268,25396,17220,18511,1631,1248,3801,723,4023,1838,2,356,752,230,75501,3906,79637,165374,0.4816
16,MICHOACAN,17,MORELIA SURESTE,93,221,27999,14883,13322,1561,958,2617,593,2860,1335,0,400,558,134,67086,3340,70560,126334,0.5585
16,MICHOACAN,18,HUETAMO,158,228,5512,22583,31093,3314,1924,2986,579,1386,175,0,241,573,14,70366,1962,72342,107905,0.6704
16,MICHOACAN,19,TACÁMBARO,119,220,15015,20316,24762,1022,2636,686,1042,1931,1,0,632,1118,40,69161,3147,72348,119683,0.6045
16,MICHOACAN,20,URUAPAN SUR,95,266,20826,19195,24121,1070,1591,1298,964,2575,1566,0,581,1142,62,74929,2791,77782,157879,0.4927
16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,102,191,13801,13258,20751,1624,3676,701,1329,1531,882,0,346,780,11,58679,1855,60545,103152,0.5869
16,MICHOACAN,22,MÚGICA,108,214,4863,27468,30601,656,340,1313,492,1863,290,0,241,805,14,68932,1731,70677,109325,0.6465
16,MICHOACAN,23,APATZINGÁN,96,199,13256,13343,15151,3175,1037,1267,538,4399,433,0,325,281,79,53205,1913,55197,105278,0.5243
16,MICHOACAN,24,LÁZARO CÁRDENAS,65,216,9620,16921,18018,771,691,883,794,3931,670,0,178,269,38,52746,1791,54575,130581,0.4179
