CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,411,2,66,267,175,4,3,2,0,24,3,0,0,0,0,544,15,559,1070
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,412,2,60,219,196,4,0,2,1,28,2,0,1,7,0,520,12,532,925
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,413,2,68,207,190,6,8,1,1,32,0,0,2,4,0,519,12,531,888
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,414,3,31,172,237,2,0,0,3,42,0,0,1,8,0,496,9,505,910
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,416,1,12,99,105,2,2,0,3,16,0,0,0,1,0,240,10,250,689
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,417,1,17,52,179,1,1,0,1,13,0,0,1,7,0,272,2,274,615
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,418,1,4,44,142,0,1,2,2,2,1,0,0,0,0,198,0,198,524
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,419,1,6,51,37,1,1,0,0,2,0,0,1,4,0,103,2,105,287
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,433,2,275,181,100,8,2,5,2,7,2,0,4,1,0,587,19,606,979
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,434,2,197,166,85,6,3,1,1,5,1,0,1,3,0,469,23,492,797
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,435,2,223,199,91,8,2,0,1,8,1,0,8,0,0,541,19,560,810
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,436,2,354,284,185,8,4,2,5,12,1,0,6,7,0,868,21,889,1376
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,437,2,187,154,80,1,0,2,7,2,0,0,0,1,0,434,8,442,791
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,438,2,205,244,73,3,5,2,4,1,2,0,0,0,0,539,16,555,984
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,439,3,352,587,100,6,6,4,1,4,3,0,9,2,0,1074,23,1097,1785
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,440,2,222,194,76,8,7,2,3,3,0,0,2,2,1,519,3,523,940
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,441,1,78,200,49,2,4,3,1,1,0,0,0,2,0,340,8,348,669
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,442,1,78,149,68,3,3,3,0,1,2,0,2,1,0,310,9,319,547
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,443,1,77,127,30,2,2,0,0,1,1,0,0,0,0,240,0,240,455
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,444,2,89,140,34,0,2,2,1,5,2,0,0,0,0,275,11,286,533
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,445,1,17,116,83,4,0,0,1,0,0,0,1,3,0,225,10,235,590
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1369,3,505,273,320,4,3,1,4,12,0,0,0,1,0,1123,8,1131,1705
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1370,4,684,439,330,7,6,1,11,19,2,0,1,5,0,1505,21,1526,2261
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1371,1,44,12,24,2,1,0,1,1,0,0,0,0,0,85,4,89,193
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1372,1,106,62,14,2,2,0,1,0,0,0,0,0,0,187,6,193,343
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1373,4,496,304,287,9,10,3,4,11,3,0,1,10,3,1138,25,1166,2292
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1374,1,148,61,70,0,3,0,1,3,3,0,0,0,0,289,10,299,472
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1375,1,145,152,55,1,2,0,1,0,0,0,0,0,0,356,10,366,542
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1376,1,154,180,146,3,3,0,5,3,0,0,1,3,0,498,4,502,650
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1377,1,168,206,91,7,7,1,17,0,1,0,0,0,0,498,20,518,673
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1498,2,160,160,218,5,1,2,3,10,6,0,5,10,1,580,25,606,1140
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1499,1,105,129,141,0,2,2,3,16,2,0,0,1,0,401,5,406,725
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1500,2,126,205,139,1,1,3,1,18,2,0,2,8,0,506,14,520,844
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1501,2,95,155,242,6,4,4,0,16,4,0,2,9,0,537,12,549,1022
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1502,1,12,180,182,4,0,2,0,4,1,0,2,3,0,390,5,395,663
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1503,2,34,290,226,0,2,1,2,16,2,0,1,5,0,579,20,599,1012
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1504,2,74,275,330,5,2,2,1,6,4,0,3,10,1,712,18,731,1240
