ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
16,MICHOACAN,1,ACUITZIO,10,16,1209,929,2183,130,119,53,134,74,0,0,33,88,11,4952,285,5248,8166,0.6427
16,MICHOACAN,2,AGUILILLA,13,23,748,2216,3200,62,30,46,15,146,7,0,14,34,1,6518,161,6680,12396,0.5389
16,MICHOACAN,3,ÁLVARO OBREGÓN,12,28,1618,3226,1304,3670,58,46,180,148,39,0,14,81,1,10384,225,10610,15658,0.6776
16,MICHOACAN,4,ANGAMACUTIRO,14,23,621,2232,4662,182,29,140,17,75,9,0,23,52,2,8042,159,8203,12290,0.6675
16,MICHOACAN,5,ANGANGUEO,6,13,595,1891,952,1151,419,25,24,159,55,0,15,68,0,5354,146,5500,7564,0.7271
16,MICHOACAN,6,APATZINGÁN,80,167,11603,10951,11291,3105,573,1077,447,2255,404,0,306,241,76,42253,1642,43971,87682,0.5015
16,MICHOACAN,7,APORO,4,6,469,599,765,93,4,4,6,42,3,0,6,20,0,2011,66,2077,2562,0.8107
16,MICHOACAN,8,AQUILA,13,32,1546,633,3290,874,3349,34,55,57,14,0,162,420,2,10434,264,10700,17926,0.5969
16,MICHOACAN,9,ARIO,21,44,3237,3918,3613,315,1910,103,105,201,0,0,59,217,0,13678,673,14351,24209,0.5928
16,MICHOACAN,10,ARTEAGA,14,35,629,3952,4910,57,45,114,60,207,37,0,17,53,1,10081,251,10333,16096,0.642
16,MICHOACAN,11,BRISEÑAS,6,11,503,1062,1135,1358,30,20,247,66,7,0,3,22,6,4453,57,4516,6363,0.7097
16,MICHOACAN,12,BUENAVISTA,23,50,4472,3638,4246,488,125,441,91,905,813,0,47,76,0,15342,680,16022,29291,0.547
16,MICHOACAN,13,CARÁCUARO,12,16,195,2058,2650,49,32,10,18,9,35,0,19,66,5,5141,220,5366,7178,0.7476
16,MICHOACAN,14,COAHUAYANA,12,18,1058,1222,2036,35,44,61,1023,103,17,0,7,25,1,5631,154,5786,9747,0.5936
16,MICHOACAN,15,COALCOMÁN DE VÁZQUEZ PALLARES,17,29,2193,2466,3608,46,75,48,103,170,11,0,60,68,3,8848,256,9107,13797,0.6601
16,MICHOACAN,16,COENEO,29,41,2804,2053,3683,608,67,79,57,289,27,0,14,50,4,9731,499,10234,18567,0.5512
16,MICHOACAN,17,CONTEPEC,13,37,2895,4524,4811,217,69,1028,148,266,41,0,44,118,1,14161,433,14595,21831,0.6685
16,MICHOACAN,18,COPÁNDARO,6,12,1057,1071,1202,884,26,31,17,107,11,0,8,25,0,4439,127,4566,7069,0.6459
16,MICHOACAN,19,COTIJA,19,38,2323,1436,2158,588,1646,51,55,49,27,0,550,196,1,9079,302,9382,16379,0.5728
16,MICHOACAN,20,CUITZEO,16,38,2211,2486,3601,291,228,1493,82,389,640,0,116,131,5,11668,466,12139,21396,0.5673
16,MICHOACAN,21,CHARAPAN,6,14,232,1163,1579,1942,31,15,55,428,13,0,20,46,2,5524,155,5681,8568,0.663
16,MICHOACAN,22,CHARO,15,27,3014,2133,3074,81,71,415,28,427,28,0,74,136,1,9481,314,9796,15205,0.6443
16,MICHOACAN,23,CHAVINDA,11,17,913,1455,850,16,488,19,12,25,10,0,319,160,2,4267,189,4458,8614,0.5175
16,MICHOACAN,24,CHERÁN,2,4,27,497,439,9,20,2,45,51,7,0,13,16,0,1126,32,1158,1994,0.5807
16,MICHOACAN,25,CHILCHOTA,17,41,1468,5293,5099,327,607,180,193,1035,319,0,23,116,35,14660,890,15585,24773,0.6291
16,MICHOACAN,26,CHINICUILA,8,11,140,919,1498,11,15,26,3,11,2,0,27,28,1,2680,70,2751,3898,0.7057
16,MICHOACAN,27,CHUCÁNDIRO,6,11,377,836,1306,20,15,5,9,109,8,0,21,20,0,2726,80,2806,4886,0.5743
16,MICHOACAN,28,CHURINTZIO,8,13,264,1111,1261,20,16,7,11,159,6,0,6,31,0,2892,62,2954,5908,0.5
16,MICHOACAN,29,CHURUMUCO,13,23,131,3963,3878,11,10,12,3,12,3,0,13,31,0,8067,97,8164,10823,0.7543
16,MICHOACAN,30,ECUANDUREO,13,23,2354,2741,1054,59,40,26,27,50,15,0,33,22,1,6421,170,6592,11256,0.5856
16,MICHOACAN,31,EPITACIO HUERTA,11,21,651,2413,2852,38,43,1554,43,49,18,0,36,40,0,7737,275,8012,11807,0.6786
16,MICHOACAN,32,ERONGARÍCUARO,10,19,2592,2017,2512,115,51,63,55,188,31,0,43,98,1,7765,340,8106,10865,0.7461
