CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,1,B,102,99,160,12,9,3,12,4,0,0,7,8,3,416,17,436,703,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,1,C01,90,104,170,7,9,8,9,6,0,0,2,10,1,415,25,441,703,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,2,B,106,78,160,7,11,7,15,12,0,0,0,4,0,400,16,416,692,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,2,C01,114,79,158,8,17,7,12,7,0,0,1,13,1,416,22,439,692,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,3,B,93,46,105,3,5,5,4,4,0,0,5,7,1,277,18,296,453,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,3,C01,85,53,107,6,6,6,7,3,0,0,2,5,0,280,17,297,453,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,4,B,90,52,101,8,7,5,5,6,0,0,1,3,1,278,24,303,493,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,4,C01,78,67,101,6,7,2,5,4,0,0,3,2,3,275,17,295,493,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,5,B,91,71,135,13,11,1,6,8,0,0,2,3,0,341,10,351,529,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,5,C01,67,63,148,22,10,1,7,5,0,0,2,7,0,332,25,357,529,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,6,B,38,49,152,11,5,3,19,5,0,0,0,4,0,286,26,312,437,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,7,B,90,42,196,13,6,1,9,3,0,0,1,7,1,368,19,388,585,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,8,B,70,23,88,7,5,2,8,2,0,0,0,4,0,209,13,222,358,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,9,B,24,51,77,2,2,2,9,1,0,0,5,3,0,176,4,180,229,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,10,B,27,30,172,1,3,0,7,2,0,0,0,6,0,248,16,264,409,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,10,C01,44,22,153,4,6,0,0,2,0,0,2,2,0,235,16,251,408,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,11,B,41,138,164,4,4,5,0,8,0,0,1,5,0,370,0,370,707,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,11,C01,57,165,150,0,0,5,0,6,1,0,0,0,0,384,17,401,707,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,11,C02,54,157,165,1,2,2,1,7,0,0,0,4,0,393,17,410,706,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,12,B,35,93,216,0,0,1,0,10,0,0,0,0,1,355,12,368,679,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,12,C01,46,101,211,2,3,3,1,3,1,0,1,3,0,375,0,375,679,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,13,B,51,136,144,1,2,5,2,1,1,0,0,7,0,350,0,350,652,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,13,C01,57,99,159,1,5,1,0,8,0,0,0,0,0,330,14,344,651,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,13,C02,34,106,156,5,0,0,1,5,1,0,0,1,0,309,12,321,651,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,14,B,40,123,138,1,1,3,0,5,0,0,1,0,0,312,0,312,555,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,14,C01,43,138,144,5,4,0,0,3,1,0,0,0,0,338,8,346,554,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,14,C02,44,96,177,3,2,3,3,2,0,0,2,1,0,333,15,348,554,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,15,B,58,93,108,4,0,4,1,2,0,0,0,0,0,270,0,270,491,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,16,B,29,153,171,6,0,3,0,18,1,0,1,0,0,382,16,398,736,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,16,C01,26,102,165,7,2,5,1,18,0,0,1,2,0,329,15,344,735,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,16,C02,19,119,185,4,1,2,1,33,0,0,0,1,0,365,6,371,735,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,17,B,3,21,233,3,1,0,1,4,0,0,0,4,0,270,0,270,641,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,18,B,11,31,137,0,1,1,0,8,0,0,1,2,0,192,6,198,381,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,18,C01,11,43,123,4,2,2,2,5,0,0,0,1,0,193,5,198,380,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,19,B,76,184,63,3,0,0,0,0,1,0,2,2,0,331,12,343,512,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,20,B,2,24,60,4,0,1,0,0,0,0,0,1,0,92,0,92,211,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,22,B,2,36,36,0,0,0,0,0,0,0,0,0,0,74,3,77,191,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,23,B,7,29,63,0,0,0,0,0,0,0,0,0,0,99,3,102,171,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,25,B,2,29,32,4,0,0,1,0,0,0,4,0,0,72,0,72,117,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,26,B,81,81,29,132,0,3,4,3,2,0,1,1,0,337,3,340,514,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,26,C01,81,86,25,127,4,6,7,5,0,0,0,5,1,346,7,354,513,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,26,S01,56,21,23,6,0,3,0,2,0,0,0,1,0,112,2,114,0,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,26,C02,95,88,22,113,6,0,3,6,2,0,0,3,0,338,3,341,513,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,27,B,68,107,25,135,3,2,8,4,3,0,0,6,0,361,9,370,592,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,27,C01,54,99,24,182,3,1,9,7,3,0,0,3,0,385,7,392,591,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,27,C02,66,118,28,162,2,2,6,5,0,0,0,3,0,392,0,392,591,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,28,B,99,141,34,142,4,6,6,7,4,0,0,5,0,448,5,453,650,RECUENTO,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,28,C01,86,139,45,175,0,0,0,10,1,0,0,0,0,456,2,458,650,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,28,C02,60,160,44,160,2,3,7,12,3,0,1,6,0,458,13,471,649,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,29,B,42,107,24,114,1,3,5,10,3,0,0,2,0,311,9,320,491,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,29,C01,54,114,27,88,2,1,3,6,5,0,1,4,0,305,9,314,490,RECUENTO,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,30,B,21,123,59,95,1,1,4,0,1,0,1,1,0,307,5,312,504,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,30,C01,28,116,51,110,1,2,7,2,0,0,0,1,0,318,9,327,503,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,31,B,49,153,99,167,2,1,8,1,0,0,0,2,0,482,9,491,690,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,31,C01,41,131,131,140,3,2,8,9,1,0,1,1,0,468,9,477,689,RECUENTO,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,32,B,66,122,44,134,1,1,6,3,1,0,1,3,0,382,9,391,554,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,32,C01,93,114,45,130,4,2,1,0,0,0,1,0,0,390,9,399,554,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,32,C02,60,125,38,145,1,1,4,2,1,0,1,9,0,387,12,399,554,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,33,B,50,147,68,109,3,0,2,7,2,0,1,4,0,393,10,403,545,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,33,C01,21,128,72,107,2,1,4,5,0,0,1,5,0,346,11,357,544,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,34,B,63,120,32,138,0,0,6,3,0,0,0,0,0,362,10,372,547,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,34,C01,58,97,39,138,1,2,3,1,1,0,2,2,0,344,8,352,547,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,35,B,43,131,32,170,1,1,3,5,2,0,1,0,0,389,7,396,591,ACTA CASILLA,,,
