ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,2,1,67,58,2,4,2,27,8,12,9,0,189,0,189,0
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,74,1,22,31,2,2,2,3,2,3,1,0,68,6,74,0
8,CHIHUAHUA,13,GUERRERO,9,BOCOYNA,136,1,89,34,3,5,1,11,7,4,13,0,167,12,179,0
8,CHIHUAHUA,20,CAMARGO,11,CAMARGO,182,1,263,129,21,6,1,13,21,34,11,4,499,14,517,0
8,CHIHUAHUA,14,CUAUHTEMOC,17,CUAUHTEMOC,312,1,396,170,14,9,7,23,27,42,23,0,711,46,757,0
8,CHIHUAHUA,12,CHIHUAHUA,19,CHIHUAHUA,608,1,236,103,7,8,3,15,19,35,16,3,442,23,468,0
8,CHIHUAHUA,15,CHIHUAHUA,19,CHIHUAHUA,800,1,393,181,10,18,2,20,21,31,33,1,709,21,731,0
8,CHIHUAHUA,16,CHIHUAHUA,19,CHIHUAHUA,783,1,377,148,14,4,3,29,48,50,28,1,701,44,746,0
8,CHIHUAHUA,17,CHIHUAHUA,19,CHIHUAHUA,854,1,336,166,16,0,0,40,34,31,31,0,654,27,681,0
8,CHIHUAHUA,18,CHIHUAHUA,19,CHIHUAHUA,470,1,214,90,5,7,6,16,20,25,12,0,395,43,438,0
8,CHIHUAHUA,19,DELICIAS,21,DELICIAS,957,1,328,117,26,8,3,27,38,43,28,5,618,15,638,0
8,CHIHUAHUA,22,GUACHOCHI,27,GUACHOCHI,1088,1,151,123,13,10,4,15,64,17,7,1,404,33,438,0
8,CHIHUAHUA,13,GUERRERO,31,GUERRERO,1199,1,122,74,11,2,0,9,21,7,6,0,252,11,263,0
8,CHIHUAHUA,21,HIDALGO DEL PARRAL,32,HIDALGO DEL PARRAL,1281,1,104,129,2,9,5,13,18,19,10,1,309,28,338,0
8,CHIHUAHUA,21,HIDALGO DEL PARRAL,32,HIDALGO DEL PARRAL,1307,1,312,199,7,25,2,33,20,26,15,1,639,31,671,0
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1376,1,23,14,3,2,1,3,1,1,1,0,49,3,52,0
8,CHIHUAHUA,20,CAMARGO,36,JIMENEZ,1396,1,175,116,15,2,23,36,26,41,17,1,451,27,479,0
8,CHIHUAHUA,2,JUAREZ,37,JUAREZ,2155,1,23,33,0,3,6,6,10,12,8,5,101,8,114,0
8,CHIHUAHUA,3,JUAREZ,37,JUAREZ,1560,1,12,15,2,1,1,2,56,3,3,1,95,1,97,0
8,CHIHUAHUA,4,JUAREZ,37,JUAREZ,1566,1,124,49,5,6,2,7,23,31,9,2,256,10,268,0
8,CHIHUAHUA,4,JUAREZ,37,JUAREZ,1499,1,81,99,6,14,2,12,8,34,19,0,275,29,304,0
8,CHIHUAHUA,5,JUAREZ,37,JUAREZ,1693,1,94,35,3,5,2,11,8,14,12,0,184,6,190,0
8,CHIHUAHUA,6,JUAREZ,37,JUAREZ,1746,1,368,173,13,22,6,36,42,60,29,0,749,32,781,0
8,CHIHUAHUA,6,JUAREZ,37,JUAREZ,3108,1,116,62,6,13,5,27,24,48,18,5,319,16,340,0
8,CHIHUAHUA,7,JUAREZ,37,JUAREZ,1919,1,62,52,14,0,0,17,20,33,14,7,212,12,231,0
8,CHIHUAHUA,8,JUAREZ,37,JUAREZ,1931,1,134,71,6,10,1,24,45,40,10,0,341,0,341,0
8,CHIHUAHUA,9,JUAREZ,37,JUAREZ,2775,1,5,35,0,0,0,2,12,10,3,0,67,1,68,0
8,CHIHUAHUA,10,JUAREZ,37,JUAREZ,2815,1,60,30,4,3,1,16,21,34,5,1,174,9,184,0
8,CHIHUAHUA,11,MEOQUI,45,MEOQUI,2302,1,58,26,5,2,0,6,12,10,3,0,122,3,125,0
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NVO. CASAS GRANDES,2398,1,114,76,20,5,8,15,27,31,27,1,323,12,336,0
8,CHIHUAHUA,11,MEOQUI,52,OJINAGA,2481,1,178,138,1,6,12,3,17,18,11,2,384,17,403,0
