ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,3,3,159,121,25,9,11,21,30,35,29,1,440,21,462,0
8,CHIHUAHUA,2,JUAREZ,1,1,23,33,0,3,6,6,10,12,8,5,101,8,114,0
8,CHIHUAHUA,3,JUAREZ,1,1,12,15,2,1,1,2,56,3,3,1,95,1,97,0
8,CHIHUAHUA,4,JUAREZ,2,2,205,148,11,20,4,19,31,65,28,2,531,39,572,0
8,CHIHUAHUA,5,JUAREZ,1,1,94,35,3,5,2,11,8,14,12,0,184,6,190,0
8,CHIHUAHUA,6,JUAREZ,2,2,484,235,19,35,11,63,66,108,47,5,1068,48,1121,0
8,CHIHUAHUA,7,JUAREZ,1,1,62,52,14,0,0,17,20,33,14,7,212,12,231,0
8,CHIHUAHUA,8,JUAREZ,1,1,134,71,6,10,1,24,45,40,10,0,341,0,341,0
8,CHIHUAHUA,9,JUAREZ,1,1,5,35,0,0,0,2,12,10,3,0,67,1,68,0
8,CHIHUAHUA,10,JUAREZ,1,1,60,30,4,3,1,16,21,34,5,1,174,9,184,0
8,CHIHUAHUA,11,MEOQUI,3,3,303,222,8,12,14,36,37,40,23,2,695,20,717,0
8,CHIHUAHUA,12,CHIHUAHUA,1,1,236,103,7,8,3,15,19,35,16,3,442,23,468,0
8,CHIHUAHUA,13,GUERRERO,2,2,211,108,14,7,1,20,28,11,19,0,419,23,442,0
8,CHIHUAHUA,14,CUAUHTEMOC,1,1,396,170,14,9,7,23,27,42,23,0,711,46,757,0
8,CHIHUAHUA,15,CHIHUAHUA,1,1,393,181,10,18,2,20,21,31,33,1,709,21,731,0
8,CHIHUAHUA,16,CHIHUAHUA,1,1,377,148,14,4,3,29,48,50,28,1,701,44,746,0
8,CHIHUAHUA,17,CHIHUAHUA,1,1,336,166,16,0,0,40,34,31,31,0,654,27,681,0
8,CHIHUAHUA,18,CHIHUAHUA,1,1,214,90,5,7,6,16,20,25,12,0,395,43,438,0
8,CHIHUAHUA,19,DELICIAS,1,1,328,117,26,8,3,27,38,43,28,5,618,15,638,0
8,CHIHUAHUA,20,CAMARGO,2,2,438,245,36,8,24,49,47,75,28,5,950,41,996,0
8,CHIHUAHUA,21,HIDALGO DEL PARRAL,2,2,416,328,9,34,7,46,38,45,25,2,948,59,1009,0
8,CHIHUAHUA,22,GUACHOCHI,1,1,151,123,13,10,4,15,64,17,7,1,404,33,438,0
