ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI_PVEM_PT_NVA_ALIANZA,PRD,MC,MORENA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,1,AHUMADA,15,22,868,2801,14,1468,18,259,0,5428,162,5590,8909,0.6275
8,CHIHUAHUA,2,ALDAMA,20,35,6012,2670,530,28,132,1136,4,10508,223,10735,18678,0.5747
8,CHIHUAHUA,3,ALLENDE,13,16,2254,2174,56,9,19,414,1,4926,89,5016,7280,0.689
8,CHIHUAHUA,4,AQUILES SERDAN,3,17,2045,2679,214,137,47,596,1,5718,161,5880,10327,0.5694
8,CHIHUAHUA,5,ASCENSION,21,33,3231,3987,69,247,67,343,7,7944,227,8178,17014,0.4807
8,CHIHUAHUA,6,BACHINIVA,18,18,2036,1246,43,3,2,61,0,3391,112,3503,5582,0.6276
8,CHIHUAHUA,7,BALLEZA,14,24,3167,4577,15,9,4,176,2,7948,408,8358,12851,0.6504
8,CHIHUAHUA,8,BATOPILAS,11,17,724,2447,191,15,7,60,0,3444,525,3969,8459,0.4692
8,CHIHUAHUA,9,BOCOYNA,22,42,4680,4335,88,1436,57,1238,18,11834,952,12804,20561,0.6227
8,CHIHUAHUA,10,BUENAVENTURA,26,38,4098,4491,108,151,68,518,2,9434,248,9684,17751,0.5455
8,CHIHUAHUA,11,CAMARGO,40,71,9769,7065,1909,207,219,2254,26,21423,392,21841,37310,0.5854
8,CHIHUAHUA,12,CARICHI,16,18,1482,1608,501,442,78,112,4,4223,413,4640,7058,0.6574
8,CHIHUAHUA,13,CASAS GRANDES,13,22,1199,1394,636,406,287,483,0,4405,228,4633,9716,0.4768
8,CHIHUAHUA,14,CORONADO,4,5,611,748,5,9,10,94,0,1477,42,1519,1890,0.8037
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,826,695,4,0,4,35,0,1564,16,1580,2150,0.7349
8,CHIHUAHUA,16,LA CRUZ,5,7,778,899,87,58,24,292,0,2138,47,2185,3330,0.6562
8,CHIHUAHUA,17,CUAUHTEMOC,111,225,25896,14023,791,1421,980,7989,60,51100,1578,52738,121142,0.4353
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,1086,1261,79,125,7,185,1,2743,126,2870,5164,0.5558
8,CHIHUAHUA,19,CHIHUAHUA,647,1205,179658,72063,2514,3949,5487,74508,469,338179,6338,344986,651314,0.5297
8,CHIHUAHUA,20,CHINIPAS,8,15,831,2290,4,5,3,17,2,3150,113,3265,5146,0.6345
8,CHIHUAHUA,21,DELICIAS,109,195,19596,14799,4262,578,1415,11894,71,52544,1132,53747,108796,0.494
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,1024,714,9,12,17,47,1,1823,40,1864,3116,0.5982
8,CHIHUAHUA,23,GALEANA,3,8,497,1201,41,10,415,218,0,2382,89,2471,3999,0.6179
8,CHIHUAHUA,24,SANTA ISABEL,7,9,1518,829,16,5,24,150,2,2542,57,2601,4035,0.6446
8,CHIHUAHUA,25,GOMEZ FARIAS,15,16,1238,1694,55,14,95,275,3,3371,182,3556,7285,0.4881
8,CHIHUAHUA,26,GRAN MORELOS,13,13,885,870,21,9,4,83,2,1872,61,1935,3243,0.5967
8,CHIHUAHUA,27,GUACHOCHI,43,67,5216,8142,293,311,146,1553,59,15661,1820,17540,33832,0.5184
8,CHIHUAHUA,28,GUADALUPE,8,12,759,1187,48,22,188,112,1,2316,80,2397,5296,0.4526
