ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,189,262,22141,18771,3599,494,1212,2759,964,1551,122,31,36,13,6,141,74,47,10,4,21,7089,52,59085,2004,61141,120832,0.5060
8,CHIHUAHUA,2,JUAREZ,69,169,9708,10304,494,882,529,1493,1070,1626,251,29,27,11,5,99,10,16,6,7,3,8183,310,34753,2251,37314,101283,0.3684
8,CHIHUAHUA,3,JUAREZ,151,216,11687,13546,603,746,391,1939,1278,1745,88,22,46,15,14,127,25,61,4,10,10,7320,274,39677,2373,42324,115949,0.3650
8,CHIHUAHUA,4,JUAREZ,220,272,20056,15478,577,593,252,1638,746,1827,138,16,49,14,3,139,18,22,2,5,3,10958,229,52534,1839,54602,133043,0.4104
8,CHIHUAHUA,5,JUAREZ,88,217,25816,12901,654,556,228,1657,819,1808,98,15,29,10,1,78,5,26,6,5,2,16215,250,60929,1228,62407,125950,0.4955
8,CHIHUAHUA,6,JUAREZ,153,234,16449,13314,601,937,1153,1843,1257,1931,115,30,44,12,1,131,30,34,6,12,5,11619,325,49524,2665,52514,123633,0.4248
8,CHIHUAHUA,7,JUAREZ,121,220,15005,11816,638,703,431,2469,1232,2062,58,10,25,4,14,108,11,30,4,7,83,13701,373,48411,1950,50734,118074,0.4297
8,CHIHUAHUA,8,JUAREZ,107,200,11869,9768,563,876,389,1714,1274,1874,42,30,18,20,2,99,6,16,5,6,2,10959,462,39532,1808,41802,112292,0.3723
8,CHIHUAHUA,9,JUAREZ,85,183,12890,9345,581,889,351,2055,1110,1975,38,11,17,3,1,56,19,20,1,14,2,12295,370,41673,1623,43666,100806,0.4332
8,CHIHUAHUA,10,JUAREZ,180,224,9031,7868,569,881,372,1844,976,1599,164,11,17,2,2,102,7,15,2,6,2,7229,404,30699,1584,32687,92198,0.3545
8,CHIHUAHUA,11,MEOQUI,156,260,28494,23556,2203,1173,555,3005,1212,1053,114,22,68,9,6,174,32,84,5,9,5,6867,146,68646,2276,71068,130951,0.5427
8,CHIHUAHUA,12,CHIHUAHUA,97,217,28250,9042,508,687,345,792,903,1003,242,34,54,33,8,129,27,49,8,9,82,13046,66,55251,1170,56487,117776,0.4796
8,CHIHUAHUA,13,GUERRERO,245,311,26375,23388,1722,1080,415,2739,1082,513,262,19,87,10,5,287,39,69,9,10,6,3752,38,61869,3112,65019,116802,0.5567
8,CHIHUAHUA,14,CUAUHTEMOC,119,240,27326,12934,811,559,397,1423,867,987,77,12,51,1,8,130,11,28,8,9,28,8058,61,53725,1641,55427,128472,0.4314
8,CHIHUAHUA,15,CHIHUAHUA,131,244,45108,14727,449,305,269,753,797,968,146,13,14,3,2,82,10,11,0,1,0,20511,74,84169,1047,85290,136227,0.6261
8,CHIHUAHUA,16,CHIHUAHUA,178,273,43088,15062,494,402,427,761,708,1249,161,22,22,10,5,106,17,30,3,2,36,15487,76,78092,1443,79611,142029,0.5605
8,CHIHUAHUA,17,CHIHUAHUA,126,225,32141,10605,639,449,545,866,1023,1247,48,14,11,2,2,63,15,17,2,3,2,14158,83,61852,1214,63149,123946,0.5095
8,CHIHUAHUA,18,CHIHUAHUA,115,246,31071,12086,424,479,455,777,787,1020,171,20,30,5,6,129,18,18,2,6,5,11306,170,58815,1464,60449,131336,0.4603
8,CHIHUAHUA,19,DELICIAS,125,221,22338,15129,4587,401,692,642,1104,1532,157,19,29,4,1,103,14,43,1,5,2,12930,74,59733,1354,61161,121931,0.5016
8,CHIHUAHUA,20,CAMARGO,141,215,24717,19732,4518,264,1461,1124,1178,1429,226,30,45,16,1,128,47,53,3,7,2,7764,34,62745,1482,64261,109640,0.5861
8,CHIHUAHUA,21,HIDALGO DEL PARRAL,203,285,27790,26973,1480,395,377,1415,884,793,176,31,66,8,6,196,39,55,18,6,4,16210,118,76922,2071,79111,129966,0.6087
8,CHIHUAHUA,22,GUACHOCHI,139,222,16727,27443,1949,635,476,936,1634,419,371,48,137,31,15,473,87,207,11,28,9,2192,73,53828,4508,58409,110429,0.5289
