ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,1,AHUMADA,15,22,868,2631,14,46,28,1468,96,18,259,0,5428,162,5590,8909,0.6275
8,CHIHUAHUA,2,ALDAMA,20,35,6012,2447,530,55,47,28,121,132,1136,4,10508,223,10735,18678,0.5747
8,CHIHUAHUA,3,ALLENDE,13,16,2254,2053,56,21,9,9,91,19,414,1,4926,89,5016,7280,0.689
8,CHIHUAHUA,4,AQUILES SERDAN,3,17,2045,1758,214,865,13,137,43,47,596,1,5718,161,5880,10327,0.5694
8,CHIHUAHUA,5,ASCENSION,21,33,3231,3710,69,90,82,247,105,67,343,7,7944,227,8178,17014,0.4807
8,CHIHUAHUA,6,BACHINIVA,18,18,2036,1178,43,25,4,3,39,2,61,0,3391,112,3503,5582,0.6276
8,CHIHUAHUA,7,BALLEZA,14,24,3167,4389,15,101,35,9,52,4,176,2,7948,408,8358,12851,0.6504
8,CHIHUAHUA,8,BATOPILAS,11,17,724,2323,191,51,35,15,38,7,60,0,3444,525,3969,8459,0.4692
8,CHIHUAHUA,9,BOCOYNA,22,42,4680,3701,88,194,129,1436,311,57,1238,18,11834,952,12804,20561,0.6227
8,CHIHUAHUA,10,BUENAVENTURA,26,38,4098,4295,108,54,51,151,91,68,518,2,9434,248,9684,17751,0.5455
8,CHIHUAHUA,11,CAMARGO,40,71,9769,6515,1909,89,107,207,354,219,2254,26,21423,392,21841,37310,0.5854
8,CHIHUAHUA,12,CARICHI,16,18,1482,1476,501,59,33,442,40,78,112,4,4223,413,4640,7058,0.6574
8,CHIHUAHUA,13,CASAS GRANDES,13,22,1199,1006,636,49,211,406,128,287,483,0,4405,228,4633,9716,0.4768
8,CHIHUAHUA,14,CORONADO,4,5,611,589,5,3,152,9,4,10,94,0,1477,42,1519,1890,0.8037
