ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,1,1,91,128,1,3,1,91,9,0,1,0,2,1,0,0,0,1,0,0,0,22,0,351,13,364,746
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,2,2,178,251,1,4,2,101,6,4,1,0,0,1,0,3,0,1,0,1,0,65,0,619,10,629,625
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,3,2,113,268,0,4,2,110,3,1,2,1,1,0,0,0,0,1,0,0,0,35,0,541,10,551,860
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,4,2,111,251,1,1,2,97,8,2,3,1,3,0,0,1,0,1,0,0,0,33,0,515,18,533,769
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,5,2,70,303,3,2,0,136,6,1,1,0,0,1,0,2,0,1,0,0,0,12,0,538,18,556,834
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,6,3,108,349,2,7,6,392,14,3,0,0,2,0,0,3,1,2,0,0,0,21,0,910,28,938,1525
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,7,1,44,195,1,2,1,141,6,4,1,0,0,0,0,1,0,1,0,0,0,21,0,418,17,435,664
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,8,2,81,331,2,2,2,179,15,0,2,0,0,0,0,1,0,3,0,1,0,36,0,655,26,681,1114
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,10,1,4,42,0,0,0,19,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,69,1,70,195
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,11,1,2,56,0,1,1,14,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,78,1,79,138
