SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,cand_ind_agustin_toledano_amaro,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
12,B1,95,0,0,39,5,2,18,45,1,6,7,65,30,1,61,0,0,6,8,5,0,3,0,0,58,0,8,463,671
12,C1,78,0,0,43,7,1,21,50,0,12,2,84,12,0,61,0,0,17,10,0,0,6,0,0,88,0,4,496,671
12,C2,56,0,0,32,3,2,19,51,0,2,6,68,37,0,69,0,0,7,8,2,1,6,0,0,95,0,4,468,671
12,C3,73,1,0,40,1,1,13,67,0,6,5,102,20,0,55,0,0,7,8,5,0,2,0,0,71,0,6,483,670
13,B1,62,4,0,61,2,0,16,41,0,1,4,113,20,0,51,0,0,0,5,2,0,2,0,0,98,0,7,489,635
13,C1,65,3,0,32,2,2,32,58,0,2,4,111,18,1,49,0,0,0,8,2,0,4,0,0,71,0,5,469,635
13,C2,64,2,0,27,1,1,21,53,0,4,1,110,23,0,49,0,0,2,4,2,0,1,1,0,110,0,5,481,635
14,B1,67,2,0,43,0,2,17,44,2,2,2,119,25,0,54,0,1,6,26,2,0,1,0,1,88,0,8,512,728
14,C1,79,0,1,22,1,2,20,30,0,1,2,99,42,1,56,0,0,4,32,6,0,1,0,0,98,1,5,503,728
15,B1,73,1,0,27,2,8,9,58,1,6,3,63,25,0,27,0,0,4,15,2,0,1,0,0,69,0,10,404,618
15,C1,54,3,1,20,1,2,22,56,0,6,3,88,21,0,37,0,0,5,10,3,0,1,0,0,80,0,10,423,617
15,C2,76,4,1,13,1,8,8,53,1,1,3,61,18,0,31,0,0,5,4,0,0,0,0,0,91,0,13,392,617
15,C3,67,1,0,19,0,5,14,66,0,7,0,79,15,0,23,0,0,5,14,4,0,0,0,0,78,0,9,406,617
16,B1,41,1,0,3,1,0,11,71,0,1,0,53,12,0,43,0,1,2,1,2,1,0,0,0,67,0,8,319,431
16,C1,38,2,0,14,1,3,13,84,0,0,0,35,22,0,31,0,0,2,1,3,0,0,0,0,45,0,12,306,431
17,B1,88,2,1,22,1,1,21,52,0,3,3,58,13,0,27,0,0,1,7,1,1,2,0,0,94,0,8,406,551
17,C1,85,5,0,21,4,1,33,30,0,1,5,52,15,0,26,2,0,1,5,4,0,1,0,0,97,0,10,398,551
17,C2,83,3,1,24,1,4,17,37,0,0,1,60,14,4,41,1,0,2,9,4,0,6,1,0,75,1,9,398,550
18,B1,84,0,0,13,9,1,18,26,0,2,12,64,12,0,50,0,0,1,6,2,1,0,0,0,117,0,10,428,600
18,C1,98,3,1,17,3,4,15,21,1,2,15,56,5,0,43,0,0,0,16,2,0,0,0,0,114,0,9,425,599
19,B1,40,1,1,11,3,5,18,51,0,0,2,47,46,0,26,0,0,3,7,21,0,1,0,0,33,0,5,321,505
19,C1,58,3,1,14,2,2,13,34,1,2,3,54,22,0,33,0,0,2,4,19,0,2,0,0,49,0,9,327,505
19,C2,48,0,1,13,3,4,12,44,0,1,1,52,20,0,20,0,0,2,3,23,0,1,1,0,58,1,0,308,504
19,E1,49,4,1,14,2,7,16,99,0,0,0,31,12,0,16,1,0,12,1,0,0,0,6,0,70,0,6,347,582
19,E1 C1,55,5,1,20,0,7,17,90,0,2,0,45,11,0,18,0,0,6,4,3,0,1,2,0,60,0,13,360,582
19,E2,157,1,0,3,6,1,39,46,1,6,1,64,24,0,25,0,0,5,5,3,0,5,1,0,42,0,8,443,682
19,E2 C1,105,1,0,4,6,3,40,28,0,3,2,110,31,0,32,1,0,5,6,6,1,5,0,1,38,0,12,440,682
20,B1,137,41,5,1,2,1,37,43,0,2,15,4,4,2,15,0,0,1,1,2,0,1,1,0,2,0,4,321,552
21,B1,179,45,5,0,3,2,39,21,0,1,29,7,1,0,1,0,0,1,3,1,0,2,0,0,8,0,8,356,554
22,B1,214,84,4,3,7,1,45,26,1,0,22,11,1,0,3,0,0,0,1,1,0,3,0,0,6,1,8,442,748
23,B1,115,43,2,0,6,1,18,12,1,1,12,4,3,0,4,0,0,0,2,0,0,1,1,0,2,0,7,235,375
Totales,,2583,265,27,615,86,84,652,1487,10,83,165,1969,574,9,1077,5,2,114,234,132,5,59,14,2,2072,4,240,12569,18497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,C,A,N,D,I,D,A,T,O,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,cand_ind_agustin_toledano_amaro,no_registrados,num_votos_nulos,Tot.Votos,
,,2583,,,615,86,84,652,1487,10,83,165,1969,574,9,1077,5,2,114,234,132,5,59,14,294,2072,4,240,12569,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,P,A,R,T,I,D,O,S,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,,cand_ind_agustin_toledano_amaro,no_registrados,num_votos_nulos,Tot.Votos,
,,2583,266,28,615,86,84,652,1487,10,83,165,1969,574,9,1077,5,2,114,234,132,5,59,14,,2072,4,240,12569,
,,20.55%,2.12%,0.22%,4.89%,0.68%,0.67%,5.19%,11.83%,0.08%,0.66%,1.31%,15.67%,4.57%,0.07%,8.57%,0.04%,0.02%,0.91%,1.86%,1.05%,0.04%,0.47%,0.11%,,16.49,0.03%,1.91%,100%,
