SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,cand_ind_celso_nieto_estrada,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
86,B1,1,22,2,0,0,2,11,0,11,3,27,0,0,6,1,58,27,0,0,9,0,1,0,8,163,1,14,367,482
86,C1,2,7,3,0,0,0,27,0,4,13,16,0,0,2,1,47,51,0,0,1,0,0,0,1,172,0,10,357,482
87,B1,1,11,3,0,0,2,7,0,3,13,28,0,0,0,0,56,37,0,0,10,0,0,0,8,241,0,15,435,572
87,C1,0,20,2,0,1,0,13,0,3,10,36,0,0,0,2,33,49,0,0,19,0,0,0,10,222,0,5,425,572
87,E1,3,2,0,0,0,1,27,0,0,1,9,1,0,0,0,19,22,0,0,4,0,4,0,0,65,0,6,164,231
88,B1,3,8,2,0,0,2,12,0,2,21,37,0,3,0,0,62,214,0,0,16,0,0,0,0,141,0,15,538,714
89,B1,0,3,0,1,0,1,28,0,2,5,42,0,0,0,0,63,31,0,0,32,0,0,0,0,185,0,19,412,596
89,C1,3,4,4,2,1,2,23,0,2,4,42,1,0,2,0,46,37,0,0,43,1,0,0,6,179,0,11,413,596
90,B1,4,0,0,0,0,1,6,0,3,9,32,0,0,0,0,36,18,0,0,14,0,0,0,8,134,0,14,279,424
91,B1,0,0,0,1,0,0,2,1,1,4,8,0,0,0,0,21,13,0,0,3,0,0,0,13,89,0,4,160,206
92,B1,1,6,6,1,1,2,9,0,3,3,42,0,0,7,0,26,27,0,0,11,1,0,0,5,128,0,17,296,426
92,C1,0,7,2,1,0,2,2,0,7,1,42,0,1,6,0,48,46,0,0,8,0,0,0,4,120,0,10,307,426
93,B1,0,5,2,0,0,2,10,1,3,3,13,1,0,1,1,77,51,0,0,1,0,0,0,2,190,0,11,374,518
93,C1,1,7,2,0,0,2,19,0,4,2,17,0,1,0,0,66,53,1,0,7,0,0,0,0,200,0,6,388,518
94,B1,2,14,3,0,0,0,18,0,0,1,24,0,1,0,0,35,72,0,0,15,0,0,0,3,119,0,12,319,443
94,C1,0,14,3,1,0,0,12,1,0,1,32,0,0,0,0,36,57,0,0,16,0,0,0,2,117,0,10,302,443
95,B1,4,3,2,1,1,0,22,0,0,7,82,0,0,0,0,20,34,0,0,6,0,0,0,0,133,0,11,326,467
96,B1,0,11,4,0,0,1,6,0,5,1,9,1,0,0,0,5,19,0,0,13,0,0,0,0,119,0,6,200,253
Totales,,25,144,40,8,4,20,254,3,53,102,538,4,6,24,5,754,858,1,0,228,2,5,0,70,2717,1,196,6062,8369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,C,A,N,D,I,D,A,T,O,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,cand_ind_celso_nieto_estrada,no_registrados,num_votos_nulos,Tot.Votos,
,,25,,,8,4,20,254,3,53,102,538,4,6,24,5,754,858,1,0,228,2,5,0,254,2717,1,196,6062,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,P,A,R,T,I,D,O,S,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,,cand_ind_celso_nieto_estrada,no_registrados,num_votos_nulos,Tot.Votos,
,,25,179,75,8,4,20,254,3,53,102,538,4,6,24,5,754,858,1,0,228,2,5,0,,2717,1,196,6062,
,,0.41%,2.95%,1.24%,0.13%,0.07%,0.33%,4.19%,0.05%,0.87%,1.68%,8.87%,0.07%,0.10%,0.40%,0.08%,12.44%,14.15%,0.02%,0.00%,3.76%,0.03%,0.08%,0.00%,,44.82%,0.02%,3.23%,100%,
