SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,cc_prd_psd,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
707,B1,3,60,6,1,10,1,165,2,4,6,4,1,3,21,0,0,0,0,7,6,1,3,6,0,0,1,12,323,610
707,C1,0,58,4,0,7,0,144,1,1,2,3,2,6,44,0,1,5,0,10,4,0,5,0,0,0,0,4,301,610
707,C2,1,63,8,1,8,0,158,3,1,5,4,0,9,44,0,0,8,0,10,13,0,6,1,0,0,1,11,355,610
708,B1,1,54,5,0,12,0,150,1,2,0,2,0,3,62,1,1,0,2,24,10,0,2,3,0,0,0,10,345,609
708,C1,2,50,12,0,18,0,161,1,0,2,7,1,2,54,0,0,3,0,19,7,0,3,1,0,0,1,16,360,609
708,C2,2,52,7,1,8,3,181,1,1,10,5,2,8,63,1,0,2,1,10,10,1,4,0,0,0,0,9,382,608
708,C3,2,53,13,0,3,2,146,0,0,7,4,0,17,69,0,0,0,0,15,6,1,5,1,0,0,0,11,355,608
709,B1,2,67,0,0,8,1,146,0,0,2,4,1,11,54,0,0,0,0,11,9,1,8,2,0,0,0,7,334,515
709,C1,0,91,1,0,3,13,137,2,0,1,6,1,7,39,0,0,0,0,10,5,1,5,3,0,0,0,6,331,515
709,C2,1,66,6,0,12,1,130,0,0,0,3,0,13,43,2,0,0,0,5,8,0,5,0,0,0,0,1,296,514
710,B1,2,74,1,0,18,2,157,1,1,4,4,1,7,45,0,1,1,0,7,10,1,9,3,0,0,0,7,356,670
710,C1,1,86,1,3,9,0,164,1,0,2,2,0,2,56,1,0,1,0,6,16,0,7,2,0,0,0,9,369,669
710,C2,1,88,3,0,17,1,166,2,3,2,3,1,6,57,1,0,0,0,3,11,1,1,2,0,1,0,16,386,669
710,C3,2,87,4,0,16,3,195,1,1,3,1,0,5,36,0,0,1,0,4,14,0,7,3,0,1,0,5,389,669
711,B1,2,104,4,0,6,0,123,0,1,1,6,0,9,35,0,0,2,0,2,4,0,11,1,0,0,0,6,317,543
711,C1,1,111,3,2,18,0,130,0,2,4,10,0,9,43,0,0,3,0,10,9,0,13,0,0,0,0,4,372,543
712,B1,2,31,4,0,61,0,164,1,0,0,1,2,2,97,0,0,0,1,5,0,1,5,0,0,0,0,4,381,710
713,B1,4,42,7,0,25,1,131,3,1,4,17,0,0,49,1,1,5,0,3,0,0,8,0,0,2,0,9,313,554
713,C1,0,40,7,1,16,0,127,4,4,1,8,0,1,55,0,0,0,0,1,0,0,15,1,0,1,0,9,291,553
714,B1,2,48,10,0,11,0,125,1,3,13,28,0,2,38,0,0,1,0,10,1,0,6,1,0,0,0,10,310,568
714,C1,4,50,8,1,11,1,151,2,1,7,15,0,0,39,0,1,0,0,4,1,0,6,1,0,4,0,2,309,568
714,C2,1,42,10,1,18,1,162,1,1,10,20,2,0,30,0,0,3,0,7,0,0,9,0,0,0,0,10,328,567
715,B1,11,36,8,2,25,2,124,2,2,0,14,2,1,54,0,1,3,0,8,2,0,9,0,0,0,1,6,313,609
716,B1,1,14,10,4,9,4,222,6,0,4,12,2,5,74,0,0,0,0,2,2,0,8,0,0,0,0,13,392,601
716,C1,2,15,11,1,9,8,201,5,2,0,6,0,0,93,1,1,1,1,0,0,1,19,0,0,0,0,9,386,601
717,B1,2,14,10,0,39,17,107,1,1,3,8,0,6,79,1,0,5,0,7,1,1,9,0,0,0,0,8,319,539
717,C1,0,17,1,0,26,20,106,5,0,3,3,0,3,97,0,0,1,6,2,1,0,0,0,0,0,0,14,305,538
717,C2,3,14,6,1,29,18,104,3,0,4,5,0,6,109,0,0,0,1,0,0,1,4,0,0,1,0,9,318,538
718,B1,3,17,9,0,4,1,119,4,0,2,0,2,0,84,0,0,0,0,3,3,0,13,0,0,0,0,6,270,421
718,C1,1,32,9,1,9,1,108,1,1,2,1,0,1,83,0,0,4,0,5,3,0,5,0,0,0,0,12,279,421
719,B1,16,25,5,0,4,1,111,2,1,1,2,0,1,108,0,1,3,0,2,2,0,6,0,0,0,0,5,296,444
719,C1,11,17,0,2,11,0,132,0,1,0,0,0,3,99,0,0,5,0,8,2,0,9,1,0,0,0,4,305,444
720,B1,3,28,8,8,8,8,154,3,2,7,8,1,6,167,2,0,8,2,6,5,0,0,0,0,1,6,6,447,610
721,B1,1,40,10,0,13,4,237,4,1,8,4,1,2,105,1,3,1,0,6,5,1,6,3,0,0,0,14,470,750
722,B1,3,25,4,0,22,1,159,1,0,33,3,1,2,113,2,0,0,0,1,6,1,2,2,0,0,0,7,388,556
722,C1,1,14,3,1,1,1,160,0,1,22,5,0,0,96,0,0,1,0,4,1,2,2,0,0,1,0,10,326,555
723,B1,3,21,13,0,35,2,97,1,0,6,3,0,0,268,0,0,0,0,0,5,0,6,7,0,0,0,8,475,708
723,C1,0,29,7,1,37,2,85,1,1,7,3,1,0,252,0,1,1,0,2,1,1,1,9,0,0,0,6,448,708
723,C2,1,38,4,0,33,8,103,0,0,1,4,0,1,252,1,0,1,0,0,0,1,3,11,0,0,3,4,469,708
724,B1,4,13,1,0,81,1,79,0,0,9,4,1,0,101,0,0,0,0,0,7,0,4,5,0,0,0,8,318,605
724,C1,4,11,3,0,83,0,86,0,3,2,0,1,0,97,0,0,5,1,0,6,0,6,4,0,0,0,12,324,605
724,C2,1,12,4,0,66,3,85,3,1,5,2,0,0,107,0,0,1,0,1,13,2,12,4,0,0,0,12,334,605
725,B1,1,9,6,0,141,0,79,3,1,18,15,1,0,71,0,0,1,0,1,2,3,10,2,0,0,0,0,364,610
725,C1,2,5,7,0,160,1,66,1,3,5,8,0,0,70,1,0,0,0,0,6,3,8,0,0,0,0,15,361,610
725,C2,9,14,6,0,109,2,90,0,0,12,7,1,0,86,0,0,1,0,1,4,0,6,2,0,0,0,11,361,610
725,C3,2,17,1,2,129,0,72,0,1,4,4,0,0,87,0,0,1,1,1,2,5,14,0,0,0,0,14,357,609
726,B1,3,15,2,0,152,2,79,0,2,5,4,1,0,81,0,0,0,0,0,2,7,7,2,0,0,0,5,369,580
726,C1,2,6,5,0,109,75,105,0,0,2,6,0,1,93,0,0,1,0,1,2,1,15,3,0,0,0,9,436,580
727,B1,6,38,13,0,53,1,98,1,12,5,3,0,0,88,0,0,12,0,2,12,1,6,4,0,0,0,10,365,714
727,C1,1,24,11,0,74,2,85,2,7,3,1,1,0,85,0,1,12,0,0,8,4,13,10,0,0,0,11,355,714
727,C2,1,25,5,2,74,0,93,5,14,4,1,0,2,91,0,0,9,0,2,8,0,6,0,0,0,0,10,352,714
728,B1,1,15,2,1,32,1,108,4,9,2,2,0,2,52,0,2,8,0,0,7,0,10,2,0,0,0,13,273,507
728,C1,4,10,3,0,45,0,86,4,8,5,1,1,0,60,1,0,6,0,5,9,1,13,0,0,0,0,9,271,506
728,C2,0,18,0,1,32,2,105,6,6,6,1,0,0,64,1,1,5,1,2,8,1,11,0,0,0,0,7,278,506
729,B1,0,11,1,0,19,2,101,2,2,5,4,0,0,65,0,1,2,1,3,2,0,3,2,0,0,0,3,229,385
729,C1,0,11,1,0,19,2,101,2,2,5,4,0,0,65,0,1,2,1,3,2,0,3,2,0,0,0,3,229,384
730,B1,2,9,18,0,10,0,106,3,1,0,3,1,0,87,0,3,1,0,3,1,0,14,0,0,0,0,3,265,508
730,C1,2,5,8,0,20,1,113,3,0,0,1,0,1,80,1,2,5,0,3,1,0,4,0,0,0,0,6,256,508
730,C2,3,6,15,1,16,0,85,3,5,1,1,0,0,108,0,0,4,1,3,1,1,8,1,0,0,0,3,266,508
