SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
534,C1,14,12,1,2,1,2,190,4,8,0,9,7,4,76,27,1,0,1,1,1,1,2,1,0,15,380,747
535,B1,7,9,1,2,0,1,158,2,6,3,7,2,1,53,25,0,2,0,0,2,0,0,0,0,9,290,613
535,C1,13,9,1,2,2,3,182,2,4,1,10,0,4,45,28,0,0,0,0,3,0,1,0,1,9,320,612
535,C2,4,4,0,2,1,2,158,4,6,2,3,16,3,53,39,1,1,0,0,0,0,0,0,0,11,310,612
536,B1,1,5,1,0,2,6,165,0,7,3,1,2,2,49,12,1,2,0,1,3,0,1,0,0,10,274,519
536,C1,4,6,2,1,3,3,138,0,3,7,5,1,2,45,16,0,0,1,0,0,1,0,0,0,12,250,518
Totales,,288,625,92,193,199,88,14624,100,320,84,746,404,380,4029,2648,70,107,116,27,111,9,39,6,8,675,25988,47872
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,C,A,N,D,I,D,A,T,O,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,undefined,no_registrados,num_votos_nulos,Tot.Votos,
,,288,625,92,193,199,88,14624,100,320,84,746,404,380,4029,2648,70,107,116,27,111,9,39,6,8,675,25988,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,P,A,R,T,I,D,O,S,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,undefined,no_registrados,num_votos_nulos,Tot.Votos,
,,288,625,92,193,199,88,14624,100,320,84,746,404,380,4029,2648,70,107,116,27,111,9,39,6,8,675,25988,
,,1.11%,2.40%,0.35%,0.74%,0.77%,0.34%,56.27%,0.38%,1.23%,0.32%,2.87%,1.55%,1.46%,15.50%,10.19%,0.27%,0.41%,0.45%,0.10%,0.43%,0.03%,0.15%,0.02%,0.03%,2.60%,100%,
