SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
431,B1,17,10,13,9,7,11,89,8,4,4,3,4,3,5,1,0,3,0,3,2,2,4,1,1,0,11,215,534
431,C1,25,7,6,13,5,6,79,4,19,7,2,4,7,3,1,0,4,1,0,1,0,2,0,1,0,9,206,533
431,C2,28,7,11,5,4,10,79,4,13,10,1,4,3,1,2,3,3,0,0,4,0,4,1,1,0,11,209,533
432,B1,22,15,11,18,1,7,89,6,13,7,2,4,6,1,2,1,3,0,0,0,0,4,0,5,1,12,230,516
432,C1,37,9,6,8,4,7,78,0,9,8,2,2,5,1,4,3,5,0,0,2,1,0,0,0,0,15,206,516
432,C2,27,10,15,14,3,10,83,3,17,9,0,3,5,3,2,1,5,1,0,3,1,0,1,0,2,11,229,516
433,B1,36,18,14,12,9,16,50,7,24,5,3,3,4,1,2,4,6,0,0,1,0,1,1,3,0,11,231,600
433,C1,23,11,11,10,13,26,70,2,23,5,1,2,3,0,0,1,3,0,0,1,0,1,0,2,5,3,216,600
433,C2,26,12,9,6,15,18,65,6,22,22,1,1,2,0,0,1,1,0,0,1,0,5,1,4,0,12,230,599
433,C3,36,18,14,12,9,16,51,7,23,5,3,3,4,1,2,4,6,0,0,1,0,1,1,2,0,13,232,599
434,B1,25,11,10,15,5,19,72,4,45,13,0,8,4,2,2,0,6,0,1,4,0,1,0,1,0,12,260,600
434,C1,36,11,9,11,5,12,78,6,28,3,0,5,1,4,0,2,1,1,1,6,0,3,0,2,0,6,231,600
434,C2,28,13,13,11,7,7,89,5,36,4,2,1,1,0,2,0,0,0,2,4,0,0,0,3,0,15,243,600
434,C3,30,7,19,13,11,13,81,7,37,8,2,2,2,3,1,4,0,0,0,6,1,3,1,2,0,9,262,600
435,B1,37,8,14,11,6,8,73,4,25,14,0,3,5,0,3,1,2,0,0,6,0,3,1,4,0,13,241,565
435,C1,41,10,7,7,6,12,104,5,18,8,1,2,6,2,4,0,2,0,0,1,0,1,0,1,0,7,245,565
435,C2,50,14,15,8,9,15,85,1,20,12,0,4,1,2,1,1,7,0,0,4,1,2,1,6,0,10,269,564
435,C3,39,7,14,9,8,14,65,4,17,10,1,3,5,0,1,4,2,0,0,2,1,3,1,1,0,9,220,564
436,B1,35,6,19,13,5,12,110,5,17,12,2,4,3,0,1,1,3,0,0,0,0,3,1,2,0,13,267,650
436,C1,43,9,6,11,13,18,80,7,25,8,1,8,7,1,0,3,6,0,0,1,0,4,0,0,1,9,261,650
436,C2,36,9,15,12,6,11,105,4,23,13,2,2,7,1,1,0,2,2,0,6,0,2,2,4,0,8,273,650
436,C3,23,19,13,9,6,9,106,1,26,9,2,4,8,0,1,4,4,0,1,0,0,6,2,2,0,9,264,650
436,C4,36,12,16,7,8,10,88,4,21,9,1,4,1,2,0,0,6,1,0,4,0,2,4,2,0,9,247,649
437,B1,29,21,7,10,6,12,119,6,37,13,2,3,11,3,2,3,3,1,0,0,0,4,1,0,0,13,306,707
437,C1,28,19,16,13,5,14,111,3,10,4,2,9,7,4,6,1,2,0,0,1,0,3,2,3,1,19,283,707
437,C2,32,23,14,2,3,10,122,2,16,13,0,3,17,3,4,1,1,0,1,6,2,4,0,4,0,13,296,707
437,C3,17,20,14,16,3,12,120,7,17,10,5,2,9,2,4,0,3,0,1,3,0,1,1,3,0,10,280,707
438,B1,28,17,19,2,10,8,99,15,18,15,3,3,10,3,1,1,1,0,0,1,0,0,0,3,0,8,265,600
438,C1,24,15,14,5,3,3,109,8,10,24,2,1,7,2,3,0,3,1,3,1,1,3,1,3,1,8,255,600
438,C2,26,11,28,5,4,5,109,5,15,28,3,1,15,1,4,3,1,0,1,1,1,6,0,1,0,14,288,600
438,C3,32,19,23,2,8,7,96,6,11,22,1,1,9,0,1,1,5,0,2,1,1,2,1,0,0,11,262,600
