SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
850,B1,130,19,1,1,117,8,68,0,16,6,1,6,2,3,0,0,0,0,2,1,0,0,0,2,1,0,1,0,2,3,390,618
850,C1,130,31,1,0,117,8,53,1,24,5,0,7,10,2,0,0,0,0,3,1,6,6,0,0,1,0,1,0,0,3,410,618
850,C2,99,16,3,0,155,3,84,0,9,4,2,2,2,2,2,0,0,3,2,1,0,0,0,1,3,1,0,0,0,5,399,617
850,C3,121,23,3,1,101,8,62,1,20,12,3,8,1,1,1,0,0,0,3,1,0,0,0,2,5,0,2,0,0,7,386,617
850,C4,121,22,3,0,113,3,55,1,22,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,365,617
851,B1,127,27,5,0,97,9,76,1,34,2,1,14,4,12,0,0,0,0,3,1,0,0,0,1,1,0,1,0,0,4,420,596
851,C1,153,9,5,0,66,11,81,2,48,8,1,7,6,1,0,0,0,0,5,2,0,1,0,4,1,0,4,0,0,2,417,595
851,C2,160,20,7,1,90,14,61,0,37,8,0,10,4,5,0,0,0,0,7,0,0,0,0,0,4,1,0,0,0,3,432,595
851,S1,9,0,0,1,2,0,6,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,30,0
852,B1,119,17,0,1,57,14,75,1,60,7,1,4,5,4,1,0,0,3,6,4,0,0,0,4,5,0,6,0,0,5,399,661
852,C1,127,14,4,1,81,11,39,2,80,5,1,6,6,3,0,1,0,1,1,7,0,0,0,1,1,0,0,0,0,13,405,661
852,C2,136,22,3,0,50,9,83,1,56,2,0,5,4,2,0,0,0,0,5,0,0,0,0,1,4,3,0,0,0,4,390,661
852,C3,114,17,2,0,62,6,94,1,66,10,0,4,1,6,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,7,395,660
852,C4,126,19,3,0,73,2,79,0,45,4,1,5,5,3,1,0,0,1,4,0,0,0,1,0,3,2,3,0,0,3,383,660
852,C5,102,17,6,0,68,13,112,2,46,3,1,6,2,5,0,1,0,3,6,0,0,0,0,0,4,1,0,0,0,7,405,660
853,B1,132,20,1,0,81,5,39,1,63,3,2,3,0,3,0,0,0,3,5,2,0,0,0,2,2,0,0,0,0,2,369,737
853,C1,127,14,4,1,81,11,39,2,80,5,1,6,6,3,0,1,0,1,1,7,0,0,0,1,1,0,0,0,0,13,405,737
853,C2,108,20,2,2,91,4,48,0,70,3,4,1,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,10,369,736
854,B1,149,14,3,1,41,5,78,2,24,5,2,7,4,7,0,0,0,0,4,1,0,0,0,2,4,1,4,0,0,9,367,557
854,C1,126,6,1,2,48,5,118,0,38,2,4,4,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,6,364,556
854,C2,123,13,2,3,51,8,88,0,32,0,6,3,5,5,0,0,0,0,5,1,0,0,1,0,0,0,0,6,0,3,355,556
855,B1,119,19,3,0,71,9,83,0,32,2,0,8,5,8,0,0,0,1,4,5,0,0,0,1,0,0,0,1,0,6,377,594
855,C1,123,9,5,0,67,4,87,1,36,7,1,2,7,5,0,0,0,1,3,3,1,0,0,0,1,1,2,0,0,4,370,594
855,C2,131,19,0,1,54,7,106,0,46,3,1,1,6,5,0,0,0,1,7,0,0,0,0,0,4,0,2,0,0,0,394,594
855,C3,134,35,4,1,50,4,98,0,27,3,0,4,10,4,1,0,0,0,7,5,0,0,0,0,1,0,3,1,0,4,396,593
856,B1,81,25,2,6,189,0,43,1,13,2,2,8,2,2,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,8,406,597
856,C1,88,18,3,1,201,3,49,1,15,2,2,8,0,1,0,0,0,9,5,0,0,0,0,1,1,0,0,0,0,4,412,597
856,C2,89,30,4,1,153,4,45,1,22,3,1,3,3,2,0,0,0,17,4,0,0,0,0,3,3,0,0,0,0,8,396,596
857,B1,106,26,3,1,99,5,17,1,4,1,1,2,3,2,0,1,0,23,4,4,0,0,0,1,1,0,0,0,0,19,324,532
857,C1,119,33,2,0,82,1,10,0,4,1,1,2,1,0,0,0,0,41,5,6,0,0,0,3,0,0,0,0,0,7,318,532
857,C2,128,32,0,4,83,4,13,0,1,2,0,0,2,0,0,0,0,33,5,6,0,0,1,2,0,0,0,0,0,12,328,531
858,B1,101,25,3,0,101,1,92,3,25,6,4,10,1,5,0,0,0,25,2,2,0,2,1,1,3,1,2,0,0,15,431,713
858,C1,121,27,3,1,123,6,77,0,24,4,1,2,3,2,0,0,0,21,0,3,0,0,0,3,2,1,1,0,0,12,437,713
858,C2,99,40,6,0,124,5,86,1,26,3,2,6,1,5,0,1,1,14,7,10,0,0,0,5,3,0,1,0,0,9,455,713
859,B1,76,25,5,1,86,2,56,0,0,1,1,1,0,1,0,1,0,4,3,2,0,0,0,3,1,0,0,0,0,6,275,611
859,C1,82,23,5,0,89,5,48,1,3,5,1,2,1,2,1,0,1,3,1,4,0,0,0,3,1,0,0,0,0,6,287,610
859,C2,113,18,6,0,102,1,30,0,0,0,0,0,2,0,0,0,0,3,1,3,0,1,0,1,2,0,0,0,0,8,291,610
859,C3,78,28,5,1,70,3,58,0,1,1,4,0,1,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,9,266,610
859,C4,68,25,5,0,77,2,36,0,5,5,0,1,1,1,0,0,0,3,0,1,0,0,0,1,3,1,0,2,0,10,247,610
860,B1,93,25,11,2,32,4,67,2,2,4,2,1,0,0,0,0,1,6,1,13,1,1,0,1,0,0,0,0,0,6,275,598
860,C1,77,24,4,0,37,1,51,3,3,5,2,1,0,0,0,1,0,3,0,13,0,0,0,1,0,0,0,0,1,6,233,598
860,C2,104,32,12,0,37,1,31,1,5,4,2,2,1,1,0,7,0,6,0,0,0,1,0,1,0,0,0,0,0,7,255,597
861,B1,74,56,3,2,13,4,44,1,2,5,2,1,2,1,0,1,0,3,2,6,0,0,0,0,0,0,1,0,0,13,236,546
861,C1,91,34,5,1,29,1,50,1,3,1,1,0,0,0,0,0,0,3,6,7,0,0,0,1,0,0,0,0,0,7,241,546
861,C2,79,43,6,3,27,0,52,0,1,12,0,2,2,0,0,0,0,4,4,9,0,0,0,2,0,0,0,0,0,10,256,546
862,B1,88,33,4,1,59,1,56,2,5,4,2,1,0,2,0,0,0,8,1,7,0,0,1,1,1,0,0,0,0,10,287,654
862,C1,91,27,4,0,59,3,57,3,1,2,3,0,3,1,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,8,278,654
