SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_psd,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
188,B1,45,23,23,6,3,3,56,2,1,21,12,2,4,3,18,4,7,1,1,2,3,6,3,1,0,0,0,0,0,9,259,648
188,C1,53,11,26,4,5,4,51,2,2,32,8,1,1,1,17,2,5,6,1,2,10,1,2,0,0,0,0,0,0,14,261,648
188,C2,42,19,19,4,9,3,50,1,0,29,4,1,1,3,14,5,5,8,1,0,1,17,4,1,2,0,0,1,0,18,262,648
188,C3,32,14,19,5,11,4,60,4,3,19,7,0,5,5,13,3,5,5,2,2,1,5,3,0,2,0,2,1,0,12,244,648
188,C4,39,18,22,5,3,2,51,4,2,31,13,2,3,5,23,1,6,6,0,1,1,7,4,0,1,1,0,0,0,6,257,647
188,C5,42,10,21,4,5,8,43,0,1,20,14,0,4,7,20,3,3,2,0,1,1,5,7,0,3,0,0,0,3,7,234,647
189,B1,55,11,21,4,6,2,54,1,1,19,7,2,7,5,7,1,5,1,2,0,1,4,6,1,0,0,1,1,1,6,232,548
189,C1,54,10,11,4,5,2,61,0,1,23,5,1,2,2,19,1,2,2,3,0,2,7,9,0,0,0,2,0,0,11,239,548
189,C2,41,18,9,5,8,8,63,2,1,18,4,0,7,9,16,0,3,0,5,2,1,2,4,1,0,0,1,0,0,10,238,548
190,B1,34,18,22,3,6,3,44,3,8,34,22,2,7,2,12,1,10,2,1,0,2,5,3,2,1,0,1,0,2,15,265,612
190,C1,38,31,16,5,10,5,61,0,2,16,13,3,6,4,9,6,4,6,2,1,1,10,2,1,0,0,0,0,3,12,267,612
190,C2,54,11,13,5,8,5,57,4,1,12,19,0,1,3,16,4,7,2,3,1,3,11,1,0,1,1,1,0,1,11,256,612
190,C3,45,9,18,5,9,4,69,1,3,17,19,2,5,1,9,1,11,1,1,0,4,6,0,1,1,0,1,0,1,14,258,612
190,C4,59,14,16,1,9,1,62,1,5,24,13,0,4,4,16,6,13,6,0,0,1,9,1,4,0,0,0,0,0,8,277,611
191,B1,57,25,12,6,14,5,70,2,8,21,19,3,2,6,9,6,14,7,1,1,10,12,1,2,0,0,0,0,3,11,327,691
191,C1,59,14,15,9,12,3,70,1,3,26,18,4,8,7,13,4,9,2,1,1,2,8,1,1,2,0,0,0,1,7,301,690
191,C2,59,30,5,5,18,6,63,1,10,21,8,2,5,6,18,9,5,9,0,3,7,8,2,1,0,2,1,0,0,13,317,690
192,B1,63,23,6,1,10,0,71,0,0,27,12,5,4,3,23,0,8,4,1,0,4,8,1,2,2,0,0,0,1,8,287,569
192,C1,59,24,9,1,9,5,53,1,1,23,12,3,4,3,16,1,5,9,0,0,5,6,1,2,2,0,0,0,0,11,265,568
192,C2,58,25,12,0,4,3,57,1,3,23,9,2,7,3,24,4,6,2,1,1,10,6,0,1,0,0,2,0,0,11,275,568
192,C3,62,19,10,2,5,2,67,1,1,24,14,8,2,8,32,2,9,1,0,1,3,14,2,0,0,0,2,0,2,7,300,568
193,B1,48,19,13,3,4,2,69,0,0,31,3,5,3,6,38,8,7,3,1,0,4,13,2,2,0,0,1,0,1,10,296,672
193,C1,48,20,4,2,9,5,64,4,3,26,9,8,3,8,31,6,8,3,1,2,2,7,3,2,0,0,0,0,4,7,289,671
193,C2,43,17,7,3,11,9,72,2,0,24,14,10,4,5,36,9,7,3,2,0,2,9,2,0,0,0,0,0,0,14,305,671
193,C3,44,22,3,4,5,2,68,1,6,21,7,12,3,11,31,3,5,1,0,1,2,7,1,1,5,0,0,0,0,11,277,671
193,C4,42,27,8,2,7,2,84,1,2,15,10,7,3,3,43,7,5,1,2,2,8,7,2,0,1,0,0,0,0,7,298,671
194,B1,54,12,7,4,6,3,78,1,1,19,11,4,4,3,18,3,4,8,1,5,1,10,1,3,1,0,1,1,1,12,277,685
194,C1,49,25,9,2,6,6,63,1,1,40,13,3,4,10,49,4,7,1,3,1,1,12,0,0,2,0,2,0,2,9,325,685
194,C2,55,14,10,2,8,2,74,2,0,15,9,4,2,12,36,7,4,4,2,0,4,3,2,1,0,1,0,0,1,14,288,685
194,C3,49,23,9,4,8,10,70,2,0,13,14,9,2,14,33,5,4,7,1,0,4,10,1,0,1,0,0,0,2,17,312,684
194,C4,44,21,9,6,5,5,83,3,0,24,16,10,2,8,34,0,8,2,6,1,1,7,0,0,0,0,2,0,3,15,315,684
194,C5,54,18,8,4,4,4,66,3,1,20,8,9,3,9,27,1,5,10,1,1,3,10,2,0,1,0,1,0,0,2,275,684
195,B1,81,16,24,5,10,4,52,1,4,27,17,1,4,4,52,3,6,0,2,0,0,8,1,3,2,0,0,0,0,7,334,684
195,C1,67,19,18,2,10,6,66,2,0,24,18,5,3,2,32,7,2,3,0,2,0,5,0,1,0,0,0,0,0,8,302,684
195,C2,64,19,20,5,12,5,64,1,2,16,10,4,0,5,45,2,1,7,1,2,1,5,0,2,0,0,2,0,3,13,311,684
195,C3,87,13,12,1,17,3,72,1,0,32,17,1,2,5,39,1,5,7,0,1,1,10,0,0,0,1,0,0,0,6,334,683
196,B1,47,19,7,1,8,2,53,1,2,29,4,1,5,2,30,3,4,0,2,1,4,11,2,1,0,0,0,0,0,17,256,629
196,C1,83,22,10,3,5,4,54,0,0,48,7,2,2,5,34,5,3,4,2,5,2,12,2,0,1,1,1,0,0,14,331,628
196,C2,61,13,3,4,8,2,49,1,2,39,9,0,3,9,38,7,4,2,2,4,1,3,1,1,1,0,0,0,2,28,297,628
196,C3,48,16,8,2,34,1,44,2,2,32,8,0,4,6,51,3,8,0,2,3,3,11,0,2,1,0,1,1,0,8,301,628
196,C4,42,17,6,2,7,1,51,0,0,41,2,1,3,8,36,1,5,4,2,7,1,6,2,0,0,0,0,0,1,21,267,628
197,B1,51,15,21,3,8,2,73,3,0,29,13,1,3,3,30,0,3,0,0,0,1,10,0,0,0,0,0,0,2,16,287,680
197,C1,61,18,30,0,17,5,48,1,0,25,23,1,3,5,25,3,1,2,1,1,2,13,0,0,2,0,1,0,0,13,301,680
