SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
791,C5,9,75,7,2,35,18,98,0,1,1,0,2,1,0,45,0,0,0,11,0,1,1,0,0,6,313,629
792,B1,6,89,5,0,43,46,80,1,2,0,0,0,0,1,49,0,0,0,5,0,0,0,0,0,13,340,601
792,C1,8,71,2,1,75,28,93,2,1,0,0,0,1,0,47,1,0,0,10,0,0,0,0,0,11,351,601
792,C2,7,80,2,0,51,41,96,0,1,2,0,1,1,0,58,0,0,0,5,2,0,0,0,0,5,352,601
793,B1,50,103,2,3,23,8,63,0,0,1,1,0,0,1,45,6,0,0,0,0,1,0,1,0,12,320,650
793,C1,45,104,4,1,22,10,59,2,4,1,1,0,0,0,44,1,0,0,1,0,0,0,1,0,7,307,649
794,B1,57,73,0,1,38,3,81,1,2,0,0,0,0,0,46,2,0,0,1,5,0,1,1,0,10,322,659
794,C1,45,79,4,1,23,3,80,0,1,0,1,0,0,0,57,4,0,1,5,3,0,0,4,0,9,320,658
794,C2,41,94,1,7,35,5,103,2,0,3,0,0,0,0,52,8,0,0,1,2,0,0,2,0,4,360,658
794,C3,47,86,5,1,33,4,92,1,4,0,0,1,0,0,48,4,0,0,3,0,0,0,2,0,10,341,658
794,C4,43,69,1,4,24,10,81,0,1,4,0,0,1,1,64,0,0,0,2,0,0,0,1,0,9,315,658
794,C5,56,83,4,1,39,3,68,1,1,3,0,1,1,2,36,2,0,0,2,0,0,2,0,0,10,315,658
795,B1,57,73,3,2,45,5,79,0,0,1,1,0,0,0,58,10,0,1,1,3,0,0,0,0,10,349,603
795,C1,38,92,5,2,32,5,78,1,0,1,0,0,0,1,59,3,0,1,0,0,0,1,2,0,2,323,603
795,C2,47,94,1,0,32,6,81,1,0,1,1,1,0,1,70,7,0,0,1,1,0,0,0,0,17,362,603
795,C3,46,86,0,0,38,15,70,0,0,2,0,0,0,1,61,7,0,0,3,1,0,2,5,0,5,342,602
796,B1,31,63,2,1,37,7,88,0,0,1,0,0,0,1,59,1,0,0,7,0,0,0,1,0,11,310,596
796,C1,37,56,2,1,44,8,78,1,3,1,0,1,0,1,61,1,0,0,3,1,0,1,0,0,14,314,596
796,C2,41,55,0,0,29,6,76,1,0,1,0,1,0,2,56,5,0,0,5,0,0,0,0,0,4,282,595
796,C3,42,53,6,0,30,2,65,0,0,2,0,0,0,3,82,7,0,0,4,0,0,1,1,0,16,314,595
797,B1,0,51,0,2,17,11,76,0,1,3,0,0,0,0,72,8,0,0,3,3,0,0,1,0,3,251,612
797,C1,5,70,1,2,30,5,54,0,0,2,1,1,0,1,70,5,0,1,4,7,0,1,0,0,11,271,612
797,C2,4,48,1,2,25,5,87,0,1,3,1,0,3,2,76,5,0,0,1,7,1,0,1,0,12,285,612
797,C3,8,69,1,0,43,5,89,1,2,0,2,0,1,0,51,9,0,1,0,1,0,0,0,0,9,292,611
797,C4,3,60,4,2,37,4,80,0,1,1,1,1,0,0,48,6,0,0,2,3,0,0,0,0,8,261,611
798,B1,4,108,9,0,37,7,96,0,1,0,0,0,1,0,52,15,0,0,3,0,0,1,0,0,11,345,707
798,C1,10,88,8,1,37,11,78,1,0,1,0,0,1,0,59,26,0,0,3,1,0,0,1,0,8,334,707
798,C2,3,94,5,0,35,13,119,1,0,3,0,0,0,0,54,24,2,0,0,0,0,0,0,0,13,366,706
914,B1,12,111,5,4,39,3,99,0,0,0,2,1,0,0,70,0,0,1,1,0,0,0,0,0,17,365,642
914,C1,8,109,20,1,43,6,112,2,0,0,4,0,0,0,81,0,0,1,3,9,0,1,0,0,3,403,641
914,C2,8,140,7,3,38,0,71,0,1,1,5,1,0,0,61,0,0,2,10,8,0,0,0,0,5,361,641
914,C3,17,116,13,1,30,5,102,0,0,0,4,2,1,0,76,1,0,0,3,3,1,2,0,0,5,382,641
915,B1,17,140,0,3,28,7,88,0,1,2,0,0,1,0,34,1,0,0,2,0,2,1,2,1,5,335,714
915,C1,8,114,2,2,32,8,99,4,1,2,2,0,1,0,38,0,0,1,1,1,0,1,1,0,5,323,714
915,C2,19,116,3,1,24,5,102,1,0,3,1,0,0,0,43,0,0,0,1,0,1,0,1,0,10,331,713
Totales,,1155,7679,358,129,2835,714,7087,55,89,92,77,51,31,39,5024,356,4,35,428,119,8,30,45,3,774,27217,53465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,C,A,N,D,I,D,A,T,O,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,no_registrados,num_votos_nulos,Tot.Votos,
,,1155,7679,358,129,2835,714,7087,55,89,92,77,51,31,39,5024,356,4,35,428,119,8,30,45,3,774,27217,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,P,A,R,T,I,D,O,S,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,no_registrados,num_votos_nulos,Tot.Votos,
,,1155,7679,358,129,2835,714,7087,55,89,92,77,51,31,39,5024,356,4,35,428,119,8,30,45,3,774,27217,
,,4.24%,28.21%,1.32%,0.47%,10.42%,2.62%,26.04%,0.20%,0.33%,0.34%,0.28%,0.19%,0.11%,0.14%,18.46%,1.31%,0.01%,0.13%,1.57%,0.44%,0.03%,0.11%,0.17%,0.01%,2.84%,100%,
