SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,coal_prd_pri,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
391,B1,63,4,3,22,22,7,54,1,61,2,2,2,8,1,52,7,2,1,1,2,0,2,5,1,2,0,6,333,665
391,C1,63,4,3,22,22,7,54,1,61,2,2,2,8,1,52,7,2,1,1,2,0,2,5,1,2,0,6,333,665
391,C2,56,4,4,22,10,11,42,1,52,1,0,0,10,0,52,11,1,2,2,3,0,3,6,5,2,0,8,308,665
391,C3,66,5,6,26,11,7,43,0,63,1,1,0,12,0,42,7,1,1,0,1,0,1,3,1,0,0,11,309,665
391,C4,72,8,6,16,11,8,39,1,39,1,0,3,6,1,72,11,0,1,0,0,1,2,4,5,0,0,14,321,665
391,C5,71,5,8,21,17,15,47,5,57,1,0,2,5,0,45,13,0,1,1,6,0,1,5,2,2,0,8,338,665
391,C6,46,8,6,18,21,6,57,2,59,1,3,2,7,1,53,9,2,1,0,1,0,0,3,2,1,0,11,320,665
392,B1,75,10,0,29,20,0,46,0,33,1,14,2,26,1,46,16,3,0,0,6,0,2,1,1,1,0,12,345,745
392,C1,56,6,5,48,22,1,36,2,47,0,15,3,29,1,61,12,1,2,1,1,1,4,1,1,0,0,8,364,744
392,C2,43,6,5,34,29,0,43,0,37,1,12,0,23,0,59,16,2,0,0,7,0,5,5,1,0,0,13,341,744
393,B1,64,9,8,34,21,1,60,0,25,0,8,2,8,1,34,6,2,0,0,2,0,4,2,3,0,0,17,311,723
393,C1,70,8,1,25,17,1,68,1,22,3,9,0,8,1,34,4,1,1,0,3,0,4,3,2,0,0,9,295,723
393,C2,82,4,4,37,7,2,52,5,22,2,11,2,15,2,34,13,1,0,1,3,0,0,0,2,1,0,9,311,723
393,C3,62,9,6,49,21,3,63,2,27,2,15,5,12,3,40,9,0,0,0,2,0,5,1,0,0,0,7,343,723
393,C4,69,4,3,36,22,0,75,2,23,0,14,3,18,0,43,13,0,0,1,2,0,4,1,0,1,0,11,345,722
393,C5,56,8,6,35,13,4,74,2,18,4,10,2,17,0,36,5,0,0,0,1,0,6,1,4,0,0,8,310,722
394,B1,95,4,3,42,12,1,37,0,59,2,8,6,13,0,45,5,0,0,0,4,0,1,8,4,1,0,7,357,659
394,C1,82,2,2,42,9,1,48,5,33,4,3,2,18,0,72,10,0,1,2,5,0,2,4,3,0,0,11,361,659
394,C2,86,2,3,39,16,3,58,1,48,6,4,0,12,1,66,5,0,0,0,8,0,2,10,0,0,0,10,380,658
395,B1,90,1,4,18,18,2,41,1,72,0,1,3,6,0,51,10,2,1,0,0,0,1,1,3,0,0,9,335,570
395,C1,66,5,3,20,17,2,51,1,54,0,3,6,5,1,38,11,0,1,1,2,0,3,3,5,3,0,8,309,569
395,C2,78,5,4,13,14,1,48,0,66,0,2,2,3,0,40,10,3,2,1,1,0,1,4,2,1,0,9,310,569
396,B1,60,3,1,34,23,1,41,0,48,1,0,1,13,0,45,13,1,0,0,2,0,0,6,1,1,0,11,306,695
396,C1,69,4,3,40,26,3,43,1,34,0,0,2,18,1,67,4,5,0,0,3,0,1,10,2,0,0,15,351,695
396,C2,57,9,1,29,26,2,67,1,52,1,0,1,16,0,49,5,0,1,1,4,1,1,4,2,0,0,5,335,695
396,C3,74,1,6,41,21,5,50,0,51,1,2,1,13,0,57,5,0,2,1,3,0,1,5,1,1,2,8,352,695
396,C4,76,2,4,42,21,1,37,0,53,3,0,3,12,0,53,11,5,0,1,3,1,1,7,3,0,0,9,348,694
396,C5,79,7,1,29,24,4,37,0,29,2,4,2,15,1,78,13,1,0,1,1,0,4,10,3,2,0,9,356,694
