SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
734,B1,48,26,12,2,12,0,115,0,72,0,9,1,1,5,13,0,46,4,3,1,0,1,0,0,9,380,673
734,C1,54,21,2,2,15,1,115,0,64,2,8,1,5,6,8,1,31,1,3,2,1,4,2,0,5,354,673
734,C2,43,24,14,2,20,1,113,0,61,0,17,1,4,2,3,0,46,1,4,0,0,0,0,0,11,367,672
735,B1,26,19,5,4,16,0,93,1,59,0,2,5,2,11,25,0,8,0,0,0,0,4,0,0,9,289,516
735,C1,28,22,6,3,17,0,78,0,52,0,2,6,1,11,13,1,12,0,0,2,0,1,1,0,12,268,516
735,C2,38,15,6,5,13,0,93,1,53,0,3,3,2,7,8,0,11,0,0,1,0,7,2,0,8,276,515
736,B1,52,22,7,6,6,0,75,1,53,0,4,2,5,6,13,0,4,1,5,0,0,0,5,0,6,273,538
736,C1,67,24,9,3,13,1,60,0,73,0,0,2,7,7,6,0,3,1,8,1,0,2,2,0,3,292,537
737,B1,86,25,3,3,19,0,92,1,94,1,6,4,2,5,12,0,0,0,2,0,0,0,2,0,6,363,614
737,C1,55,45,1,6,12,0,97,1,104,0,3,2,0,9,25,1,2,0,3,1,0,5,2,0,11,385,613
737,C2,79,36,1,6,14,0,85,0,90,1,4,5,0,6,24,0,4,1,2,0,1,2,0,0,3,364,613
737,E1,40,14,1,4,4,1,59,0,25,0,1,0,0,4,6,1,1,1,0,0,0,0,1,0,6,169,283
737,E2,41,20,0,11,1,1,120,2,43,1,8,1,1,4,22,0,7,5,2,1,0,3,1,0,6,301,581
738,B1,51,11,0,8,20,0,109,0,83,0,6,1,3,4,10,0,5,1,4,0,0,0,8,0,7,331,537
738,C1,64,16,0,6,23,1,97,0,83,1,3,2,4,4,5,2,4,0,1,0,0,1,10,0,6,333,537
738,C2,49,20,1,7,14,0,123,0,72,0,11,4,1,5,4,0,6,0,1,0,0,1,11,0,5,335,536
739,B1,53,24,1,4,26,0,89,1,54,0,7,4,8,3,9,1,11,1,5,1,0,1,1,0,3,307,543
739,C1,43,11,2,6,21,0,99,0,72,1,14,3,7,3,9,2,8,3,2,0,0,0,2,0,5,313,542
739,C2,30,20,10,4,16,0,98,0,77,1,4,4,9,1,17,3,17,0,2,1,0,2,1,0,2,319,542
740,B1,27,33,1,5,12,0,94,0,87,1,17,2,1,7,14,0,10,1,2,0,0,0,0,0,3,317,580
740,C1,40,34,2,6,8,0,128,0,68,0,7,0,3,3,20,0,11,0,0,0,0,0,0,0,7,337,580
740,C2,31,34,2,2,9,1,98,0,91,0,13,2,1,4,18,1,3,1,0,1,0,1,0,0,3,316,580
740,C3,31,35,4,6,9,0,126,1,81,0,10,2,0,1,20,0,12,4,0,0,0,1,1,0,2,346,579
741,B1,23,21,2,2,11,0,119,0,92,1,7,4,6,4,11,0,1,1,1,0,0,3,3,0,9,321,527
741,C1,29,24,2,3,29,1,99,1,71,1,8,0,1,11,10,1,4,2,0,0,0,2,3,0,13,315,526
741,C2,40,19,4,1,18,1,116,1,63,0,4,6,4,11,7,1,2,2,2,0,0,0,0,0,7,309,526
741,S1,1,5,1,0,1,0,10,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,25,0
742,B1,72,8,1,9,16,0,98,0,103,0,6,1,1,14,16,0,4,0,4,0,0,2,1,0,3,359,586
742,C1,66,28,0,1,9,1,96,2,112,0,3,4,0,18,20,1,2,0,3,0,0,4,2,0,2,374,585
743,B1,29,43,0,7,13,0,98,0,65,1,14,1,1,2,4,1,3,1,0,3,0,1,0,0,4,291,641
743,C1,24,46,9,12,10,0,95,51,4,0,16,1,2,2,7,2,7,0,0,1,0,0,0,0,7,296,641
743,C2,46,21,2,15,12,1,119,0,49,0,18,2,0,1,7,1,7,1,1,2,0,0,1,0,6,312,641
744,B1,103,35,8,2,23,1,104,0,67,1,6,1,10,2,22,0,2,2,0,0,0,3,0,0,10,402,681
745,B1,19,43,2,3,4,2,51,2,55,3,0,3,2,0,42,1,5,0,0,0,0,16,2,0,6,261,471
745,E1,6,56,5,9,0,1,92,43,0,0,2,0,0,1,39,0,2,14,1,0,0,4,2,0,4,281,391
745,E2,27,36,2,5,5,0,73,1,39,0,10,2,2,1,19,0,2,0,1,0,0,6,0,0,13,244,467
746,B1,17,62,6,18,6,1,109,2,73,4,4,4,0,0,10,2,4,1,5,0,0,30,0,0,9,367,678
747,B1,20,17,3,2,17,0,53,0,6,0,4,2,2,1,99,0,1,0,0,0,1,0,0,0,8,236,377
748,B1,40,84,10,10,16,0,122,0,40,0,5,3,0,4,28,0,1,0,0,0,0,25,0,0,13,401,606
749,B1,36,48,1,21,9,0,78,1,24,0,1,0,2,0,22,0,1,0,1,0,0,3,2,0,12,262,444
749,C1,33,35,2,17,5,0,85,0,38,0,4,1,6,0,24,0,0,0,0,0,0,4,1,0,8,263,444
750,B1,12,21,0,89,6,0,72,0,53,0,3,0,0,0,4,19,2,0,5,0,0,9,0,0,12,307,507
751,B1,7,31,4,16,4,1,80,0,22,3,11,1,0,0,19,2,1,1,0,5,0,4,2,0,6,220,419
752,B1,6,16,2,9,4,1,41,1,63,1,2,1,0,0,28,1,0,0,0,1,0,2,0,0,14,193,271
753,B1,18,39,0,9,4,1,40,0,28,0,5,4,1,2,6,2,1,0,0,0,0,0,0,1,8,169,369
754,B1,3,17,0,35,4,2,34,1,20,0,2,1,0,0,19,1,0,0,0,0,0,1,0,0,6,146,224
