SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
670,B1,3,3,4,0,105,135,39,0,8,2,8,0,0,0,3,18,2,3,11,4,0,0,0,0,0,6,354,551
670,C1,3,2,2,1,76,164,31,0,4,2,8,0,2,0,3,11,0,0,18,3,0,0,0,0,0,3,333,551
670,C2,2,5,0,0,91,140,24,0,9,3,6,0,5,0,3,10,0,5,18,2,0,0,0,0,0,6,329,550
671,B1,1,5,3,0,134,174,58,0,5,0,4,0,1,0,11,8,0,2,8,1,0,0,0,0,2,8,425,739
671,C1,6,5,0,1,137,176,62,0,9,2,6,1,3,0,5,11,0,0,6,3,0,0,0,0,0,11,444,739
672,B1,10,14,4,0,85,171,44,2,2,1,3,0,6,0,6,4,0,0,11,8,0,0,0,0,0,13,384,585
673,B1,2,2,0,0,103,165,52,0,4,3,3,0,2,0,3,9,0,1,6,3,0,0,0,1,0,4,363,542
673,C1,4,6,1,0,69,164,57,0,6,1,1,0,3,0,8,7,0,0,7,4,0,0,0,0,0,7,345,541
673,C2,2,5,1,1,107,151,50,0,4,3,4,0,4,0,16,4,0,0,9,6,0,0,0,0,1,5,373,541
674,B1,3,3,5,0,133,142,48,1,3,1,5,0,11,0,12,8,0,0,9,3,0,0,0,0,0,7,394,575
674,C1,2,12,2,0,120,148,46,0,8,0,12,1,8,1,12,11,0,0,7,10,1,0,0,1,1,6,409,575
675,B1,2,5,0,0,86,174,59,0,7,0,11,1,1,0,4,8,0,0,12,2,0,0,0,0,0,0,372,676
675,C1,8,6,3,1,107,119,65,0,4,2,8,2,5,0,4,14,0,3,27,6,0,0,0,1,0,7,392,676
675,C2,3,6,5,1,106,164,62,0,5,1,2,0,1,1,6,6,0,0,13,1,1,0,0,1,1,4,390,676
676,B1,1,3,3,0,120,128,49,0,3,3,7,0,3,0,7,7,0,0,9,5,0,0,0,0,0,5,353,546
676,C1,3,1,0,1,131,114,57,0,4,1,8,0,3,0,7,13,0,0,5,5,0,0,0,0,0,5,358,545
676,C2,2,4,3,0,121,124,49,0,2,1,4,0,0,0,5,12,0,0,8,6,1,0,0,0,0,9,351,545
