ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PRI_PVEM,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PAN_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERÉTARO,1,AMEALCO DE BONFIL,34,87,14789,8594,374,354,588,725,288,2249,314,165,447,87,24,31,13,648,,,,,,,,,,,,,29690,11,1780,31481,45894,
22,QUERÉTARO,2,ARROYO SECO,11,23,796,2627,1365,49,113,79,71,1654,156,83,108,,,,,,31,65,1,3,,,,,,,,,7201,1,489,7691,10955,
22,QUERÉTARO,3,CADEREYTA DE MONTES,30,85,10232,6560,567,478,632,866,492,5740,614,302,1278,216,70,63,32,305,,,,,277,,,,,,,,28724,33,1972,30729,49997,
22,QUERÉTARO,4,COLÓN,21,71,10248,6729,836,0,611,944,234,2822,418,2172,408,64,41,25,11,,,,,,,,,,1002,,,,26565,51,1752,28368,43739,
22,QUERÉTARO,5,CORREGIDORA,62,217,33249,10509,1084,1371,2301,3896,1432,17266,2257,905,3593,736,212,147,71,607,,,,,204,,1821,,,1752,,,83413,82,3810,87305,134877,
22,QUERÉTARO,6,EZEQUIEL MONTES,17,53,6855,3113,735,210,757,1770,239,3882,306,206,588,151,33,60,18,151,,,,,214,,,,,,,,19288,7,1159,20454,30261,
22,QUERÉTARO,7,HUIMILPAN,14,48,5748,3336,562,451,673,789,310,1465,264,326,229,26,10,25,6,61,,,,,,,,,,106,,,14387,4,1121,15512,27969,
22,QUERÉTARO,8,JALPAN DE SERRA,15,42,3481,5958,135,62,336,86,91,1667,705,175,150,,,,,,96,52,7,3,,,,,,,,,13004,6,769,13779,20479,
22,QUERÉTARO,9,LANDA DE MATAMOROS,14,32,3974,3981,80,75,293,70,178,694,133,168,59,,,,,,44,48,12,1,,,,,,,,,9810,1,711,10522,15876,
22,QUERÉTARO,10,EL MARQUÉS,33,176,18541,17738,7063,1553,1113,1597,893,12128,1065,1043,1447,394,78,109,66,701,,,,,,,,4417,,,,,69946,34,2783,72763,112388,
22,QUERÉTARO,11,PEDRO ESCOBEDO,24,84,10212,6529,1247,389,1810,1203,613,5982,1607,1141,2222,324,70,63,23,223,,,,,,,,,,,,,33658,16,1751,35425,51376,
22,QUERÉTARO,12,PEÑAMILLER,14,31,1591,3393,120,169,2574,159,130,934,182,321,175,,,,,,26,7,1,3,,,,,,,,,9785,2,791,10578,14199,
22,QUERÉTARO,13,PINAL DE AMOLES,18,40,3641,3601,222,785,1389,105,97,938,177,231,85,,,,,,46,35,29,8,,,,,,,,,11389,3,889,12281,19432,
22,QUERÉTARO,14,QUERÉTARO,400,1184,147817,55957,7035,8483,6818,12589,7782,117953,8068,7183,23258,4253,905,977,253,1434,532,96,71,22,2396,,1161,,,,3045,3011,421098,524,17429,439052,725247,
22,QUERÉTARO,15,SAN JOAQUÍN,7,16,1491,1277,86,38,86,52,64,517,64,50,115,,,,,,23,23,3,1,,,,,,,,,3890,3,443,4336,6625,
22,QUERÉTARO,16,SAN JUAN DEL RÍO,102,337,41495,20453,1677,2311,3103,4554,2013,30975,2369,1512,4333,1620,339,342,108,821,,,,,,3134,,,,,,,121159,141,4909,126209,201655,
22,QUERÉTARO,17,TEQUISQUIAPAN,30,85,13675,5709,822,0,553,1510,662,7940,758,395,515,249,106,67,17,,,,,,,,,,2217,,,,35195,22,1686,36903,52131,
22,QUERÉTARO,18,TOLIMÁN,14,37,3969,1716,217,550,987,454,357,2206,1218,748,203,46,24,14,3,56,,,,,88,,,,,,,,12856,1,890,13747,19853,
