ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,C_COMUN_PRI_PVEM,C_COMUN_MC_PAS,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,1,AHOME,455,638,36471,45472,4597,3086,3048,1380,16474,19560,9214,1939,0,0,0,0,0,246,1481,1685,1875,1869,,,,,,,,,,,,,,,,173,148397,5080,153650,307269,0.5001
25,SINALOA,2,ANGOSTURA,106,108,1158,7946,2584,123,653,212,471,8469,400,441,0,0,0,0,0,171,,,,,,,407,,,,,,,,,,,,,11,23035,661,23707,35327,0.6711
25,SINALOA,3,BADIRAGUATO,65,67,567,6419,1873,656,564,489,553,1241,37,60,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,2,12475,602,13079,22191,0.5894
25,SINALOA,7,CHOIX,71,74,8249,6009,611,49,25,50,272,287,39,12,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,2,15605,327,15934,23430,0.6801
25,SINALOA,4,CONCORDIA,46,49,1398,4528,252,311,233,103,2530,1506,356,78,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,61,4,11360,484,11848,20934,0.5660
25,SINALOA,5,COSALA,34,37,536,2636,124,297,32,16,150,3923,46,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,2,7772,244,8018,11881,0.6749
25,SINALOA,6,CULIACAN,1013,1396,38239,96978,7986,3863,6427,3205,6274,57095,18491,5589,302,282,77,20,0,529,,,,,,,,1422,2182,2787,383,2592,8108,1626,,,,,,439,264457,10430,275326,653066,0.4216
25,SINALOA,10,EL FUERTE,176,184,7933,14110,858,764,4802,422,1130,8081,1007,1083,0,0,0,0,0,80,,,,,,,,,,,,,,,,,,,,4,40270,1179,41453,71498,0.5798
25,SINALOA,8,ELOTA,60,73,2400,6887,269,78,180,241,271,5696,167,0,0,0,0,0,0,31,,,,,,,,,,,,,,,,,,,,3,16220,443,16666,28191,0.5912
25,SINALOA,9,ESCUINAPA,64,84,6969,6584,1527,276,130,2946,745,1583,1101,154,47,23,25,6,0,39,,,,,,,,,,,,,,,,,,,,10,22155,707,22872,39585,0.5778
25,SINALOA,11,GUASAVE,438,496,20723,57769,3584,2287,2418,1241,2669,17801,3608,1430,57,63,32,12,101,123,,,,,1337,658,,,,,,,,,,,,,,94,115913,3242,119249,204240,0.5839
25,SINALOA,12,MAZATLAN,501,695,35546,42727,2222,7561,3367,1916,2379,19609,10424,1799,225,349,49,18,0,163,,,,,,,,,,,,,,,808,2562,688,3083,929,313,136424,5462,142199,334891,0.4246
25,SINALOA,13,MOCORITO,131,117,1155,9078,249,115,103,380,265,8185,302,245,0,0,0,0,0,58,,,,,,,,,,,,,,,,,,,,8,20135,563,20706,35020,0.5913
25,SINALOA,18,NAVOLATO,174,218,4120,17863,908,457,7327,1028,1433,14812,2555,987,0,0,0,0,0,34,,,,,,,,,,,,,,,,,,,,18,51524,1554,53096,100611,0.5277
25,SINALOA,14,ROSARIO,88,97,8577,6681,2957,76,82,60,599,2663,451,143,58,27,50,4,0,5,,,,,,,,,,,,,,,,,,,,2,22433,578,23013,37364,0.6159
25,SINALOA,15,SALVADOR ALVARADO,149,164,5034,12956,1099,428,395,348,1355,5711,762,1628,0,0,0,0,0,29,,,,,,,2204,,,,,,,,,,,,,16,31949,872,32837,59680,0.5502
25,SINALOA,16,SAN IGNACIO,44,46,384,3821,174,31,55,35,956,4172,188,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,5,9834,334,10173,16471,0.6176
25,SINALOA,17,SINALOA,189,188,2454,18972,834,211,975,233,414,10338,591,185,0,0,0,0,0,45,,,,,,,,,,,,,,,,,,,,12,35252,1231,36495,62859,0.5806
