ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,1,EL FUERTE,247,258,16263,20253,1472,817,4843,513,1409,8440,1058,1097,,,,,,,,,,,,,,,,,,,,6,56165,1514,57685,94928,0.6077
25,SINALOA,2,LOS MOCHIS,109,163,8989,11611,911,549,1085,452,4314,5997,2737,463,1481,1685,,,,,,,,,,,,,,,,,,44,40274,1408,41726,83631,0.4989
25,SINALOA,3,LOS MOCHIS,151,180,8507,16532,1867,371,890,318,6224,6490,1968,277,,,,,,,,,,,,,,,,,,,,11,43444,1481,44936,82231,0.5465
25,SINALOA,4,LOS MOCHIS,160,191,10463,14353,1128,739,714,425,2790,7054,2689,937,,,,,,,,,,,,,,,,,,,,100,41292,1367,42759,85626,0.4994
25,SINALOA,5,LOS MOCHIS,87,163,10649,9159,1175,1536,480,403,3452,3182,2307,390,,,1875,1869,,,,,,,,,,,,,,,,24,36477,1164,37665,81752,0.4607
25,SINALOA,6,SINALOA DE LEYVA,228,229,3616,23137,1045,332,1980,378,747,11862,862,492,,,,,,,,,,,,,,,,,,,,23,44451,1625,46099,78892,0.5843
25,SINALOA,7,GUASAVE,180,205,9766,24310,1248,1142,759,527,908,5565,1533,613,,,,,1368,,,,,,,,,,,,,,,55,47739,1261,49055,81359,0.6029
25,SINALOA,8,GUASAVE,167,191,7757,23498,1657,923,654,566,1194,7872,1351,388,,,,,,658,,,,,,,,,,,,,,25,46518,1278,47821,80877,0.5913
25,SINALOA,9,GUAMUCHIL,255,272,6230,21040,3691,556,1052,665,1843,14386,1182,2089,,,,,,,2611,,,,,,,,,,,,,28,55345,1541,56914,95007,0.5991
25,SINALOA,10,MOCORITO,243,237,2799,21078,2544,916,2762,1351,1058,13165,941,541,,,,,,,,,,,,,,,,,,,,10,47155,1591,48756,80627,0.6047
25,SINALOA,11,NAVOLATO,127,165,3133,12620,550,344,5255,637,1233,11401,1989,770,,,,,,,,,,,,,,,,,,,,18,37932,1147,39097,77195,0.5065
25,SINALOA,12,CULIACAN DE ROSALES,66,156,5877,13582,947,390,1134,509,1330,9193,2939,735,,,,,,,,1444,2203,,,,,,,,,,,69,40283,1560,41912,90143,0.4650
25,SINALOA,13,CULIACAN DE ROSALES,161,205,5385,17888,892,445,814,459,762,7381,2832,581,,,,,,,,,,2787,383,,,,,,,,,95,40609,1513,42217,95533,0.4419
25,SINALOA,14,CULIACAN DE ROSALES,270,293,8879,14899,893,490,747,454,872,8084,3166,553,,,,,,,,,,,,2594,8112,,,,,,,58,49743,1900,51701,102901,0.5024
25,SINALOA,15,CULIACAN DE ROSALES,78,151,4520,9814,1105,579,666,435,578,6709,2885,632,,,,,,,,,,,,,,1629,,,,,,71,29552,1187,30810,80047,0.3849
25,SINALOA,16,CULIACAN DE ROSALES,55,128,4113,8630,701,848,742,507,753,5685,2197,937,,,,,,,,,,,,,,,,,,,,46,25113,1119,26278,78013,0.3368
25,SINALOA,17,CULIACAN DE ROSALES,155,192,3864,12270,1246,544,761,533,838,6972,2765,1637,,,,,,,,,,,,,,,,,,,,55,31430,1526,33011,91431,0.3610
25,SINALOA,18,CULIACAN DE ROSALES,179,213,4559,14686,1543,450,1251,421,1083,10110,1616,534,,,,,,,,,,,,,,,,,,,,39,36253,1392,37684,88567,0.4255
25,SINALOA,19,LA CRUZ,187,214,4588,19268,1262,540,768,481,1606,17499,602,0,,,,,,,,,,,,,,,,,,,,19,46614,1388,48021,82974,0.5787
25,SINALOA,20,MAZATLAN,94,167,7472,10283,575,4100,837,652,548,5089,2348,377,,,,,,,,,,,,,,,808,,,,,92,33089,1249,34430,89493,0.3847
25,SINALOA,21,MAZATLAN,76,153,8790,9612,766,890,831,575,636,5197,2908,539,,,,,,,,,,,,,,,,2576,691,,,31,34011,1242,35284,85348,0.4134
25,SINALOA,22,MAZATLAN,189,214,10776,13545,514,1599,1092,511,701,5982,3452,467,,,,,,,,,,,,,,,,,,3084,,141,41723,1682,43546,95101,0.4579
25,SINALOA,23,MAZATLAN,188,210,10030,14257,630,1311,1106,372,3165,5082,2124,497,,,,,,,,,,,,,,,,,,,990,56,39564,1803,41423,85883,0.4823
25,SINALOA,24,EL ROSARIO,152,181,15562,13379,4489,353,277,3036,1421,4277,1557,297,,,,,,,,,,,,,,,,,,,,12,44648,1292,45952,76949,0.5972
