ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,ES,MORENA,PH,PT,PRI_NVA_ALIANZA_PVEM,PRI_PVEM_PT,PRI_NVA_ALIANZA,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,PVEM_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
22,QUERETARO,1,QUERETARO,50,93,13200,6861,542,1172,666,1589,769,2090,1208,254,,,,,,,,61,28353,1855,30267,50732,0.5966
22,QUERETARO,2,QUERETARO,106,262,26662,22459,1478,5159,2591,3026,2040,4297,1950,821,602,,92,322,,38,,90,71537,3400,75027,152918,0.4906
22,QUERETARO,3,QUERETARO,64,221,28075,20074,1954,1716,1842,2220,2656,4098,1127,1156,,,,,,,,117,64918,3511,68546,135276,0.5067
22,QUERETARO,4,QUERETARO,69,222,25178,21729,2730,1672,958,1546,1786,5348,1520,948,,,,,,,,102,63415,3359,66876,139019,0.4811
22,QUERETARO,5,QUERETARO,62,142,21582,12015,1901,1124,1173,2071,1354,3650,1650,620,249,,26,170,,32,,93,47617,2849,50559,83261,0.6072
22,QUERETARO,6,QUERETARO,49,145,19320,12520,2956,957,916,1357,1441,3511,1695,401,,170,,232,16,,2,97,45494,2544,48135,89621,0.5371
22,QUERETARO,7,CORREGIDORA,62,187,27631,13529,2739,583,1572,1998,2084,3700,2338,2160,381,,69,254,,29,,152,59067,3540,62759,113775,0.5516
22,QUERETARO,8,AMEALCO DE BONFIL,48,128,16757,16171,1574,1389,3146,1238,408,441,312,356,,,,,162,,,10,41954,2455,44419,67532,0.6577
22,QUERETARO,9,SAN JUAN DEL RIO,60,173,21302,17630,963,715,1826,1689,1294,1967,3085,804,,,,,,,,69,51275,2519,53863,101542,0.5305
22,QUERETARO,10,SAN JUAN DEL RIO,42,143,19937,10732,848,976,1565,1539,897,1324,3460,1486,341,,62,285,,31,,42,43483,2020,45545,81531,0.5586
22,QUERETARO,11,PEDRO ESCOBEDO,54,161,17236,19632,6346,2331,985,8485,820,2288,,936,,,,,0,,,45,59059,2976,62080,94391,0.6577
22,QUERETARO,12,EL MARQUES,33,145,23524,19997,1800,978,1276,2000,726,1907,679,1424,,,,,,,,43,54311,2400,56754,88846,0.6388
22,QUERETARO,13,TOLIMAN,48,129,15636,19452,1577,2785,1923,2606,529,929,862,1226,,,,,,,,17,47525,2774,50316,71189,0.7068
22,QUERETARO,14,CADEREYTA DE MONTES,47,130,17214,12750,1284,1109,1278,6317,708,3460,1097,476,,,,,162,,,56,45855,2347,48258,74644,0.6465
22,QUERETARO,15,JALPAN DE SERRA,65,147,24052,18244,833,207,415,635,194,916,344,165,,,,,151,,,11,46156,1877,48044,69510,0.6912
