CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,ES,MORENA,PH,PT,PRI_NVA_ALIANZA_PVEM,PRI_PVEM_PT,PRI_NVA_ALIANZA,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,PVEM_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,333,3,582,98,15,17,7,54,16,67,40,3,,,,,,,,4,899,52,955,1516
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,338,4,807,341,23,48,24,84,28,101,53,4,,,,,,,,4,1513,97,1614,2773
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,347,2,307,162,11,27,14,34,39,59,26,4,,,,,,,,2,683,51,736,1337
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,348,2,289,150,13,35,30,27,48,67,15,6,,,,,,,,0,680,37,717,1199
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,349,3,470,167,14,36,23,47,27,72,44,11,,,,,,,,4,911,57,972,1761
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,350,2,252,164,9,17,15,35,15,41,25,8,,,,,,,,0,581,27,608,1156
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,351,2,426,112,10,15,9,48,12,34,26,2,,,,,,,,0,694,51,745,1106
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,354,2,245,176,6,14,39,33,7,31,17,2,,,,,,,,1,570,36,607,1077
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,361,2,160,144,10,34,18,13,67,32,13,8,,,,,,,,1,499,36,536,977
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,362,2,202,144,9,16,24,16,12,27,11,5,,,,,,,,0,466,24,490,918
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,363,2,216,182,18,12,22,61,19,42,14,2,,,,,,,,0,588,31,619,1181
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,364,3,522,190,11,38,23,65,17,60,48,4,,,,,,,,5,978,76,1059,1552
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,365,2,160,141,13,21,16,33,12,26,10,5,,,,,,,,0,437,23,460,907
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,366,1,108,115,4,8,11,25,10,11,9,2,,,,,,,,0,303,22,325,601
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,367,1,132,102,7,8,5,24,3,19,5,1,,,,,,,,0,306,27,333,653
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,368,2,269,186,12,34,26,29,35,26,23,8,,,,,,,,1,648,27,676,1166
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,369,2,306,118,11,29,12,22,18,54,31,5,,,,,,,,2,606,45,653,944
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,370,2,220,103,6,22,6,19,12,33,26,2,,,,,,,,0,449,24,473,762
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,371,2,223,106,11,18,8,19,19,48,11,4,,,,,,,,1,467,33,501,887
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,375,2,418,165,12,29,13,87,12,55,33,5,,,,,,,,1,829,57,887,1373
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,376,2,276,200,12,43,16,30,10,16,24,7,,,,,,,,0,634,36,670,1250
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,377,2,243,241,10,21,7,46,10,32,18,5,,,,,,,,1,633,45,679,1142
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,378,1,147,98,6,11,10,22,13,26,18,6,,,,,,,,1,357,15,373,680
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,379,2,260,111,10,14,11,24,13,37,24,3,,,,,,,,4,507,26,537,807
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,380,2,296,197,14,35,20,32,33,52,22,9,,,,,,,,5,710,35,750,1276
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,382,2,371,219,12,28,21,43,13,75,34,15,,,,,,,,2,831,47,880,1294
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,383,2,267,117,10,18,15,23,7,55,23,5,,,,,,,,1,540,45,586,857
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,384,1,167,115,6,7,12,26,6,35,15,0,,,,,,,,3,389,20,412,743
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,385,1,137,81,7,27,12,22,13,38,20,5,,,,,,,,1,362,17,380,675
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,390,1,151,101,12,16,8,8,7,28,18,7,,,,,,,,0,356,30,386,658
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,391,1,142,65,5,13,8,17,6,22,27,1,,,,,,,,0,306,30,336,554
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,392,2,269,156,7,15,15,27,3,37,43,4,,,,,,,,0,576,49,625,970
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,393,3,408,235,30,39,30,48,23,78,33,17,,,,,,,,1,941,58,1000,1548
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,394,2,247,191,16,43,8,25,14,39,26,7,,,,,,,,0,616,32,648,1231
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,398,1,113,117,13,25,5,23,7,22,8,6,,,,,,,,0,339,23,362,634
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,399,2,242,126,9,73,9,28,12,41,22,4,,,,,,,,1,566,48,615,1049
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,400,1,127,74,10,38,9,19,10,28,15,4,,,,,,,,0,334,28,362,644
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,401,2,266,121,7,31,4,31,15,43,15,3,,,,,,,,1,536,41,578,894
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,402,2,344,133,12,18,8,40,12,37,28,1,,,,,,,,1,633,53,687,989
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,410,2,307,133,11,27,7,42,8,39,22,6,,,,,,,,3,602,52,657,1082
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,411,1,157,51,6,7,3,13,8,30,13,4,,,,,,,,2,292,24,318,530
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,412,1,128,81,14,17,7,15,9,26,5,3,,,,,,,,1,305,22,328,562
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,413,2,214,98,6,18,7,27,9,44,30,4,,,,,,,,0,457,28,485,821
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,414,1,179,110,10,22,13,28,10,27,23,2,,,,,,,,0,424,26,450,750
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,415,2,234,99,10,12,5,25,7,38,42,3,,,,,,,,1,475,40,516,813
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,417,2,204,113,14,15,9,27,7,46,37,5,,,,,,,,0,477,24,501,800
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,418,2,232,110,6,10,14,34,18,58,42,8,,,,,,,,1,532,23,556,905
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,419,1,181,50,2,11,5,21,5,33,17,4,,,,,,,,2,329,17,348,622
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,426,2,304,117,18,18,13,35,19,62,41,11,,,,,,,,3,638,48,689,1125
2,22,QUERETARO,1,QUERETARO,14,QUERETARO,428,2,273,135,14,22,10,13,14,41,23,4,,,,,,,,0,549,40,589,981
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,315,2,193,195,14,33,26,39,13,42,21,17,5,,0,0,,0,,0,598,20,618,1117
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,316,4,407,289,34,121,41,56,25,62,36,10,5,,1,7,,0,,4,1094,53,1151,2372
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,317,2,185,158,9,30,20,22,10,40,11,26,4,,0,1,,0,,0,516,17,533,991
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,321,3,289,204,18,52,21,29,19,37,29,8,3,,0,1,,0,,2,710,24,736,1501
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,322,2,200,137,11,55,21,28,17,34,15,11,0,,1,0,,0,,0,530,18,548,1020
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,323,12,1500,1140,103,366,169,183,150,333,142,82,14,,1,15,,1,,6,4199,156,4361,8839
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,329,4,480,265,16,120,40,46,17,80,28,11,5,,0,1,,0,,0,1109,41,1150,2314
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,330,2,230,184,18,60,30,26,18,58,18,6,3,,0,1,,0,,0,652,31,683,1398
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,331,4,376,357,48,103,29,57,29,80,23,9,9,,3,4,,0,,1,1127,33,1161,2527
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,340,4,407,295,28,140,33,46,27,71,26,7,4,,0,4,,2,,0,1090,35,1125,2308
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,341,2,200,200,20,46,34,27,16,34,33,7,6,,2,3,,1,,1,629,26,656,1314
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,342,2,175,144,11,45,15,20,8,32,19,5,3,,0,2,,1,,0,480,259,739,953
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,343,5,582,492,28,147,69,37,48,134,51,19,5,,4,1,,2,,6,1619,86,1711,3204
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,344,6,734,546,34,327,83,88,64,138,61,35,11,,1,12,,0,,0,2134,108,2242,4465
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,345,4,370,270,23,111,44,56,37,68,30,13,12,,2,3,,0,,0,1039,46,1085,2321
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,346,3,309,299,18,53,27,38,13,76,22,9,7,,2,10,,1,,1,884,43,928,1837
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,355,2,211,179,13,67,21,20,13,73,15,14,4,,1,5,,0,,0,636,39,675,1353
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,356,3,358,298,16,79,39,51,28,60,44,12,11,,1,3,,0,,5,1000,56,1061,2010
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,357,3,428,283,38,109,38,43,44,87,39,18,7,,0,0,,0,,2,1134,77,1213,2183
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,358,2,187,116,10,35,15,14,20,31,18,5,2,,0,1,,0,,1,454,22,477,774
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,359,5,717,390,26,164,51,48,59,162,55,21,3,,1,1,,0,,2,1698,85,1785,3012
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,360,3,285,252,24,59,0,0,20,57,21,6,134,,0,0,,0,,0,858,35,893,1774
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,381,5,500,403,32,120,45,64,74,150,61,17,10,,1,5,,2,,2,1484,93,1579,3080
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,395,3,242,198,19,45,30,35,21,64,21,7,7,,10,5,,5,,2,709,35,746,1703
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,396,2,180,180,12,27,7,26,5,27,15,8,5,,1,2,,0,,0,495,6,501,1202
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,397,3,201,229,20,51,26,38,26,61,18,6,3,,1,3,,0,,0,683,37,720,1583
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,416,4,282,395,17,110,30,63,13,39,18,9,8,,0,6,,1,,0,991,40,1031,2642
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,427,5,821,384,27,102,53,62,67,165,49,17,4,,0,0,,0,,2,1751,79,1832,3057
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,517,5,567,528,15,83,51,68,6,16,9,7,12,,2,16,,3,,0,1383,62,1445,2633
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,520,2,308,185,6,90,26,25,9,13,7,3,3,,0,7,,1,,0,683,38,721,1301
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,521,3,162,228,4,20,15,21,8,7,5,2,3,,0,5,,0,,0,480,21,501,996
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,522,13,1119,707,18,69,59,78,21,53,26,11,13,,3,23,,3,,0,2203,100,2303,3152
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,527,6,910,691,26,26,121,71,14,24,24,7,28,,6,18,,0,,10,1966,67,2043,4484
