ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,1,ZACATECAS,62,130,3004,12220,2641,768,814,424,17128,2488,822,975,39,41284,911,42234,71939,0.5871
32,ZACATECAS,2,ZACATECAS,79,133,4761,12657,2909,921,675,906,13515,3809,841,921,25,41915,1082,43022,69765,0.6167
32,ZACATECAS,3,GUADALUPE,59,114,2446,11738,3124,1164,776,356,12164,2591,634,752,20,35745,927,36692,62877,0.5836
32,ZACATECAS,4,GUADALUPE,55,115,2090,12214,3993,1231,947,414,11894,2286,489,510,13,36068,815,36896,62107,0.5941
32,ZACATECAS,5,FRESNILLO,70,116,1884,11409,1351,1041,716,483,11984,3623,301,374,11,33166,940,34117,59251,0.5758
32,ZACATECAS,6,FRESNILLO,80,124,3802,10258,1836,730,641,454,13014,4464,493,624,31,36316,906,37253,64515,0.5774
32,ZACATECAS,7,FRESNILLO,128,159,2108,15121,5115,906,762,419,9474,3949,233,244,13,38331,1128,39472,65056,0.6067
32,ZACATECAS,8,OJOCALIENTE,74,118,1389,9011,5072,3845,3043,2447,7116,3157,136,157,14,35373,1357,36744,57519,0.6388
32,ZACATECAS,9,LORETO,63,109,1000,10061,1811,4276,944,753,12289,3495,181,240,5,35050,1000,36055,55891,0.6451
32,ZACATECAS,10,JEREZ,139,161,7666,13545,1960,1475,698,621,6143,3207,389,823,15,36527,1361,37903,64535,0.5873
32,ZACATECAS,11,VILLANUEVA,104,137,2035,12887,6380,1675,1837,1450,6217,4377,175,303,9,37336,1163,38508,59822,0.6437
32,ZACATECAS,12,VILLA DE COS,143,176,1266,16400,6228,2489,1546,2665,9864,3020,406,435,17,44319,1210,45546,64180,0.7097
32,ZACATECAS,13,JALPA,125,157,6831,13072,1921,3355,883,625,7378,3325,157,307,3,37854,1309,39166,65830,0.5950
32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,153,181,8278,13932,3087,851,1445,1191,10193,1151,432,243,10,40803,1266,42079,67770,0.6209
32,ZACATECAS,15,PINOS,118,143,469,19545,3970,768,634,283,14829,1097,157,157,11,41909,1091,43011,61867,0.6952
32,ZACATECAS,16,RIO GRANDE,88,125,3686,10645,6113,1500,977,578,8038,2916,130,145,5,34728,1258,35991,60053,0.5993
32,ZACATECAS,17,SOMBRERETE,120,149,5406,8968,4524,1906,844,730,6789,3344,120,154,17,32785,970,33772,58117,0.5811
32,ZACATECAS,18,JUAN ALDAMA,98,132,2149,12375,1512,2834,500,338,11573,3492,185,216,7,35174,960,36141,60008,0.6023
33,ZACATECAS,0,VOTO EN EL EXTRANJERO,0,0,13,24,11,1,5,2,18,0,4,2,0,80,0,80,357,0.2241
