CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1791,3,46,325,70,25,10,9,514,66,2,0,4,1,1,21,25,3,1119,25,1147,2046
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1792,2,22,163,14,18,7,6,234,46,3,1,1,0,0,3,9,0,527,12,539,1027
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1793,2,31,167,27,11,12,3,141,31,2,2,2,0,0,8,11,0,448,15,463,813
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1794,1,37,112,19,10,2,5,102,7,4,3,0,0,0,7,7,0,315,19,334,493
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1796,1,17,77,12,2,3,3,85,4,0,1,1,0,0,4,6,0,215,2,217,346
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1806,2,23,135,17,12,10,5,207,27,3,1,4,0,0,9,13,0,466,17,483,771
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1815,2,79,276,40,15,7,8,436,50,3,2,1,0,0,16,15,1,948,16,965,383
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1816,1,19,65,18,0,3,0,90,5,1,0,0,0,0,7,3,1,211,3,215,311
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1817,1,25,89,13,2,10,1,144,21,3,0,0,0,0,0,6,3,314,4,321,518
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1818,2,78,267,37,13,11,2,191,21,10,5,1,0,0,11,3,1,650,15,666,920
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1819,2,45,155,44,15,12,9,236,33,3,2,4,0,0,15,8,0,581,11,592,1085
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1820,6,106,526,152,30,27,15,887,131,4,2,3,0,0,43,41,1,1967,34,2002,3856
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1821,2,30,171,30,10,16,1,232,35,5,0,2,0,0,9,14,0,555,15,570,1047
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1822,2,33,156,28,6,7,3,209,40,3,1,2,0,0,9,11,0,508,9,517,921
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1823,2,31,154,44,7,11,3,185,48,10,1,3,0,0,8,15,0,520,16,536,968
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1824,2,24,153,29,15,6,9,186,35,0,0,1,1,0,13,9,0,481,14,495,832
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1825,2,31,142,29,8,11,2,231,33,3,0,2,0,0,6,15,0,513,14,527,880
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1826,1,47,190,34,4,11,5,144,13,0,2,3,0,0,6,3,0,462,9,471,710
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1827,1,35,182,19,5,4,2,132,14,6,2,0,0,0,7,12,0,420,9,429,609
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1828,1,26,111,13,4,1,5,180,13,2,1,0,0,0,6,11,2,373,13,388,602
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1829,1,27,98,18,4,0,0,96,10,3,0,0,0,0,6,6,0,268,10,278,465
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1830,1,30,84,12,2,10,3,159,23,2,0,0,0,0,7,7,0,339,11,350,607
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1831,4,188,545,102,24,28,8,588,42,19,0,1,1,0,16,56,1,1618,29,1648,2615
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1832,2,45,202,30,6,6,4,272,37,5,0,1,0,0,14,16,0,638,8,646,1212
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1833,2,23,129,20,9,6,6,191,32,2,0,0,1,0,13,12,1,444,13,458,765
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1834,2,27,161,31,17,28,4,264,42,2,2,2,0,0,16,16,0,612,21,633,1148
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1835,1,26,87,19,8,0,3,176,22,1,2,0,0,0,7,11,0,362,8,370,581
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1836,1,35,133,23,5,3,8,152,18,4,0,0,1,0,5,9,0,396,11,407,685
