ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,99,MIXTLA,2,3,153,352,54,53,53,11,149,18,455,23,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,12,5,0,4,1353,0,47,1400,1751,
21,PUEBLA,100,MOLCAXAC,5,8,713,700,53,286,48,118,14,216,1215,61,7,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,6,1,1,5,1,0,0,0,1,0,40,25,5,13,3534,3,147,3684,4886,
21,PUEBLA,101,NAUPAN,5,13,1438,1543,331,190,46,96,39,86,1413,73,6,1,2,1,1,0,2,1,1,2,1,2,0,1,0,1,7,3,1,8,1,5,0,0,1,0,27,8,2,12,5352,1,264,5617,6762,
21,PUEBLA,102,NAUZONTLA,3,5,578,648,17,107,151,18,116,7,305,12,3,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,4,0,3,0,0,1,0,2,0,1,12,3,1,6,2000,0,129,2129,2676,
21,PUEBLA,103,NEALTICAN,4,13,1822,1180,123,235,388,108,563,39,1377,71,40,4,5,7,6,2,5,5,4,3,2,2,0,0,0,0,15,6,17,1,1,1,0,5,1,10,49,19,1,26,6143,5,287,6435,8559,
21,PUEBLA,104,NICOLAS BRAVO,4,8,595,185,40,225,779,50,55,16,1264,59,19,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0,3,3,4,0,0,0,0,0,0,1,53,11,1,13,3383,1,169,3553,4584,
21,PUEBLA,105,NOPALUCAN,7,25,2968,1623,195,467,1659,759,431,1079,2077,130,63,5,5,7,4,1,9,8,0,2,2,6,3,3,1,1,13,22,7,23,4,1,5,5,9,14,64,13,8,30,11726,6,767,12499,17323,
21,PUEBLA,106,OCOTEPEC,3,6,490,530,32,98,142,137,40,290,626,36,9,0,0,0,1,0,4,1,0,0,0,2,0,0,0,0,4,2,1,5,5,0,2,1,0,0,29,10,1,5,2503,2,163,2668,3594,
21,PUEBLA,107,OCOYUCAN,10,39,3529,3715,421,506,1614,226,381,163,3823,188,131,5,11,3,14,2,24,18,4,4,4,4,2,2,0,5,38,14,18,7,3,4,3,7,1,33,249,52,8,87,15323,4,640,15967,23653,
21,PUEBLA,108,OLINTLA,8,15,2486,2982,27,131,476,15,14,6,408,24,5,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,5,4,2,0,0,0,0,1,0,0,6,3,2,5,6606,0,179,6785,8175,
21,PUEBLA,109,ORIENTAL,8,19,2437,1319,369,244,179,273,267,514,1433,68,79,1,7,6,4,1,10,9,2,1,3,5,0,0,0,0,45,15,6,12,3,0,3,0,4,4,38,19,2,30,7412,3,357,7772,11637,
21,PUEBLA,110,PAHUATLAN,14,28,2315,1216,529,670,106,152,751,46,2693,167,15,3,3,1,1,0,65,7,1,3,0,2,0,0,1,4,89,18,7,2,3,1,1,2,2,5,191,38,13,52,9175,3,699,9877,13693,
21,PUEBLA,111,PALMAR DE BRAVO,15,49,4700,2087,1224,1047,634,715,338,1607,5608,427,108,3,8,4,17,3,25,20,7,8,9,12,3,1,3,8,77,29,68,43,13,4,10,6,20,17,308,110,28,143,19502,7,1438,20947,29236,
21,PUEBLA,112,PANTEPEC,10,27,4728,487,695,276,87,72,2172,78,1768,87,15,1,0,2,1,1,2,11,0,1,5,1,4,2,35,4,35,20,18,4,6,117,3,3,2,14,57,13,6,12,10845,0,644,11489,13961,
21,PUEBLA,113,PETLALCINGO,6,16,1517,2068,125,120,73,47,57,11,700,41,14,0,1,1,2,0,3,0,1,1,0,1,0,0,0,0,89,1,1,0,0,0,0,0,0,0,21,4,0,9,4908,3,243,5154,7065,
21,PUEBLA,114,PIAXTLA,5,9,480,552,39,157,28,26,62,12,911,70,5,1,0,2,3,0,1,2,0,1,0,1,0,0,1,1,3,1,21,0,0,0,0,0,0,0,54,18,4,11,2467,1,103,2571,4105,
21,PUEBLA,115,PUEBLA,764,2102,221776,141611,7846,27589,46043,10972,9880,2515,230400,12632,7460,514,392,301,730,97,1144,701,95,367,188,208,38,34,24,92,1502,1013,933,195,139,71,33,104,94,112,14277,3057,626,4488,750293,686,21451,772430,1280473,
21,PUEBLA,116,QUECHOLAC,16,55,2307,1189,400,1206,554,304,303,7715,5264,399,111,2,9,17,12,4,11,6,4,2,18,10,3,11,7,19,18,12,13,79,6,4,26,2,64,42,313,87,25,133,20711,4,1509,22224,33324,
21,PUEBLA,117,QUIMIXTLAN,10,26,3670,1973,114,712,154,1487,143,46,1177,83,17,0,1,0,3,0,3,11,0,1,1,1,0,1,1,1,16,13,68,0,6,1,0,8,22,1,38,41,3,13,9830,0,812,10642,13166,
21,PUEBLA,118,RAFAEL LARA GRAJALES,7,21,3284,1290,200,275,483,316,165,34,1863,99,66,5,8,2,8,1,17,8,1,1,4,4,1,0,0,2,25,27,15,3,2,2,1,3,4,1,71,21,4,27,8343,3,357,8703,13184,
21,PUEBLA,120,SAN ANDRES CHOLULA,38,138,19340,8811,477,1715,4156,677,562,929,15298,738,557,21,23,24,42,4,58,39,6,25,10,12,3,3,0,6,79,42,56,31,4,2,4,6,9,5,828,157,19,265,55043,72,1294,56409,91693,
21,PUEBLA,121,SAN ANTONIO CA?ADA,2,6,570,737,536,272,121,32,43,11,503,34,9,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,11,3,0,0,5,0,0,1,0,0,29,4,4,8,2941,1,194,3136,3769,
21,PUEBLA,122,SAN DIEGO LA MESA TOCHIMILTZINGO,3,3,106,285,264,6,9,2,2,1,59,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,1,753,0,22,775,911,
21,PUEBLA,123,SAN FELIPE TEOTLALCINGO,5,11,1165,998,58,221,205,168,79,71,1045,50,24,2,3,3,0,0,6,3,1,1,1,1,0,1,2,0,9,6,2,2,1,0,1,0,2,1,43,16,0,22,4213,1,167,4381,7353,
21,PUEBLA,124,SAN FELIPE TEPATLAN,3,6,123,640,398,145,341,12,15,11,421,40,8,0,1,0,2,0,2,0,1,1,0,1,0,2,0,0,11,0,0,0,0,3,9,0,0,0,38,11,10,10,2256,0,89,2345,2859,
21,PUEBLA,125,SAN GABRIEL CHILAC,6,18,1685,1757,91,451,773,312,248,112,2442,70,40,4,5,5,3,0,6,4,0,3,0,1,0,0,0,1,8,16,13,1,3,0,1,1,2,1,61,29,3,13,8165,1,278,8444,10933,
21,PUEBLA,126,SAN GREGORIO ATZOMPA,4,11,1595,765,38,123,310,184,68,248,848,73,59,5,3,4,12,0,9,4,1,2,3,2,0,2,0,1,5,8,9,15,0,0,2,1,2,4,70,17,5,20,4517,9,144,4670,6953,
21,PUEBLA,127,SAN JERONIMO TECUANIPAN,3,7,597,707,192,121,132,34,49,57,864,49,12,2,2,0,2,0,2,1,0,2,0,1,1,1,0,1,6,0,5,2,1,0,0,0,0,1,42,13,2,13,2914,0,119,3033,4114,
21,PUEBLA,128,SAN JERONIMO XAYACATLAN,4,7,632,570,56,175,40,20,22,9,676,44,9,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,5,2,2,1,1,0,0,1,2,0,33,7,3,15,2332,0,175,2507,3216,
21,PUEBLA,129,SAN JOSE CHIAPA,6,12,1937,440,105,133,214,197,164,20,1221,42,34,3,3,1,2,1,4,8,0,0,2,0,2,0,0,0,18,6,14,1,0,7,0,4,0,1,43,19,7,20,4673,0,171,4844,6321,
21,PUEBLA,130,SAN JOSE MIAHUATLAN,7,17,1317,1981,57,531,49,57,75,15,3058,65,13,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,15,4,8,0,0,0,1,1,0,1,51,27,4,27,7362,1,199,7562,9606,
21,PUEBLA,131,SAN JUAN ATENCO,4,5,673,201,31,87,54,339,46,11,541,32,21,0,1,0,1,0,3,0,0,8,1,0,0,0,0,0,9,16,2,0,1,1,0,4,0,0,22,9,3,5,2122,0,110,2232,2911,
21,PUEBLA,132,SAN JUAN ATZOMPA,1,2,85,239,2,20,7,2,3,1,214,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,4,0,1,603,0,25,628,805,
21,PUEBLA,133,SAN MARTIN TEXMELUCAN,54,177,16358,10310,1269,3091,4384,1460,2308,648,19485,880,515,43,33,23,61,7,64,48,10,28,31,23,5,4,4,15,105,63,119,22,18,14,10,16,14,32,861,261,34,257,62933,30,2308,65271,109573,
21,PUEBLA,134,SAN MARTIN TOTOLTEPEC,1,1,30,77,51,8,94,2,4,0,196,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,472,0,10,482,604,
21,PUEBLA,135,SAN MATIAS TLALANCALECA,9,24,3072,2005,139,464,594,158,220,540,2058,126,56,12,2,0,11,1,8,6,2,2,1,4,0,2,0,1,17,9,7,10,2,0,0,0,3,6,82,49,5,28,9702,1,461,10164,15019,
