ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NUEVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
29,TLAXCALA,1,AMAXAC DE GUERRERO,4,12,838,1198,73,,116,277,92,895,79,1584,,,,,4,5156,311,5467,7683,0.7116
29,TLAXCALA,2,APETATITLAN DE ANTONIO CARVAJAL,7,20,2143,1815,124,,126,471,82,849,174,1778,,,,,2,7564,401,7965,11080,0.7189
29,TLAXCALA,3,APIZACO,37,102,6181,7250,847,,988,3256,501,4250,497,8012,,1286,1557,,47,34672,1806,36478,61976,0.5886
29,TLAXCALA,4,ATLANGATEPEC,9,11,705,196,223,,139,82,841,312,27,836,,,,,0,3361,165,3526,4665,0.7558
29,TLAXCALA,5,ATLTZAYANCA,19,27,1412,1271,1001,390,110,830,441,375,59,,2661,,,,1,8551,537,9088,11688,0.7775
29,TLAXCALA,6,CALPULALPAN,21,55,3456,1370,370,,888,5381,254,1374,821,3669,,,,,2,17585,943,18528,32380,0.5722
29,TLAXCALA,7,EL CARMEN TEQUEXQUITLA,7,17,1949,681,98,244,75,522,59,279,40,,2583,,,,0,6530,526,7056,10812,0.6526
29,TLAXCALA,8,CUAPIAXTLA,10,20,1573,442,549,1512,58,278,100,496,42,,2001,,,,31,7082,432,7514,9724,0.7727
29,TLAXCALA,9,CUAXOMULCO,5,8,664,277,120,184,63,299,178,224,27,,865,,,,2,2903,201,3104,4134,0.7508
29,TLAXCALA,10,CHIAUTEMPAN,30,83,5023,4495,4030,,1185,4212,639,3861,906,5950,,,,,38,30339,1964,32303,49849,0.6480
29,TLAXCALA,11,MUÑOZ DE DOMINGO ARENAS,4,7,925,102,245,,25,38,48,180,52,804,,,,,0,2419,148,2567,3542,0.7247
29,TLAXCALA,12,ESPAÑITA,12,14,1791,264,37,,36,470,28,331,17,1544,,,,,0,4518,169,4687,6257,0.7491
29,TLAXCALA,13,HUAMANTLA,42,100,7636,4139,1398,2083,483,3161,815,3040,597,,11280,,,,33,34665,2197,36862,59649,0.6180
29,TLAXCALA,14,HUEYOTLIPAN,12,20,2763,508,609,,57,224,257,851,88,1582,,,,,5,6944,430,7374,11002,0.6702
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,25,51,1462,2807,582,323,1828,3407,266,1092,232,,4111,,,,23,16133,923,17056,27027,0.6311
29,TLAXCALA,16,IXTENCO,4,8,350,452,254,571,62,210,213,460,168,,720,,,,2,3462,263,3725,5061,0.7360
29,TLAXCALA,17,MAZATECOCHCO DE JOSE MARIA MORELOS,4,12,530,1171,423,,553,68,77,638,248,1546,,,,,2,5256,357,5613,7327,0.7661
29,TLAXCALA,18,CONTLA DE JUAN CUAMATZI,17,44,3628,5395,608,,370,1231,434,1721,437,2866,,,,,13,16703,886,17589,25376,0.6931
29,TLAXCALA,19,TEPETITLA DE LARDIZABAL,8,22,1746,1626,340,,0,489,937,1200,390,2120,,,,,1,8849,513,9362,13775,0.6796
29,TLAXCALA,20,SANCTORUM DE LAZARO CARDENAS,5,11,1108,541,256,,102,692,118,267,148,1003,,,,,0,4235,188,4423,6276,0.7047
29,TLAXCALA,21,NANACAMILPA DE MARIANO ARISTA,10,23,1593,827,586,,109,796,93,619,101,2659,,,,,3,7386,402,7788,12398,0.6282
29,TLAXCALA,22,ACUAMANALA DE MIGUEL HIDALGO,4,7,744,838,46,,222,204,109,506,46,665,,,,,1,3381,170,3551,4328,0.8205
29,TLAXCALA,23,NATIVITAS,14,31,848,1878,628,,0,1430,1561,848,132,3108,,,,,17,10450,582,11032,17528,0.6294
29,TLAXCALA,24,PANOTLA,16,35,966,3855,528,623,360,1274,997,1313,553,,1643,,,,16,12128,918,13046,19827,0.6580
29,TLAXCALA,25,SAN PABLO DEL MONTE,17,79,9316,7894,2480,727,1183,1120,353,2560,263,,7919,,,,44,33859,1524,35383,51211,0.6909
29,TLAXCALA,26,SANTA CRUZ TLAXCALA,7,21,2679,1547,398,,342,335,152,724,163,2096,,,,,10,8446,506,8952,12995,0.6889
29,TLAXCALA,27,TENANCINGO,6,14,1150,688,67,55,416,468,22,628,35,,1358,,,,0,4887,204,5091,8531,0.5968
29,TLAXCALA,28,TEOLOCHOLCO,9,26,1451,3057,464,,377,285,88,1316,226,3867,,,,,4,11135,649,11784,16200,0.7274
29,TLAXCALA,29,TEPEYANCO,7,16,1541,1347,160,,246,651,93,746,429,848,,,,,2,6063,411,6474,8437,0.7673
29,TLAXCALA,30,TERRENATE,8,16,1980,125,316,275,78,252,1278,271,24,,2359,,,,0,6958,337,7295,9722,0.7504
29,TLAXCALA,31,TETLA DE LA SOLIDARIDAD,15,35,3195,1423,198,,714,385,4467,655,147,1666,,,,,10,12860,643,13503,20419,0.6613
29,TLAXCALA,32,TETLATLAHUCA,7,14,839,1290,293,,0,484,717,571,214,1996,,,,,0,6404,397,6801,9147,0.7435
29,TLAXCALA,33,TLAXCALA,35,112,5249,9880,882,,1283,3635,1241,5094,1140,10483,,,,605,2450,41942,2336,44278,70480,0.6282
29,TLAXCALA,34,TLAXCO,35,62,3526,3827,477,,1043,917,3823,999,144,3949,,,,,65,18770,983,19753,29357,0.6729
29,TLAXCALA,35,TOCATLAN,3,7,484,127,285,129,22,60,672,90,14,,1165,,,,0,3048,131,3179,4241,0.7496
29,TLAXCALA,36,TOTOLAC,12,27,967,2763,276,303,289,1353,339,1449,468,,1881,,,,404,10492,838,11330,15822,0.7161
29,TLAXCALA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,7,12,1307,291,125,366,33,289,63,809,144,,829,,,,0,4256,277,4533,6484,0.6991
29,TLAXCALA,38,TZOMPANTEPEC,6,18,954,377,672,259,152,422,426,638,323,,2047,,,,2,6272,424,6696,10339,0.6476
29,TLAXCALA,39,XALOZTOC,9,7,2176,542,239,1178,222,508,3094,575,80,,2320,,,,4,10938,502,11440,15730,0.7273
29,TLAXCALA,40,XALTOCAN,9,14,2079,408,100,,34,368,152,267,47,1035,,,,,44,4534,161,4695,7693,0.6103
29,TLAXCALA,41,PAPALOTLA DE XICOHTENCATL,12,33,2088,3200,133,,2132,553,96,1309,187,2801,,,,,9,12508,796,13304,20357,0.6535
29,TLAXCALA,42,SANTO TORIBIO XICOHTZINCO,5,17,1119,1432,254,,833,426,467,1193,350,464,,,,,13,6551,453,7004,10183,0.6878
29,TLAXCALA,43,YAUHQUEMEHCAN,11,36,5845,709,187,,172,1093,252,1191,387,2882,,,,,12,12730,669,13399,22158,0.6047
29,TLAXCALA,44,ZACATELCO,14,50,2737,3703,729,,785,3200,783,3698,1811,1713,,,,,12,19171,866,20037,31173,0.6428
29,TLAXCALA,45,SANTA APOLONIA TEACALCO,2,6,235,703,120,,0,134,854,145,39,579,,,,,1,2810,93,2903,3538,0.8205
29,TLAXCALA,46,SANTA CRUZ QUILEHTLA,3,8,360,790,221,,433,140,21,235,161,575,,,,,0,2936,284,3220,4533,0.7103
29,TLAXCALA,47,SAN JUAN HUACTZINCO,2,8,1247,461,167,,1,228,336,338,95,653,,,,,2,3528,214,3742,5126,0.7300
29,TLAXCALA,48,SANTA CATARINA AYOMETLA,4,11,1499,1145,187,,145,591,46,392,406,386,,,,,3,4800,176,4976,6695,0.7432
29,TLAXCALA,49,SANTA ISABEL XILOXOXTLA,2,5,263,578,34,,161,186,22,134,28,731,,,,,1,2138,154,2292,3098,0.7398
