CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,1,CALPULALPAN,60,BENITO JUAREZ,296,3,124,197,13,,8,172,60,167,85,266,,,,,0,1092,36,1128,1525
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,49,1,111,50,47,,13,8,85,59,3,96,,,,,0,472,40,512,647
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,50,1,60,27,9,,3,2,43,29,1,99,,,,,0,273,13,286,343
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,51,1,12,26,0,,33,40,9,0,15,107,,,,,0,242,10,252,305
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,52,1,28,2,8,,0,2,15,3,0,22,,,,,0,80,4,84,101
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,53,2,241,31,23,,58,9,156,119,1,101,,,,,0,739,30,769,1065
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,54,1,47,6,5,,0,3,110,29,3,54,,,,,0,257,13,270,380
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,55,1,40,4,33,,0,9,88,22,0,42,,,,,0,238,11,249,311
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,56,2,120,21,81,,6,5,286,43,2,255,,,,,0,819,32,851,1163
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,57,1,46,29,17,,26,4,49,8,2,60,,,,,0,241,12,253,350
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,409,2,136,186,9,,21,23,322,26,6,136,,,,,2,867,37,904,1271
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,410,2,221,59,9,,36,35,330,40,6,137,,,,,1,874,41,915,1223
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,411,4,282,243,24,,135,30,497,98,28,212,,,,,1,1550,76,1626,2480
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,412,4,334,283,33,,89,47,477,87,36,194,,,,,1,1581,78,1659,2742
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,413,2,171,78,20,,46,26,257,52,9,131,,,,,0,790,63,853,1214
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,414,2,88,54,4,,67,13,113,35,14,68,,,,,0,456,28,484,818
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,415,2,112,58,16,,76,21,125,47,7,95,,,,,0,557,35,592,1044
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,416,2,322,28,10,,25,10,289,19,2,65,,,,,0,770,40,810,1065
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,417,1,57,12,5,,9,0,127,2,2,32,,,,,4,250,4,254,302
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,418,1,53,35,5,,16,4,98,17,3,64,,,,,0,295,17,312,407
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,419,1,51,26,7,,51,8,200,17,1,84,,,,,0,445,23,468,582
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,420,3,448,47,9,,38,49,426,41,8,88,,,,,0,1154,49,1203,1776
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,421,3,500,75,11,,29,65,326,83,7,128,,,,,1,1225,48,1273,2025
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,422,5,373,233,34,,76,54,803,81,18,195,,,,,0,1867,92,1959,3251
4,29,TLAXCALA,2,TLAXCO,31,TETLA DE LA SOLIDARIDAD,423,1,47,6,2,,0,0,77,10,0,37,,,,,0,179,12,191,219
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,58,1,24,30,10,,2,4,5,12,0,37,,,,,0,124,3,127,194
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,470,2,99,125,13,,29,35,87,34,0,159,,,,,0,581,38,619,894
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,471,2,149,158,13,,15,33,193,32,3,159,,,,,60,815,24,839,1239
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,472,2,102,165,27,,73,70,90,45,4,135,,,,,0,711,41,752,1175
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,473,2,110,146,32,,19,55,119,28,8,127,,,,,0,644,32,676,975
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,474,3,195,226,20,,22,62,250,53,6,181,,,,,0,1015,27,1042,1586
