ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND7,PRD_NVA_ALIANZA,PAN_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
27,TABASCO,1,BALANCAN,44,78,5598,5072,9961,1046,150,3293,274,809,59,87,,148,,0,26497,816,27313,39125,0.6981
27,TABASCO,2,CARDENAS,122,290,2689,26571,27435,5115,13427,2451,1305,6958,875,1135,,51,,53,88012,2848,90913,168338,0.5401
27,TABASCO,3,CENTLA,64,130,1653,10444,12388,10244,1061,2423,391,3313,164,302,411,333,,15,43127,1780,44922,68974,0.6513
27,TABASCO,4,CENTRO,277,792,6944,52483,40447,34212,6893,8558,5162,38395,3276,6251,,1016,250,223,203887,10187,214297,483868,0.4429
27,TABASCO,5,COMALCALCO,97,249,1078,26231,28895,3510,889,1274,1059,30942,699,570,,165,,18,95312,2453,97783,140999,0.6935
27,TABASCO,6,CUNDUACAN,59,149,583,10042,17638,3593,1408,1156,8126,5964,517,165,,10,,39,49202,2006,51247,87834,0.5835
27,TABASCO,7,EMILIANO ZAPATA,16,41,1161,2507,1032,5302,2196,210,208,2281,33,33,,,,2,14963,402,15367,22743,0.6757
27,TABASCO,8,HUIMANGUILLO,97,223,392,30077,35098,7860,1430,767,1302,1522,392,578,,,,8,79418,2440,81866,123697,0.6618
27,TABASCO,9,JALAPA,27,52,294,5310,7701,1892,178,199,322,402,43,328,,60,,3,16729,760,17492,26810,0.6524
27,TABASCO,10,JALPA DE MENDEZ,37,95,951,9066,13212,7152,1834,1158,684,3314,290,339,,239,,401,38239,1267,39907,58867,0.6779
27,TABASCO,11,JONUTA,26,42,416,4393,5209,4190,48,86,180,2291,39,245,,,,0,17097,356,17453,21769,0.8017
27,TABASCO,12,MACUSPANA,82,193,788,13247,10992,14849,708,2668,2905,9194,799,799,,,,68,56949,2727,59744,111695,0.5349
27,TABASCO,13,NACAJUCA,37,132,12180,10121,5846,5188,4198,853,391,6234,273,603,,,,18,45887,2144,48049,83595,0.5748
27,TABASCO,14,PARAISO,45,110,8815,10546,12118,2185,272,2047,243,1890,1046,718,,213,,9,40093,1107,41209,64696,0.637
27,TABASCO,15,TACOTALPA,27,61,453,7270,5502,5990,200,204,116,820,52,94,,12,,6,20713,850,21569,31686,0.6807
27,TABASCO,16,TEAPA,26,66,249,5980,5177,7378,697,175,237,514,166,177,,33,,6,20783,760,21549,38260,0.5632
27,TABASCO,17,TENOSIQUE,45,79,226,11975,8848,1320,173,1497,221,562,44,48,,35,,4,24949,660,25613,40593,0.631
