CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,189,3,164,60,71,35,30,32,22,246,34,31,11,2,,3,1,0,3,2,1,2,0,,,,,,,,,,,,96,18,77,,,,,,,,,,,,,,,,,,,,941,0,32,973,1561
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,4,341,89,93,78,48,44,46,466,61,68,20,17,,18,9,0,8,4,4,5,2,,,,,,,,,,,,197,47,114,,,,,,,,,,,,,,,,,,,,1779,2,78,1859,2937
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,191,3,288,57,71,43,50,22,21,317,40,47,10,9,,10,0,2,9,3,1,2,1,,,,,,,,,,,,128,23,98,,,,,,,,,,,,,,,,,,,,1252,2,53,1307,2051
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,192,3,301,71,83,54,48,35,28,349,63,41,16,10,,8,0,3,7,6,1,3,0,,,,,,,,,,,,179,38,72,,,,,,,,,,,,,,,,,,,,1416,1,51,1468,2202
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,5,277,77,114,68,76,78,33,536,176,64,31,10,,16,3,2,20,2,1,6,1,,,,,,,,,,,,306,27,132,,,,,,,,,,,,,,,,,,,,2056,0,92,2148,3216
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,6,423,103,146,117,73,45,44,627,104,67,42,29,,39,2,5,18,4,0,5,1,,,,,,,,,,,,290,37,199,,,,,,,,,,,,,,,,,,,,2420,1,104,2525,3815
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,4,380,53,107,68,47,42,22,425,47,47,24,10,,9,1,2,3,5,3,5,0,,,,,,,,,,,,200,40,95,,,,,,,,,,,,,,,,,,,,1635,0,77,1712,2585
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,5,418,85,113,70,47,52,29,468,61,51,19,21,,11,3,0,9,7,3,9,0,,,,,,,,,,,,123,27,139,,,,,,,,,,,,,,,,,,,,1765,0,91,1856,3029
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,6,545,100,149,96,79,54,52,810,97,78,37,16,,35,5,2,24,12,1,3,0,,,,,,,,,,,,315,39,260,,,,,,,,,,,,,,,,,,,,2809,1,96,2906,4457
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,4,230,46,81,32,22,25,31,310,37,39,10,6,,15,4,0,11,5,0,3,0,,,,,,,,,,,,105,9,94,,,,,,,,,,,,,,,,,,,,1115,0,33,1148,2316
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,5,304,71,99,78,62,50,29,504,83,68,26,15,,31,6,3,15,5,3,1,2,,,,,,,,,,,,208,30,154,,,,,,,,,,,,,,,,,,,,1847,1,69,1917,3016
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,3,261,49,66,47,26,32,23,337,52,33,15,9,,15,3,0,10,8,3,2,0,,,,,,,,,,,,161,31,110,,,,,,,,,,,,,,,,,,,,1293,1,41,1335,2008
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,3,191,29,54,41,31,23,30,269,30,38,15,6,,10,1,1,3,7,2,2,0,,,,,,,,,,,,114,23,65,,,,,,,,,,,,,,,,,,,,985,0,41,1026,1530
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,3,238,64,105,41,42,26,35,373,46,51,7,6,,17,1,0,6,5,1,4,1,,,,,,,,,,,,157,32,81,,,,,,,,,,,,,,,,,,,,1339,0,62,1401,2212
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,3,208,37,78,38,43,25,21,311,51,49,6,4,,10,3,0,4,6,2,5,0,,,,,,,,,,,,135,26,50,,,,,,,,,,,,,,,,,,,,1112,0,31,1143,1756
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,3,271,61,51,52,26,32,40,383,57,43,17,13,,15,3,0,6,4,3,2,0,,,,,,,,,,,,203,26,72,,,,,,,,,,,,,,,,,,,,1380,4,49,1433,2077
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,4,368,73,83,61,31,30,24,478,49,45,28,5,,23,6,1,14,4,6,6,0,,,,,,,,,,,,237,47,114,,,,,,,,,,,,,,,,,,,,1733,2,70,1805,2660
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,3,167,50,45,53,24,20,21,229,23,30,16,4,,13,1,0,2,4,0,2,0,,,,,,,,,,,,150,26,65,,,,,,,,,,,,,,,,,,,,945,1,45,991,1600
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,3,178,57,67,41,33,25,45,292,31,39,14,11,,14,3,2,11,4,0,7,1,,,,,,,,,,,,138,18,80,,,,,,,,,,,,,,,,,,,,1111,0,49,1160,1798
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,3,275,79,78,66,26,35,25,310,33,43,8,6,,13,5,1,4,4,2,2,1,,,,,,,,,,,,134,33,83,,,,,,,,,,,,,,,,,,,,1266,1,60,1327,1986
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,3,184,44,67,34,34,28,16,180,34,44,6,8,,10,6,0,6,2,2,1,0,,,,,,,,,,,,145,19,39,,,,,,,,,,,,,,,,,,,,909,0,22,931,1496
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,3,316,43,49,37,30,13,26,133,27,100,11,14,,16,0,0,2,2,1,5,1,,,,,,,,,,,,138,48,47,,,,,,,,,,,,,,,,,,,,1059,0,39,1098,1605
