uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
5006,2009,PAN_PRD_UDC,MARCO RODRIGUEZ GALAZ,PRI_PVEM_PNA_PASD,,0.0210430009
5006,2013,PRI_PVEM_PNA_PJ_PRC,JOSE ISABEL SEPULVEDA ELIAS,PRD,,0.1206248933
5006,2017,PRI_PVEM_PNA_SI_PJ_PRC_PCP,ENRIQUE SOTO OJEDA,PRD,,0.1771931215
5006,2018,PRI_PVEM_PNA,ENRIQUE SOTO OJEDA,PAN_UDC_MC,JUAN ANTONIO GARZA GARCIA,0.0927316294
5006,2021,MORENA,JUAN ANTONIO GARZA GARCIA,PRI_PRD,,0.0342000468
5007,1990,PRI,LUIS UGARTE LOMAS,PPS,,0.665923034
5007,1993,PRI,SUSANA A MONCADA DIAZ DE LEON,PAN,,0.4391388352
5007,1996,PRI,JOSE LUIS FERNANDEZ HERNANDEZ,PAN,,0.0383597884
5007,1999,PRI,HILARIO GABRIEL MANRIQUE JIMENEZ,PAN,,0.3108141549
5007,2002,PAN,SERGIO CARRIELO LUNA,PRI,,0.0160714286
5007,2005,PRI,GABRIEL VILLARREAL JORDAN,PRD,,0.3250401284
5007,2009,PRI_PVEM_PNA_PSD,SANTOS GARZA HERRERA,PAN,,0.1215379009
5007,2013,PRI_PVEM_PNA_PSDC_PJ_PRC,MIGUEL GUEVARA CANTU,PRD,,0.0537885096
5007,2017,PRI_PVEM_PNA_SI_PJ_PRC_PCP,JOSE LUIS FERNANDEZ HERNANDEZ,PAN_UDC_PPC_PES,,0.1359713402
5007,2018,PAN_UDC_MC,YOLANDA CANTU MONCADA,PRI_PVEM_PNA,SANTOS GARZA HERRERA,0.1202654581
5007,2021,PRI_PRD,MANUEL HUMBERTO VILLARREAL CORTEZ,PAN,YOLANDA CANTU MONCADA,0.1996494583
5008,1990,PRI,MANUEL CASTRO GUTIERREZ,PFCRN,,0.3868312757
5008,1993,PRI,JESUS MARIA RANGEL MALDONADO,0,,1
5008,1996,PRI,JUAN MANUEL VALLES FLORES,PAN,,0.2828096118
5008,1999,PRI,JORGE MALDONADO IBARRA,PRD,,0.5217391304
5008,2002,PRI,JESUS MARIA RANGEL MALDONADO,PAN,,0.0147710487
5008,2005,PAN_UDC,JESUS CHAVEZ MEDINA,PRI,,0.0159833218
5008,2009,PRI_PVEM_PNA_PASD,JORGE MALDONADO IBARRA,PAN,,0.1080745342
5008,2013,PRI_PVEM_PNA_PJ_PRC,JESUS MARIA RANGEL MALDONADO,MC,,0.0695216908
5008,2017,PRI_PVEM_PNA_SI_PJ_PRC_PCP,DULCE BELEN DE LA ROSA SEGURA,PRD,,0.1618428825
5008,2018,PRI_PVEM_PNA,DULCE BELEN DE LA ROSA SEGURA,PRD,SIMON CHAVEZ MEDINA,0.0958448753
5008,2021,MORENA,JESUS HUITRON MALDONADO,PRI_PRD,,0.0062305296
5009,1990,PRI,GONZALO DOMINGUEZ CORTINA,PRD,,0.410696164
5009,1993,PRI,MARTIN GUARDADO SOLIS,PRD_PT,,0.1733105319
5009,1996,PRI,JOSE FRANCISCO LUCIO ORTIZ,CONVE,,0.2280322765
5009,1999,PRI,JULIO FLORES GUAJARDO,PAN_PRD_PT_PVEM,,0.0787529809
5009,2002,PRI,JOSE LUIS MARRUFO ALVAREZ,PRD_UDC,,0.2670123137
5009,2005,PRI,NICOLAS MUÑIZ DOMINGUEZ,PRD,,0.0471565827
5009,2009,PRI_PASD,CRISTOBAL MARRUFO LOPEZ,PRD_UDC,,0.1262674487
5009,2013,PRI_PNA,DAVID GUSTAVO FLORES LAVENANT,PAN_PRD_PT_UDC_PPRO,,0.1410941999
5009,2017,PRI,MODESTO ALCALA MARTINEZ,PAN_UDC_PPC_PES,,0.0857247037
5009,2018,PT_MORENA_PES,JONATHAN AVALOS RODRIGUEZ,PRI_PVEM_PNA,MARIA CONCEPCION DELGADO LARA,0.1918775339
5009,2021,MORENA,JONATHAN AVALOS RODRIGUEZ,PRI_PRD,,0.1243379916
5010,1990,PRI,MOISES ANTONIO ASIS SILLER,PAN,,0.0348324515
5010,1993,PRI,ABELARDO SILLER GONZALEZ,PRD_PT,,0.0975724446
5010,1996,PAN,MANUEL CUTBERTO SOLIS OYERVIDES,PRI,,0.0252362295
5010,1999,PRI,ESTEBAN MARTINEZ DIAZ,PAN_PRD_PT_PVEM,,0.3638910917
5010,2002,PAN,MARIO ALBERTO DAVILA DELGADO,PRI,,0.1016628294
5010,2005,PRI,ROGELIO RAMOS SANCHEZ,PAN_UDC,,0.218319906
5010,2009,PRI_PVEM_PASD,MARIO ALBERTO MARTINEZ VALADEZ,PAN,,0.3643698822
5010,2013,PAN,AMADOR MORENO LOPEZ,PRI_PNA_PSDC,,0.1598175059
5010,2017,PRI,FLORENCIO SILLER LINAJE,PAN_UDC_PPC_PES,,0.0833308017
5010,2018,PRI_PVEM_PNA,FLORENCIO SILLER LINAJE,PAN_UDC_MC,RODRIGO RIVAS URBINA,0.1165431146
5010,2021,MORENA,ROBERTO CLEMENTE PINA AMAYA,PRI_PRD,,0.0405093558
5011,1990,PRI,LEOPOLDO MUÑIZ QUINTANILLA,PFCRN,,0.8266871166
5011,1993,PRI,RODOLFO ZAMORA RODRIGUEZ,PAS,,0.6235261089
5011,1996,PRI,JORGE LUIS PRADO RODRIGUEZ,PAN,,0.2712781955
5011,1999,PAN,MAGDALENA SOFIA OCHOA MENDOZA,PRI,,0.1034482759
5011,2002,PRI,JOSE LAZARO VAZQUEZ RAMOS,PAN,,0.0770519263
5011,2005,PRI,LUIS ERNESTO ZAMORA ALEMAN,PAN_UDC,,0.228273739
5011,2009,PRI_PASD,JESUS RIOS ALVARADO,PAN,,0.0428150459
5011,2013,PRI_PVEM_PNA_PSDC_PJ_PRC,RODOLFO ZAMORA RODRIGUEZ,PAN_UDC_PPRO,,0.1312002709
5011,2017,PAN_UDC_PPC_PES,JUAN GILBERTO SALAS AGUIRRE,PRI,,0.0810377963
5011,2018,PAN_UDC_MC,JUAN GILBERTO SALAS AGUIRRE,PRI_PVEM_PNA,LUIS ENRIQUE ALEMAN ESPINOZA,0.2916913947
