CASILLAS,CASILLAS_NUM,CASILLAS_TIPO,DISTRITO,MUNICIPIO,LISTA NOMINAL,P.A.N,P.R.I.,P.R.D.,P.C.,P.T.,P.V.E.M.,P.P.S.,P.D.M.,NO REG.,NULOS,TOTAL
135,2,C,3,CUAUHTEMOC,488,49,164,84,11,2,0,1,1,0,18,330
136,1,B,3,CUAUHTEMOC,469,50,134,113,1,1,0,0,0,0,11,310
137,1,B,3,CUAUHTEMOC,392,12,123,100,0,0,0,0,0,0,8,243
137,2,C,3,CUAUHTEMOC,393,9,121,111,0,0,0,0,0,0,5,246
,,,,,,,,,,,,,,,,
191,1,B,12,IXTLAHUACAN,420,137,156,11,0,8,0,0,0,0,5,317
191,2,C,12,IXTLAHUACAN,422,141,165,7,3,4,0,0,0,0,8,328
192,1,B,12,IXTLAHUACAN,718,227,246,13,0,27,0,0,1,0,2,516
193,1,B,12,IXTLAHUACAN,91,13,57,0,0,1,0,0,0,0,2,73
193,4,E,12,IXTLAHUACAN,151,40,38,4,2,0,1,0,0,0,1,86
194,1,B,12,IXTLAHUACAN,225,82,73,2,3,1,0,0,0,0,1,162
195,1,B,12,IXTLAHUACAN,442,87,188,6,0,4,0,0,0,0,5,290
196,1,B,12,IXTLAHUACAN,292,65,98,2,1,5,0,0,1,0,7,179
197,1,B,12,IXTLAHUACAN,223,62,90,0,0,1,0,0,0,0,8,161
198,1,B,12,IXTLAHUACAN,91,12,52,0,0,0,0,0,0,0,1,65
199,1,B,12,IXTLAHUACAN,352,78,165,1,0,0,0,0,0,0,9,253
199,4,E,12,IXTLAHUACAN,93,10,54,0,0,0,0,0,0,0,2,66
,,,,,,,,,,,,,,,,
200,1,B,8,MANZANILLO,642,186,140,24,2,5,3,3,2,0,14,379
200,2,C,8,MANZANILLO,642,191,143,34,0,3,0,3,2,0,7,383
201,1,B,8,MANZANILLO,228,80,53,4,1,2,0,0,1,0,1,142
201,3,E,8,MANZANILLO,766,,,,,,,,,,,
202,1,B,8,MANZANILLO,571,200,115,28,3,3,0,9,9,0,8,375
202,2,C1,8,MANZANILLO,571,187,132,25,1,4,0,11,7,0,10,377
202,5,C2,8,MANZANILLO,571,200,133,28,2,1,3,3,7,0,8,385
203,1,B,8,MANZANILLO,662,221,146,12,1,2,1,0,4,0,13,400
203,2,C,8,MANZANILLO,662,208,158,12,4,0,0,1,6,0,17,406
204,1,B,8,MANZANILLO,598,180,135,30,3,5,4,0,6,0,10,373
204,2,C,8,MANZANILLO,598,191,148,19,0,1,0,2,5,0,10,376
205,1,B,8,MANZANILLO,421,131,102,20,1,0,1,0,2,0,3,260
205,2,C,8,MANZANILLO,421,149,98,10,0,1,2,0,2,0,3,265
206,1,B,8,MANZANILLO,618,199,159,15,0,4,0,1,16,0,5,399
206,2,C,8,MANZANILLO,618,183,160,11,3,2,0,1,9,0,9,378
207,1,B,7,MANZANILLO,764,305,129,18,0,2,2,1,8,1,25,491
208,1,B,8,MANZANILLO,608,196,162,15,1,1,0,4,3,0,14,396
208,2,C,8,MANZANILLO,609,215,137,17,4,0,1,1,2,0,12,389
209,1,B,8,MANZANILLO,728,222,206,11,0,0,0,0,5,0,10,454
209,2,C,8,MANZANILLO,728,203,186,15,4,4,0,1,2,0,8,423
210,1,B,8,MANZANILLO,643,166,169,17,2,3,3,2,6,0,6,374
210,2,C,8,MANZANILLO,643,160,203,9,0,3,2,0,3,0,14,394
211,1,B,8,MANZANILLO,694,167,141,49,2,7,3,4,4,0,14,391
211,2,C,8,MANZANILLO,695,135,178,35,2,12,0,8,3,0,15,388
212,1,B,8,MANZANILLO,448,173,115,10,0,1,1,1,4,0,4,309
212,2,C,8,MANZANILLO,449,145,112,12,1,4,0,5,2,0,4,285
213,1,B,7,MANZANILLO,598,190,188,9,1,3,1,2,4,0,6,404
213,2,C,7,MANZANILLO,599,200,151,20,3,4,0,2,7,0,8,395
214,1,B,7,MANZANILLO,675,217,168,12,1,9,0,2,4,0,6,419
214,2,C,7,MANZANILLO,676,237,166,21,1,3,1,10,6,0,19,464
215,1,B,7,MANZANILLO,614,171,152,30,0,9,0,2,6,0,16,386
215,2,C,7,MANZANILLO,615,140,153,30,1,7,0,0,4,0,7,342
216,1,B,8,MANZANILLO,491,124,118,21,0,3,1,1,2,0,3,273
216,2,C,8,MANZANILLO,491,112,123,32,0,6,0,2,11,0,7,293
217,1,B,7,MANZANILLO,594,236,141,14,0,1,0,0,9,0,6,407
217,2,C,7,MANZANILLO,594,239,155,11,1,1,0,0,11,0,13,431
218,1,B,7,MANZANILLO,427,182,99,82,4,1,1,0,3,0,2,374
218,2,C,7,MANZANILLO,427,170,104,12,1,1,2,0,3,0,2,295
219,1,B,7,MANZANILLO,573,221,128,12,1,4,2,1,10,0,1,380
219,2,C,7,MANZANILLO,572,187,155,17,2,0,0,1,4,0,11,377
220,1,B,7,MANZANILLO,749,341,180,16,2,2,0,1,4,0,4,550
221,1,B,7,MANZANILLO,518,159,175,14,1,0,0,1,5,0,5,360
221,2,C,7,MANZANILLO,518,145,183,9,5,5,3,1,5,0,7,363
222,1,B,7,MANZANILLO,230,13,82,30,0,0,0,0,1,0,6,132
222,4,E,7,MANZANILLO,264,26,111,31,0,0,0,0,1,0,2,171
223,1,B,7,MANZANILLO,530,31,223,47,1,2,1,2,3,0,6,316
224,1,B,7,MANZANILLO,289,18,141,29,0,0,0,0,10,0,2,200
225,1,B,7,MANZANILLO,763,173,173,53,1,0,0,1,12,0,12,425
226,1,B,7,MANZANILLO,453,126,83,33,1,2,0,0,5,0,10,260
226,4,E,7,MANZANILLO,353,73,103,18,0,2,0,1,16,0,9,222
227,1,B,7,MANZANILLO,392,47,126,35,2,4,2,0,3,0,8,227
227,4,E,7,MANZANILLO,205,42,30,53,2,2,1,1,1,0,1,133
228,1,B,8,MANZANILLO,514,87,113,70,3,2,2,1,5,0,16,299
228,4,E1,8,MANZANILLO,305,69,138,12,0,1,1,0,2,0,3,226
228,9,E2,8,MANZANILLO,189,50,78,1,0,0,0,0,0,0,2,131
228,10,E3,8,MANZANILLO,191,40,59,15,1,2,,,,,5,122
229,1,B,8,MANZANILLO,173,47,29,18,3,0,0,0,1,0,4,102
230,1,B,8,MANZANILLO,665,144,137,55,10,2,2,0,6,0,15,371
230,4,E,8,MANZANILLO,776,167,229,25,4,2,0,3,7,4,26,467
231,1,B,7,MANZANILLO,193,22,92,1,0,0,0,0,2,0,3,120
231,4,E,7,MANZANILLO,127,15,36,9,5,1,0,0,3,0,2,71
232,1,B,7,MANZANILLO,656,151,169,31,4,1,3,2,5,0,8,374
233,1,B,7,MANZANILLO,433,118,111,15,1,5,1,3,3,0,5,262
233,2,C,7,MANZANILLO,434,106,131,25,1,1,2,3,6,0,18,293
234,1,B,8,MANZANILLO,460,127,106,22,12,3,0,1,2,0,2,275
234,2,C,8,MANZANILLO,460,107,111,25,16,7,0,1,3,0,0,270
235,1,B,8,MANZANILLO,581,107,107,48,3,0,0,2,4,0,10,281
236,1,B,8,MANZANILLO,619,97,102,96,5,1,0,0,5,0,13,319
236,2,C1,8,MANZANILLO,620,109,94,99,3,6,1,2,2,0,7,323
236,5,C2,8,MANZANILLO,620,90,127,98,0,1,0,2,9,0,12,339
237,1,B,8,MANZANILLO,571,99,95,71,3,2,0,1,10,0,24,305
237,2,C1,8,MANZANILLO,571,96,100,56,1,1,0,0,4,0,14,272
237,5,C2,8,MANZANILLO,571,128,88,60,2,4,2,1,4,0,14,303
238,1,B,8,MANZANILLO,585,155,101,37,1,0,2,2,13,0,8,319
238,2,C1,8,MANZANILLO,586,175,96,39,0,1,0,1,3,0,8,323
238,5,C2,8,MANZANILLO,586,187,118,22,1,2,1,1,11,0,7,350
239,1,B,8,MANZANILLO,715,199,125,36,3,4,1,0,4,0,4,376
240,1,B,8,MANZANILLO,629,195,148,10,2,2,0,3,4,0,10,374
240,2,C,8,MANZANILLO,630,163,140,31,5,3,1,1,5,0,15,364
241,1,B,8,MANZANILLO,463,147,124,12,4,0,0,0,4,0,5,296
241,2,C,8,MANZANILLO,463,146,101,24,1,2,3,0,3,0,10,290
242,1,B,8,MANZANILLO,402,138,68,17,0,0,1,0,0,0,3,227
243,1,B,8,MANZANILLO,625,191,130,33,3,1,0,3,2,0,13,376
243,2,C,8,MANZANILLO,625,173,139,32,0,3,0,0,2,0,9,358
244,1,B,8,MANZANILLO,563,143,129,48,2,0,0,0,8,0,5,335
245,1,B,8,MANZANILLO,764,210,144,24,1,5,0,4,3,0,11,402
245,2,C,8,MANZANILLO,764,235,153,30,0,1,1,1,6,0,8,435
246,1,B,8,MANZANILLO,735,272,137,21,1,3,0,4,8,0,19,465
246,2,C,8,MANZANILLO,735,243,131,35,2,1,0,7,3,0,18,440
247,1,B,8,MANZANILLO,201,53,23,1,0,0,0,0,2,0,0,79
247,3,E,8,MANZANILLO,766,,,,,,,,,,,
248,1,B,8,MANZANILLO,700,346,83,20,1,1,0,5,5,0,3,464
249,1,B,8,MANZANILLO,684,230,191,25,0,5,0,3,6,0,7,467
250,1,B,8,MANZANILLO,606,220,151,18,11,2,0,1,1,0,9,413
250,2,C1,8,MANZANILLO,606,201,141,22,2,1,1,2,4,0,12,386
250,5,C2,8,MANZANILLO,606,203,141,30,5,2,0,1,6,0,10,398
251,1,B,8,MANZANILLO,707,266,187,17,1,0,0,3,6,0,13,493
251,2,C1,8,MANZANILLO,707,269,148,28,4,4,0,2,10,0,6,471
251,5,C2,8,MANZANILLO,708,253,169,33,2,8,0,4,13,0,11,493
252,1,B,8,MANZANILLO,449,170,99,12,4,2,0,1,3,0,0,291
252,2,C,8,MANZANILLO,449,175,98,17,0,2,0,0,3,0,9,304
253,1,B,8,MANZANILLO,549,213,97,17,5,4,0,2,9,0,9,356
253,2,C,8,MANZANILLO,549,214,96,13,5,2,1,0,3,0,6,340
254,1,B,8,MANZANILLO,543,227,108,22,0,2,0,1,2,0,5,367
255,1,B,8,MANZANILLO,291,120,44,18,1,0,1,0,1,0,2,187
256,1,B,8,MANZANILLO,548,137,102,22,1,3,2,1,1,0,9,278
256,2,C,8,MANZANILLO,549,169,101,17,2,1,0,1,1,0,7,299
257,1,B,7,MANZANILLO,745,264,186,19,1,2,0,1,4,0,10,487
258,1,B,7,MANZANILLO,626,209,136,23,3,2,0,1,2,0,9,385
258,2,C1,7,MANZANILLO,626,192,172,32,1,1,0,0,3,0,5,406
258,5,C2,7,MANZANILLO,627,183,183,23,4,4,1,2,1,0,0,401
259,1,B,7,MANZANILLO,505,113,123,38,0,4,2,1,4,0,7,292
259,2,C,7,MANZANILLO,506,115,105,53,3,3,0,0,1,0,11,291
260,1,B,7,MANZANILLO,577,100,136,74,1,6,0,0,5,0,14,336
260,2,C1,7,MANZANILLO,577,125,157,66,2,6,2,1,2,0,0,361
260,5,C2,7,MANZANILLO,578,154,119,50,0,3,1,0,3,0,0,330
261,1,B,7,MANZANILLO,585,148,116,82,1,2,0,1,5,0,9,364
261,2,C,7,MANZANILLO,585,141,115,56,1,5,0,2,8,3,14,345
262,1,B,7,MANZANILLO,497,133,134,30,0,2,0,0,1,0,12,312
262,2,C,7,MANZANILLO,497,119,138,35,3,1,0,0,3,0,7,306
263,1,B,7,MANZANILLO,693,161,164,58,1,1,4,1,4,0,16,410
264,1,B,7,MANZANILLO,727,102,224,46,1,0,4,2,4,0,15,398
265,1,B,7,MANZANILLO,377,47,129,49,3,0,2,2,3,0,4,239
266,1,B,7,MANZANILLO,550,43,118,149,2,1,1,0,3,0,3,320
267,1,B,7,MANZANILLO,615,49,185,119,2,1,0,0,3,1,16,376
267,2,C,7,MANZANILLO,616,44,141,146,3,4,0,0,6,0,23,367
268,1,B,7,MANZANILLO,647,323,89,27,1,2,1,0,2,0,3,448
269,1,B,7,MANZANILLO,585,160,186,61,0,0,2,2,3,0,5,419
269,2,C,7,MANZANILLO,585,169,167,59,0,3,1,1,0,0,10,410
,,,,,,,,,,,,,,,,
270,1,B,11,MINATITLAN,528,89,132,108,4,1,0,8,0,0,11,353
270,2,C,11,MINATITLAN,528,101,108,123,2,1,0,9,0,0,8,352
271,1,B,11,MINATITLAN,674,57,218,179,3,0,0,6,2,0,19,484
272,1,B,11,MINATITLAN,709,82,159,167,8,2,0,3,3,0,21,445
272,4,E,11,MINATITLAN,102,25,25,22,0,0,0,0,0,0,2,74
273,1,B,11,MINATITLAN,200,8,115,18,0,0,0,0,0,0,4,145
273,4,E1,11,MINATITLAN,171,2,84,16,0,0,0,1,4,0,4,111
273,9,E2,11,MINATITLAN,221,7,100,37,1,1,0,1,1,0,1,149
274,1,B,11,MINATITLAN,117,2,34,27,0,0,0,1,0,0,2,66
274,4,E1,11,MINATITLAN,91,3,30,27,0,1,0,0,0,0,1,62
274,9,E2,11,MINATITLAN,158,4,70,21,0,1,0,0,1,0,4,101
275,1,B,11,MINATITLAN,568,72,93,178,1,0,0,3,2,0,3,352
275,4,E,11,MINATITLAN,103,5,32,25,0,0,0,2,1,0,3,68
276,1,B,11,MINATITLAN,365,5,186,63,1,0,2,0,2,0,6,265
276,4,E1,11,MINATITLAN,83,0,38,13,1,0,0,1,0,0,2,55
276,9,E2,11,MINATITLAN,132,24,56,16,1,0,0,1,0,0,4,102
,,,,,,,,,,,,,,,,
277,1,B,9,TECOMAN,542,61,96,106,4,1,4,0,4,0,6,282
277,2,C1,9,TECOMAN,543,61,111,94,2,1,5,0,3,0,0,277
277,5,C2,9,TECOMAN,543,69,91,88,3,1,0,0,5,0,6,263
278,1,B,9,TECOMAN,531,62,102,107,7,1,2,0,6,0,5,292
278,2,C,9,TECOMAN,532,84,93,98,11,1,1,0,6,0,7,301
279,1,B,9,TECOMAN,511,70,111,90,6,2,4,1,3,0,5,292
280,1,B,9,TECOMAN,630,101,128,131,13,1,2,0,1,0,10,387
280,2,C,9,TECOMAN,630,85,143,124,10,0,1,1,1,0,7,372
281,1,B,9,TECOMAN,492,52,101,95,8,2,1,6,0,0,10,275
281,2,C,9,TECOMAN,492,56,117,96,2,3,6,0,2,0,7,289
282,1,B,9,TECOMAN,548,62,121,109,3,2,0,0,13,0,5,315
282,2,C1,9,TECOMAN,548,83,103,114,4,2,1,1,12,0,13,333
282,5,C2,9,TECOMAN,549,71,107,124,5,4,5,0,11,0,0,327
283,1,B,9,TECOMAN,608,85,104,116,3,4,2,2,20,0,10,346
283,2,C1,9,TECOMAN,608,71,117,112,3,7,2,1,20,0,4,337
283,5,C2,9,TECOMAN,608,70,118,110,1,7,0,1,22,0,7,336
284,1,B,9,TECOMAN,436,49,87,89,5,2,1,0,3,0,7,243
284,2,C,9,TECOMAN,437,69,120,58,4,2,1,0,1,0,13,268
285,1,B,9,TECOMAN,689,77,213,105,5,6,3,0,8,0,6,423
286,1,B,9,TECOMAN,764,112,226,120,10,2,7,1,2,0,15,495
287,1,B,9,TECOMAN,678,104,177,93,1,4,4,0,4,0,6,393
288,1,B,9,TECOMAN,625,69,173,129,5,8,0,0,2,0,8,394
289,1,B,9,TECOMAN,581,115,149,90,4,3,4,0,0,0,16,381
289,2,C,9,TECOMAN,582,111,113,95,2,2,7,1,0,0,8,339
290,1,B,9,TECOMAN,608,96,154,119,5,11,1,1,2,0,0,389
290,2,C,9,TECOMAN,608,81,184,86,6,1,1,4,3,0,4,370
291,1,B,9,TECOMAN,619,70,117,132,29,3,3,1,1,0,5,361
291,2,C,9,TECOMAN,620,85,106,138,19,1,1,0,8,0,10,368
292,1,B,9,TECOMAN,548,92,117,67,0,2,0,0,2,0,12,292
292,2,C,9,TECOMAN,548,81,132,91,8,0,4,0,1,0,9,326
293,1,B,9,TECOMAN,467,53,116,84,4,1,2,0,1,0,6,267
293,2,C,9,TECOMAN,468,38,117,100,2,1,3,0,0,0,8,269
294,1,B,9,TECOMAN,638,106,175,108,6,3,4,8,0,0,5,415
295,1,B,9,TECOMAN,435,46,138,91,2,2,0,0,0,0,3,282
295,2,C,9,TECOMAN,435,56,100,105,4,1,0,1,2,0,8,277
296,1,B,9,TECOMAN,420,57,82,62,10,1,2,0,4,0,7,225
296,2,C,9,TECOMAN,421,48,102,84,0,1,0,1,5,0,6,247
297,1,B,9,TECOMAN,541,89,125,98,7,3,1,0,4,0,9,336
297,2,C,9,TECOMAN,542,86,138,81,8,2,4,1,4,0,14,338
298,1,B,9,TECOMAN,528,60,103,87,2,4,2,0,2,0,6,266
298,2,C,9,TECOMAN,529,86,98,91,2,2,0,0,2,0,15,296
299,1,B,9,TECOMAN,549,93,137,76,4,5,0,1,1,0,9,326
299,2,C,9,TECOMAN,550,70,141,76,7,3,1,0,1,0,10,309
300,1,B,9,TECOMAN,462,45,135,107,5,1,1,6,0,0,0,300
300,2,C,9,TECOMAN,463,47,130,95,3,3,1,1,3,0,6,289
300,3,E,9,TECOMAN,766,,,,,,,,,,,
301,1,B,9,TECOMAN,479,77,136,75,0,0,5,4,2,0,4,303
301,2,C,9,TECOMAN,481,78,136,84,2,2,1,1,0,0,6,310
302,1,B,9,TECOMAN,716,104,235,86,4,3,6,0,2,0,6,446
303,1,B,9,TECOMAN,425,92,71,71,3,0,2,2,1,0,9,251
303,2,C,9,TECOMAN,425,53,90,80,9,1,3,3,2,0,5,246
304,1,B,9,TECOMAN,435,52,79,99,10,1,2,4,2,0,2,251
304,2,C,9,TECOMAN,436,63,95,74,6,0,3,1,0,0,8,250
305,1,B,9,TECOMAN,675,125,147,108,6,2,2,2,1,0,9,402
305,2,C,9,TECOMAN,675,110,172,92,3,2,1,3,1,0,8,392
306,1,B,9,TECOMAN,447,67,115,79,5,0,0,1,2,0,7,276
306,2,C,9,TECOMAN,447,61,130,75,1,1,1,2,2,0,10,283
307,1,B,9,TECOMAN,532,45,115,84,3,5,0,2,0,0,8,262
307,2,C,9,TECOMAN,532,36,120,61,2,2,2,1,1,0,11,236
308,1,B,9,TECOMAN,527,109,82,106,3,0,2,5,2,0,8,317
308,2,C,9,TECOMAN,527,98,106,82,0,4,4,1,1,0,8,304
309,1,B,9,TECOMAN,634,111,209,79,7,1,3,1,4,0,6,421
310,1,B,9,TECOMAN,395,58,109,48,2,0,1,7,0,0,10,235
310,2,C,9,TECOMAN,395,52,108,49,3,1,2,3,0,0,7,225
311,1,B,9,TECOMAN,560,91,80,70,6,9,3,1,1,0,5,266
311,2,C1,9,TECOMAN,561,105,95,84,6,5,2,0,0,0,13,310
311,5,C2,9,TECOMAN,561,113,87,67,3,3,0,1,2,0,8,284
312,1,B,9,TECOMAN,676,154,94,107,8,0,2,0,4,0,3,372
312,2,C1,9,TECOMAN,676,147,128,81,3,3,2,1,2,0,11,378
312,5,C2,9,TECOMAN,676,143,133,96,5,2,3,0,2,0,11,395
313,1,B,9,TECOMAN,493,83,109,75,2,2,2,2,2,0,7,284
313,2,C,9,TECOMAN,494,61,150,54,3,6,1,0,2,0,9,286
314,1,B,9,TECOMAN,392,88,56,62,0,2,1,0,0,0,0,209
314,2,C,9,TECOMAN,392,93,76,53,2,3,2,0,2,0,7,238
315,1,B,9,TECOMAN,426,71,93,69,1,2,1,1,0,0,16,254
315,2,C,9,TECOMAN,427,62,84,57,2,4,2,0,1,0,6,218
316,1,B,9,TECOMAN,596,81,110,94,2,0,1,1,0,0,10,299
316,2,C,9,TECOMAN,596,87,92,91,2,0,0,0,1,0,0,273
317,1,B,9,TECOMAN,762,67,192,153,1,3,2,0,1,0,21,440
318,1,B,9,TECOMAN,400,17,92,125,3,0,2,0,2,0,8,249
318,2,C,9,TECOMAN,400,24,92,111,2,0,2,1,0,0,6,238
319,1,B,9,TECOMAN,713,57,203,144,9,2,1,1,1,0,11,429
320,1,B,9,TECOMAN,711,75,206,80,8,2,3,7,3,0,14,398
321,1,B,9,TECOMAN,572,22,111,190,10,1,2,0,0,0,9,345
321,2,C,9,TECOMAN,572,25,96,192,5,2,0,0,2,0,9,331
322,1,B,9,TECOMAN,419,44,88,92,3,0,4,1,6,0,5,243
323,1,B,9,TECOMAN,306,28,67,52,4,0,1,0,2,0,10,164
324,1,B,9,TECOMAN,403,48,79,84,6,0,0,0,2,0,2,221
324,2,C,9,TECOMAN,403,62,94,49,2,3,0,0,0,0,8,218
325,1,B,9,TECOMAN,517,38,119,77,5,0,2,1,2,0,23,267
326,1,B,9,TECOMAN,630,58,122,143,6,9,0,0,3,0,17,358
327,1,B,9,TECOMAN,178,10,53,25,0,1,0,0,1,0,8,98
328,1,B,9,TECOMAN,419,22,73,164,11,0,0,0,0,0,0,270
329,1,B,9,TECOMAN,590,79,146,108,5,1,4,1,0,0,9,353
329,2,C,9,TECOMAN,590,70,151,97,4,3,2,1,2,0,12,342
330,1,B,9,TECOMAN,102,27,24,19,0,1,0,0,0,0,2,73
331,1,B,9,TECOMAN,178,4,72,22,1,0,0,0,1,0,2,102
332,1,B,9,TECOMAN,244,34,56,62,1,1,0,1,1,0,0,156
333,1,B,9,TECOMAN,222,11,120,24,1,0,0,1,0,0,2,159
334,1,B,9,TECOMAN,423,16,90,120,0,2,0,1,1,0,1,231
334,2,C,9,TECOMAN,423,26,66,102,4,1,3,2,1,0,6,211
335,1,B,9,TECOMAN,531,13,95,137,3,2,1,0,0,0,16,267
335,2,C,9,TECOMAN,531,12,100,136,4,0,0,0,0,0,12,264
336,1,B,9,TECOMAN,669,29,159,177,9,0,0,0,0,0,9,383
336,2,C,9,TECOMAN,670,23,141,191,2,2,2,0,0,0,11,372
,,,,,,,,,,,,,,,,
138,1,B,4,VILLA DE ALVAREZ,598,135,121,85,15,6,5,13,2,1,9,392
138,2,C,4,VILLA DE ALVAREZ,599,176,113,83,18,3,4,4,3,0,10,414
139,1,B,4,VILLA DE ALVAREZ,661,202,108,113,1,4,8,8,0,1,5,450
139,2,C,4,VILLA DE ALVAREZ,662,231,110,112,1,7,3,3,2,0,8,477
