ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
32,ZACATECAS,39,RIO GRANDE,63,99,4299,6561,4335,1672,1919,451,864,4975,348,248,505,98,161,264,14,13,132,89,24,46,,27018,14,1422,28454,49779
32,ZACATECAS,40,SAIN ALTO,27,35,606,4467,2340,279,53,77,87,2650,31,42,27,13,46,109,2,14,42,38,4,20,,10947,0,411,11358,16473
32,ZACATECAS,41,EL SALVADOR,6,6,14,432,7,8,690,5,428,66,1,,0,1,0,0,0,0,1,4,0,1,,1658,0,113,1771,2105
32,ZACATECAS,42,SOMBRERETE,89,112,4111,6373,2493,792,1286,513,538,5747,284,3135,72,90,181,208,19,15,129,60,10,36,,26092,4,1177,27273,46783
32,ZACATECAS,43,SUSTICACAN,4,4,86,249,11,31,45,14,48,366,7,3,21,1,0,1,0,0,4,4,1,1,,893,0,39,932,1289
32,ZACATECAS,44,TABASCO,21,27,3252,2127,238,146,185,212,80,1188,91,41,26,14,87,38,16,2,25,11,0,4,,7783,1,377,8161,12535
32,ZACATECAS,45,TEPECHITLAN,19,21,843,1623,644,177,31,64,72,990,37,16,7,,29,47,4,0,14,7,0,8,,4613,1,132,4746,7011
32,ZACATECAS,46,TEPETONGO,20,20,146,1718,39,22,1509,23,61,242,14,14,4,3,3,2,0,0,2,3,2,0,,3807,1,210,4018,6311
32,ZACATECAS,47,TEUL DE GONZALEZ,11,13,1166,779,41,20,287,33,23,415,16,16,5,,6,5,2,0,2,0,0,6,,2822,2,105,2929,4349
32,ZACATECAS,48,TLALTENANGO,36,48,4533,3368,218,425,223,125,117,2802,171,145,16,4,79,44,14,1,59,18,4,17,,12383,3,537,12923,19994
32,ZACATECAS,49,VALPARAISO,66,74,1428,3365,3618,354,3025,235,192,3495,162,46,92,59,127,148,3,15,70,32,2,23,,16491,2,580,17073,26866
32,ZACATECAS,50,VETAGRANDE,8,15,158,1548,31,1108,98,33,1026,1530,39,25,58,8,3,2,0,1,29,48,9,5,,5759,2,172,5933,7667
32,ZACATECAS,51,VILLA DE COS,47,63,594,5651,810,1380,1146,192,1895,4483,113,6,129,139,25,31,3,3,102,102,8,19,,16831,3,636,17470,24913
32,ZACATECAS,52,VILLA GARCIA,16,25,335,3022,512,555,501,1365,107,2643,76,234,15,14,25,1,5,14,,,,,,9424,1,375,9800,12626
32,ZACATECAS,53,VILLA GONZALEZ,12,19,196,2286,1307,330,179,57,501,1389,35,19,27,10,18,42,3,14,18,8,1,2,,6442,10,464,6916,9855
32,ZACATECAS,54,VILLA HIDALGO,24,30,277,3799,2818,144,91,77,99,2051,53,38,27,11,27,52,1,11,25,13,2,9,,9625,2,384,10011,13389
32,ZACATECAS,55,VILLANUEVA,50,60,1041,4568,4763,289,252,144,592,3726,199,58,27,34,78,171,7,11,,,,,,15960,5,776,16741,25131
32,ZACATECAS,56,ZACATECAS,111,201,8541,11351,1704,2968,6521,1184,1433,29381,1013,1909,1112,816,157,73,28,14,455,243,28,114,,69045,76,2507,71628,108518
32,ZACATECAS,57,TRANCOSO,11,23,244,4172,1062,1017,570,72,130,1138,73,125,31,18,32,21,2,10,39,91,13,3,,8863,3,355,9221,12919
32,ZACATECAS,58,SANTA MARIA,7,7,733,437,62,17,10,4,5,189,4,3,0,,6,11,3,0,2,1,0,0,,1487,0,60,1547,2338
