CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,415,1,18,19,0,1,1,22,0,9,3,1,2,75,77,154,0
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,535,1,25,15,1,1,1,29,2,5,2,3,0,84,2,86,0
1,14,JALISCO,1,COLOTLÁN,95,TEQUILA,2397,1,19,17,5,2,1,37,3,5,1,3,0,93,5,98,0
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1736,1,37,40,3,0,3,50,5,13,5,9,0,165,7,172,0
1,14,JALISCO,2,LAGOS DE MORENO,75,SAN JUAN DE LOS LAGOS,2093,1,19,17,1,8,2,20,3,3,4,3,0,80,2,82,0
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,8,ARANDAS,137,1,30,18,0,3,0,28,4,0,1,4,0,88,5,93,0
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,48,JALOSTOTITLÁN,1633,1,10,7,0,1,1,13,2,2,0,0,1,36,0,37,0
1,14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2910,1,37,56,3,7,3,96,7,17,11,16,0,253,14,267,0
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1935,2,85,59,10,12,5,183,14,18,17,17,0,424,3,427,0
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1957,1,42,34,3,3,3,75,5,10,4,7,0,186,9,195,0
1,14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3020,1,22,94,2,7,5,93,12,8,4,12,0,259,14,273,0
1,14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3119,1,60,14,4,4,3,61,5,10,11,3,0,175,10,185,0
1,14,JALISCO,7,SAN PEDRO TLAQUEPAQUE,98,TLAJOMULCO DE ZUÑIGA,2462,1,5,25,8,7,1,52,4,0,2,0,0,104,5,109,0
1,14,JALISCO,7,SAN PEDRO TLAQUEPAQUE,98,TLAJOMULCO DE ZUÑIGA,2465,1,18,15,2,7,1,65,4,7,2,3,6,125,6,137,0
1,14,JALISCO,7,SAN PEDRO TLAQUEPAQUE,98,TLAJOMULCO DE ZUÑIGA,2467,1,10,17,3,3,5,51,6,6,5,3,0,109,5,114,0
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,1140,1,37,141,22,18,2,131,11,14,7,11,0,394,12,406,0
1,14,JALISCO,9,GUADALAJARA,41,GUADALAJARA,1373,1,16,73,5,15,5,188,17,13,16,16,0,364,17,381,0
1,14,JALISCO,10,ZAPOPAN,120,ZAPOPAN,3101,1,11,22,2,2,1,46,4,2,1,4,38,95,2,135,0
1,14,JALISCO,10,ZAPOPAN,120,ZAPOPAN,3183,1,29,32,4,9,0,94,4,10,6,6,0,194,58,252,0
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,724,1,9,55,5,3,2,77,7,8,7,6,0,179,4,183,0
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,798,1,9,7,14,2,0,30,1,2,0,4,0,69,1,70,0
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,799,1,3,4,1,4,0,18,1,3,1,2,0,37,0,37,0
1,14,JALISCO,13,GUADALAJARA,41,GUADALAJARA,1049,1,52,88,3,10,16,214,11,29,9,16,2,448,21,471,0
1,14,JALISCO,13,GUADALAJARA,41,GUADALAJARA,1512,1,34,60,6,16,7,149,28,16,9,17,0,342,0,342,0
1,14,JALISCO,14,GUADALAJARA,41,GUADALAJARA,978,1,39,84,8,12,5,107,23,6,5,12,0,301,14,315,0
1,14,JALISCO,15,LA BARCA,18,LA BARCA,261,1,50,51,16,6,9,45,22,17,5,4,1,225,7,233,0
1,14,JALISCO,15,LA BARCA,65,OCOTLÁN,1871,1,24,21,9,4,3,58,6,7,10,9,0,151,6,157,0
1,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2474,1,63,162,13,17,10,157,13,22,10,21,1,488,23,512,0
1,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2523,1,11,33,1,4,7,54,9,3,4,11,0,137,6,143,0
1,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2526,1,16,34,4,2,3,36,2,0,3,4,0,104,0,104,0
1,14,JALISCO,17,JOCOTEPEC,31,CHAPALA,461,1,13,9,0,0,0,28,3,1,2,5,1,61,7,69,0
1,14,JALISCO,17,JOCOTEPEC,31,CHAPALA,469,1,25,32,3,3,2,63,11,6,4,3,0,152,8,160,0
1,14,JALISCO,17,JOCOTEPEC,52,JOCOTEPEC,1672,1,23,16,0,3,2,50,1,3,2,4,0,104,5,109,0
1,14,JALISCO,17,JOCOTEPEC,61,MAZAMITLA,1817,1,26,51,7,5,4,101,4,13,4,12,2,227,17,246,0
1,14,JALISCO,17,JOCOTEPEC,124,ZAPOTLANEJO,3287,1,11,24,6,3,3,28,5,5,1,4,0,90,4,94,0
1,14,JALISCO,18,AUTLÁN DE NAVARRO,6,AMECA,59,1,22,34,17,3,4,51,9,4,5,6,12,155,0,167,0
1,14,JALISCO,18,AUTLÁN DE NAVARRO,15,AUTLÁN DE NAVARRO,197,1,46,29,20,3,2,54,7,6,4,6,0,179,14,193,0
1,14,JALISCO,18,AUTLÁN DE NAVARRO,22,CIHUATLÁN,327,1,14,34,7,2,1,61,4,2,5,10,0,140,2,142,0
1,14,JALISCO,18,AUTLÁN DE NAVARRO,114,VILLA CORONA,2831,1,17,20,5,0,3,33,5,3,8,2,0,96,0,96,0
