ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,XICOTEPEC DE JUAREZ,106,286,31840,21361,3855,3418,5137,3794,3581,3581,824,29650,996,108037,14,5976,114027,153385,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/drp/01_XICOTEPEC_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_R_P_16.jpg
21,PUEBLA,2,HUAUCHINANGO DE DEGOLLADO,99,270,23762,28738,5048,3241,4093,4951,3082,2922,2454,26919,1661,106871,313,6403,113587,152624,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/drp/02_HUAUCHINANGO_ACTA_DE_COMPUTO_DISTRITAL_CONSEJO_GENERAL_IEE_R_P_28.jpg
21,PUEBLA,3,ZACATLAN,96,287,29944,27273,1974,4121,4061,3417,4554,1077,1143,29695,1273,108532,51,6466,115049,162264,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/drp/03_ZACATLAN_ACTA_DE_COMPUTO_DISTRITAL_DIPUTACIONES_R_P_15.jpg
21,PUEBLA,4,ZACAPOAXTLA,116,285,21916,31932,9296,4243,5707,5718,3445,4465,1619,23628,1123,113092,42,7631,120765,160165,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/drp/04_ZACAPOAXTLA_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_R_P_16.jpg
21,PUEBLA,5,TLATLAUQUITEPEC,106,266,23928,25609,1832,5301,4270,2760,6557,2030,4444,21971,1195,99897,56,6960,106913,153087,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,6,TEZIUTLAN,92,264,23833,26762,1407,3389,7039,4465,4667,7452,1950,26761,1723,109448,70,6134,115652,160379,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,7,SAN MARTIN TEXMELUCAN DE LABASTIDA,88,281,20570,14948,2987,5445,4332,2057,4523,7054,3361,35793,2100,103170,76,5593,108839,174616,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,8,HUEJOTZINGO,80,271,17755,14163,4694,5261,4962,7040,3625,4502,2444,43020,2236,109702,107,6876,116685,174128,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/drp/08_HUEJOTZINGO_ACTA_DE_COMPUTO_DISTRITAL_DIPUTACIONES_R_P_15.jpg
21,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,75,292,30658,11702,2709,4055,4152,2235,2189,1466,755,53032,2990,115943,134,4875,120952,189340,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,123,324,23719,10186,1382,4878,4227,2020,2098,1115,852,52927,2877,106281,92,4640,111013,196030,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/drp/10_PUEBLA_ACTA_DE_COMPUTO_DISTRITAL_DIPUTACIONES_R_P_15.jpg
21,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,48,268,20676,15190,1558,4178,5865,2076,1604,1354,542,46076,2714,101833,136,3809,105778,180125,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
