ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,1,B,1,0,B,105,140,0,14,5,6,1,52,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,326,0,10,336,512,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,1,C,1,0,C01,89,142,4,9,5,1,2,42,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,295,0,10,305,512,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,1,C,2,0,C02,56,159,0,17,3,3,3,37,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,281,0,10,291,511,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,2,B,1,0,B,114,178,2,18,7,1,5,84,3,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,414,0,7,421,663,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,2,C,1,0,C01,120,149,4,12,4,1,4,86,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,384,0,11,395,662,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,2,C,2,0,C02,107,149,1,11,2,4,3,92,3,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,377,0,15,392,662,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,3,B,1,0,B,71,140,1,8,4,0,4,61,3,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,296,0,5,301,507,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,3,C,1,0,C01,93,115,1,16,6,2,7,53,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,296,0,13,309,506,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,3,C,2,0,C02,62,124,0,14,4,2,4,60,2,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,275,0,1,276,506,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,4,B,1,0,B,74,159,1,11,0,2,7,63,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,317,0,9,326,485,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,4,C,1,0,C01,84,160,2,12,5,0,1,36,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,302,0,2,304,485,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,5,B,1,0,B,92,120,0,21,2,2,2,41,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,289,1,13,303,547,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,5,C,1,0,C01,68,177,0,11,8,2,5,41,5,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,318,0,9,327,547,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,6,B,1,0,B,108,151,3,15,13,6,3,51,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,354,0,7,361,703,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,6,C,1,0,C01,99,141,0,0,7,0,0,76,4,4,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,334,0,7,341,702,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,6,C,2,0,C02,62,157,1,20,6,1,9,60,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,321,0,9,330,702,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,6,C,3,0,C03,85,169,0,13,4,2,5,54,2,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,335,0,10,345,702,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,7,B,1,0,B,110,168,2,24,2,3,8,53,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,374,0,6,380,661,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,7,C,1,0,C01,101,161,2,30,3,5,3,56,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,364,0,3,367,661,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,8,B,1,0,B,133,185,2,12,7,4,6,74,10,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,437,0,15,452,699,Acta casilla,,,
11,GUANAJUATO,18,PENJAMO,1,ABASOLO ,8,C,1,0,C01,125,206,1,11,4,0,8,68,5,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,436,0,17,453,698,Acta casilla,,,
