CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRI_PVEM,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,PH,ES,BS,FACA,JLCM,JRM,ISRM,MARM,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,140,1,81,36,,34,7,5,13,9,21,2,,,,,,1,6,0,0,1,216,11,227,504
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,141,2,143,52,,46,28,7,28,9,14,15,,,,,,5,6,1,0,0,354,16,370,769
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,142,2,143,116,,66,36,8,32,7,18,7,,,,,,23,15,2,1,0,474,24,498,1023
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,3,314,149,,95,64,12,37,9,32,16,,,,,,12,16,2,0,2,760,29,789,1715
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,144,2,233,128,,79,63,6,44,15,36,4,,,,,,11,17,0,0,1,637,24,661,1407
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,145,2,89,61,,29,15,5,24,9,76,12,,,,,,1,8,0,0,0,329,22,351,752
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,146,1,97,46,,33,11,3,23,11,51,5,,,,,,2,4,1,0,0,287,5,292,637
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,147,1,103,59,,38,18,4,23,8,80,5,,,,,,4,8,1,0,0,351,18,369,688
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,148,1,117,67,,39,12,3,15,9,30,4,,,,,,6,4,0,0,0,306,16,322,541
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,149,1,101,64,,40,17,5,29,8,29,6,,,,,,4,9,0,0,1,313,13,326,597
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,150,1,63,57,,44,12,2,25,8,47,6,,,,,,4,8,0,0,0,276,14,290,499
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,151,1,94,60,,36,13,4,17,8,28,5,,,,,,7,9,0,0,0,281,12,293,636
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,152,2,114,82,,45,38,5,25,14,34,7,,,,,,7,7,1,0,0,379,12,391,874
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,153,2,151,138,,129,32,5,45,12,47,8,,,,,,16,26,0,0,0,609,31,640,1316
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,154,2,173,111,,80,27,9,47,13,52,10,,,,,,11,7,1,0,9,550,26,576,1139
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,155,2,179,117,,46,36,14,42,10,53,29,,,,,,11,10,0,0,0,547,15,562,980
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,5,570,307,,175,75,11,74,16,93,59,,,,,,15,16,11,0,3,1425,57,1482,3157
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,157,2,182,85,,39,25,8,22,9,26,13,,,,,,4,9,0,0,0,422,13,435,819
