ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PAN_PRD,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,ABASOLO,50,117,9594,8996,556,2907,883,699,790,8182,484,187,102,58,16,63,,,33517,34,1409,34960,67145,
11,GUANAJUATO,2,ACAMBARO,90,175,10975,4446,6126,2387,1353,1178,1668,12127,942,288,137,67,16,209,,,41919,53,2613,44585,95102,
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,103,223,23576,7090,1302,3756,1433,1575,3538,13669,2017,200,88,109,6,115,,,58474,76,3621,62171,126028,
11,GUANAJUATO,4,APASEO EL ALTO,44,90,5033,3364,710,2061,361,3640,576,8229,231,419,51,27,5,78,,,24785,10,1336,26131,50108,
11,GUANAJUATO,5,APASEO EL GRANDE,43,113,9463,5151,432,8150,557,665,458,6709,640,112,43,33,6,63,,,32482,21,1525,34028,66615,
11,GUANAJUATO,6,ATARJEA,5,10,1417,465,28,756,22,30,32,370,20,4,1,1,0,8,,,3154,0,257,3411,4242,
11,GUANAJUATO,7,CELAYA,247,629,68180,21256,2551,13956,4716,5821,5890,45817,5113,986,479,245,55,580,12200,,187845,490,8165,196500,373130,
11,GUANAJUATO,8,MANUEL DOBLADO,42,62,7491,6765,333,1399,155,108,196,969,88,12,9,2,2,21,,,17550,1,708,18259,31241,
11,GUANAJUATO,9,COMONFORT,43,101,7279,2746,292,3574,441,1204,1159,6834,434,,,,,61,,1664,25688,478,1710,27876,59583,
11,GUANAJUATO,10,CORONEO,10,18,2404,1726,52,607,139,95,109,506,48,6,4,2,2,8,,,5708,1,366,6075,9461,
11,GUANAJUATO,11,CORTAZAR,55,131,16423,3186,9875,3045,905,719,2213,5303,516,129,32,24,24,141,,,42535,34,1486,44055,74090,
11,GUANAJUATO,12,CUERAMARO,21,40,5517,1554,243,849,269,947,840,1179,68,11,8,2,1,21,,,11509,13,655,12177,23226,
11,GUANAJUATO,13,DOCTOR MORA,12,30,4522,995,664,393,227,2382,379,1421,98,23,8,4,3,18,,,11137,2,609,11748,18050,
11,GUANAJUATO,14,DOLORES HIDALGO CIN,71,192,15486,13628,1638,6719,1524,2737,1997,7606,1604,188,79,46,22,78,,,53352,77,3782,57211,112026,
11,GUANAJUATO,15,GUANAJUATO,93,238,22643,12166,2165,6966,1659,1633,3544,13923,1121,299,122,56,21,185,,,66503,56,3310,69869,137513,
11,GUANAJUATO,16,HUANIMARO,13,29,3451,488,562,1866,146,1073,198,1312,76,40,16,4,3,127,,,9362,2,520,9884,16900,
11,GUANAJUATO,17,IRAPUATO,249,680,83098,34150,3051,10576,5018,4144,5421,46487,4391,1236,525,232,55,567,,,198951,217,8638,207806,415087,
11,GUANAJUATO,18,JARAL DEL PROGRESO,26,51,6663,5276,268,1034,199,304,1515,2205,129,31,19,9,2,16,,,17670,6,587,18263,28989,
11,GUANAJUATO,19,JERECUARO,56,81,4830,6024,300,2612,296,2789,353,2379,171,34,20,12,5,22,,,19847,10,1605,21462,41440,
11,GUANAJUATO,20,LEON,723,1836,318965,65673,6506,54134,10610,13634,14094,87136,9269,1881,809,454,107,1340,,,584612,613,24823,610048,1114438,
11,GUANAJUATO,21,MOROLEON,35,76,6323,2616,4207,2978,381,1567,415,4035,224,48,21,7,3,85,,,22910,23,1093,24026,43487,
11,GUANAJUATO,22,OCAMPO,18,36,3092,3486,533,402,78,1495,175,660,33,8,9,4,2,11,,,9988,28,368,10384,17804,
11,GUANAJUATO,23,PENJAMO,114,228,20793,10189,1100,4553,1308,902,1783,12639,533,359,147,65,14,259,,,54644,25,2744,57413,124292,
11,GUANAJUATO,24,PUEBLO NUEVO,8,21,1790,3131,221,219,66,117,768,628,38,3,0,3,1,6,,,6991,1,285,7277,10744,
11,GUANAJUATO,25,PURISIMA DEL RINCON,25,86,16113,5724,149,1490,239,256,343,2029,150,35,19,10,1,74,,,26632,11,871,27514,53515,
11,GUANAJUATO,26,ROMITA,50,84,6154,9178,356,806,302,403,2096,4609,111,106,51,41,7,193,,,24413,28,842,25283,45218,
11,GUANAJUATO,27,SALAMANCA,154,361,38093,12000,2467,8340,3814,3095,3059,37915,2672,741,337,130,26,345,,,113034,119,4526,117679,212516,
11,GUANAJUATO,28,SALVATIERRA,84,153,17811,7534,888,3288,1254,757,697,9398,458,249,152,58,20,96,,,42660,16,1808,44484,84454,
11,GUANAJUATO,29,SAN DIEGO DE LA UNION,28,50,7061,3859,453,789,221,574,545,977,133,59,3,8,1,208,,,14891,32,596,15519,27250,
11,GUANAJUATO,30,SAN FELIPE,71,146,9463,6790,926,9472,671,1931,4067,3781,375,70,38,25,6,54,,,37669,31,2535,40235,80941,
11,GUANAJUATO,31,SAN FRANCISCO DEL RINCON,59,153,20801,11665,421,6409,517,999,464,4608,325,80,46,32,6,102,,,46475,24,1789,48288,91009,
11,GUANAJUATO,32,SAN JOSE ITURBIDE,38,99,8797,1949,856,2389,773,3190,2525,8883,629,192,73,49,11,65,,,30381,14,1849,32244,58276,
11,GUANAJUATO,33,SAN LUIS DE LA PAZ,57,148,14596,8784,1063,2705,1082,1036,1749,8976,783,172,70,42,8,101,,,41167,32,2569,43768,88157,
11,GUANAJUATO,34,SANTA CATARINA,5,10,1500,919,12,51,13,20,27,296,8,4,1,0,2,10,,,2863,2,138,3003,4309,
11,GUANAJUATO,35,SANTA CRUZ DE JUVENTINO ROSAS,36,101,11290,2466,6594,2626,356,487,579,6314,323,,,,,242,,906,32183,30,1326,33539,60770,
11,GUANAJUATO,36,SANTIAGO MARAVATIO,10,13,1679,1923,20,132,31,21,19,315,12,5,1,2,1,3,,,4164,0,160,4324,6671,
11,GUANAJUATO,37,SILAO DE LA VICTORIA,78,223,20679,9055,1069,7831,1535,1334,1822,14830,869,500,227,149,38,272,,,60210,113,2370,62693,134585,
11,GUANAJUATO,38,TARANDACUAO,12,20,2323,1211,42,841,37,274,266,639,30,6,2,5,0,13,,,5689,318,290,6297,10229,
11,GUANAJUATO,39,TARIMORO,34,60,6767,2947,327,1348,336,885,451,2609,181,32,23,9,3,22,,,15940,12,770,16722,31224,
11,GUANAJUATO,40,TIERRA BLANCA,10,23,3135,1489,1219,1674,116,208,60,1347,55,17,4,7,2,32,,,9365,1,506,9872,13033,
11,GUANAJUATO,41,URIANGATO,26,81,5346,6387,353,5665,376,980,629,4412,357,108,25,11,8,146,,,24803,19,1237,26059,49270,
11,GUANAJUATO,42,VALLE DE SANTIAGO,75,206,12871,6710,7625,4659,1416,2879,3101,10940,906,278,91,46,19,273,,,51814,57,3296,55167,114493,
11,GUANAJUATO,43,VICTORIA,15,27,4621,1981,515,293,104,222,250,1630,49,32,8,17,0,21,,,9743,2,446,10191,15422,
11,GUANAJUATO,44,VILLAGRAN,28,75,7778,1339,1034,2108,447,657,7114,4364,346,,,,,160,,850,26197,72,1180,27449,45588,
11,GUANAJUATO,45,XICHU,14,23,3072,1951,24,223,31,35,31,386,13,0,0,1,1,16,,,5784,3,304,6091,8459,
11,GUANAJUATO,46,YURIRIA,57,114,10417,6745,596,4351,589,512,776,4696,281,73,36,16,5,49,,,29142,6,1731,30879,63401,
