ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PAN_PRD,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,DOLORES HIDALGO CIN,153,332,28812,20837,2926,13825,1679,5353,5666,9222,1333,195,107,58,26,319,,,90358,137,5295,95790,184197,
11,GUANAJUATO,2,SAN LUIS DE LA PAZ,156,370,41660,18533,4381,8484,2368,7123,5053,23309,1655,444,165,121,27,271,,,113594,56,6678,113650,209948,
11,GUANAJUATO,3,LEON,88,298,65158,9741,1072,9197,1627,2388,2284,13701,1614,298,110,91,24,,,,107305,100,3778,107405,186470,
11,GUANAJUATO,4,LEON,115,298,44663,11180,1257,7988,1725,2022,2168,14161,1367,355,157,83,14,201,,,87341,134,4889,87475,185354,
12,GUANAJUATO,5,LEON,99,293,48607,10009,1047,8011,1693,2301,2059,13369,1384,320,198,89,22,208,,,89317,102,3609,93028,183623,
11,GUANAJUATO,6,LEON,126,303,46831,12271,1113,8440,1931,1954,1893,12569,1471,,,,,196,,,88669,66,4196,92931,182252,
11,GUANAJUATO,7,LEON,206,364,62759,12855,1099,10607,1915,2540,2604,16545,1630,387,181,83,22,277,,,113504,101,4673,118278,198253,
11,GUANAJUATO,8,GUANAJUATO,128,330,28801,19015,2779,10491,2465,3011,4632,17647,1931,429,142,80,26,215,,,91664,87,5279,97030,191337,
11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,146,336,33039,12241,1734,11906,1990,2240,3996,20378,2657,312,131,142,12,178,,,90956,97,5146,91053,192643,
11,GUANAJUATO,10,SAN FRANCISCO DEL RINCON,147,341,49922,25708,1146,10147,1180,2310,1843,8785,631,138,82,46,10,218,,,102166,49,4023,102162,198991,
11,GUANAJUATO,11,IRAPUATO,109,340,46210,18415,1641,5272,2478,1993,2623,21071,2117,570,228,108,19,277,,,103022,102,4421,103124,211800,
11,GUANAJUATO,12,IRAPUATO,140,340,36423,15513,1391,5247,2506,2124,2763,25046,2252,659,293,119,36,284,,,94656,113,4175,98944,203287,
11,GUANAJUATO,13,SILAO DE LA VICTORIA,128,307,26833,18233,1425,8637,1837,1737,3918,9439,980,606,278,190,45,465,,,74623,141,3212,77976,179803,
11,GUANAJUATO,14,SALAMANCA,154,361,37922,11939,2448,8291,3794,3073,3050,37665,2657,739,333,130,26,341,,,112408,118,4508,117034,212516,
11,GUANAJUATO,15,CELAYA,171,369,42359,12923,1509,8965,2726,3918,3523,25293,3432,507,246,100,26,308,,,105835,303,4991,106138,205305,
11,GUANAJUATO,16,CELAYA,110,320,31990,11046,1339,6204,2261,2728,2769,22628,1815,499,250,154,32,292,11939,,95946,198,3852,96144,199049,
11,GUANAJUATO,17,SANTA CRUZ DE JUVENTINO ROSAS,107,277,26347,6551,7920,8308,1244,2348,8852,17512,1103,,,,,463,,3420,84068,580,4216,88864,165941,
11,GUANAJUATO,18,PENJAMO,185,395,35628,22804,2439,9545,2403,2791,3539,22761,1131,589,265,130,34,455,,,104514,62,4958,109534,219081,
11,GUANAJUATO,19,VALLE DE SANTIAGO,156,388,35476,14875,17495,8521,2461,3809,6705,17954,1517,336,139,77,45,295,,,109705,97,5239,109802,217572,
11,GUANAJUATO,20,YURIRIA,212,437,41576,25205,6064,16414,2631,3837,2536,22856,1332,483,235,94,37,379,,,123679,64,6029,129772,247283,
11,GUANAJUATO,21,LEON,89,280,49456,9348,902,9641,1675,2371,3030,16410,1759,516,162,99,25,453,,,95847,108,3587,99542,178486,
11,GUANAJUATO,22,ACAMBARO,212,384,25565,16771,7230,8508,2186,7976,2972,23880,1422,753,214,113,28,330,,,97948,392,6210,98340,206340,
