ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD_MC_NA_PCPP_PSI,PAN_PRD_MC_NA_PCPP,PAN_PRD_MC_NA_PSI,PAN_PRD_MC_PCPP_PSI,PAN_PRD_NA_PCPP_PSI,PAN_MC_NA_PCPP_PSI,PRD_MC_NA_PCPP_PSI,PAN_PRD_MC_NA,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_NA_PCPP,PAN_PRD_NA_PSI,PAN_PRD_PCPP_PSI,PAN_MC_NA_PCPP,PAN_MC_NA_PSI,PAN_MC_PCPP_PSI,PAN_NA_PCPP_PSI,PRD_MC_NA_PCPP,PRD_MC_NA_PSI,PRD_MC_PCPP_PSI,PRD_NA_PCPP_PSI,MC_NA_PCPP_PSI,PAN_PRD_MC,PAN_PRD_NA,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_NA,PAN_MC_PCPP,PAN_MC_PSI,PAN_NA_PCPP,PAN_NA_PSI,PAN_PCPP_PSI,PRD_MC_NA,PRD_MC_PCPP,PRD_MC_PSI,PRD_NA_PCPP,PRD_NA_PSI,PRD_PCPP_PSI,MC_NA_PCPP,MC_NA_PSI,MC_PCPP_PSI,NA_PCPP_PSI,PAN_PRD,PAN_MC,PAN_NA,PAN_PCPP,PAN_PSI,PRD_MC,PRD_NA,PRD_PCPP,PRD_PSI,MC_NA,MC_PCPP,MC_PSI,NA_PCPP,NA_PSI,PCPP_PSI,C_COMUN_PAN_PRD_MC_PSI,PAN_PRD_MC,PAN_PRD_PSI,PAN_MC_PSI,PRD_MC_PSI,PAN_PRD,PAN_MC,PAN_PSI,PRD_MC,PRD_PSI,MC_PSI,C_COMUN_PAN_PRD_PCPP_PSI,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_PCPP_PSI,PRD_PCPP_PSI,PAN_PRD,PAN_PCPP,PAN_PSI,PRD_PCPP,PRD_PSI,PCPP_PSI,C_COMUN_PAN_PRD_MC_PCPP,PAN_PRD_MC,PAN_PRD_PCPP,PAN_MC_PCPP,PRD_MC_PCPP,PAN_PRD,PAN_MC,PAN_PCPP,PRD_MC,PRD_PCPP,MC_PCPP,C_COMUN_PAN_MC_PCPP_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,MC_PCPP_PSI,PAN_MC,PAN_PCPP,PAN_PSI,MC_PCPP,MC_PSI,PCPP_PSI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,XICOTEPEC DE JUAREZ,106,286,30945,21327,3425,3055,5125,3576,3571,3439,768,28874,762,221,68,39,22,13,12,197,27,30,10,23,21,4,9,23,3,451,115,53,26,101,108,12,17,48,31,700,251,55,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107761,14,5969,113744,153385,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/01_XICOTEPEC_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,2,HUAUCHINANGO DE DEGOLLADO,99,270,22938,28718,4644,2881,4091,4760,3079,2737,2304,26136,1346,460,37,57,22,20,8,109,23,47,15,12,73,7,8,8,7,398,78,51,48,66,17,43,21,16,52,765,242,44,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106668,313,6399,113380,152624,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/02_HUAUCHINANGO_ACTA_FINAL_ESCRUTINIO_CONSEJO_GENERAL_IEE_DIPUTACIONES_M_R_26.jpg
21,PUEBLA,3,ZACATLAN,96,287,29122,27163,1814,3786,4029,3250,4528,1013,1116,28680,1049,201,47,30,16,13,8,91,26,17,17,19,10,2,5,2,3,171,102,108,37,63,19,7,8,17,6,605,258,43,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107722,51,6430,114203,162264,
21,PUEBLA,4,ZACAPOAXTLA,116,285,21161,31858,8976,3948,5679,5560,3419,4215,1514,22795,965,199,33,8,20,10,6,88,65,21,20,19,8,10,5,18,7,326,118,181,31,48,41,18,25,10,113,496,193,45,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112422,42,7597,120061,160165,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/04_ZACAPOAXTLA_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,5,TLATLAUQUITEPEC,106,266,23296,25584,1717,4995,4263,2549,6541,1963,4218,21301,1009,135,27,28,26,14,9,104,26,17,8,21,13,7,5,4,13,193,48,69,41,22,7,15,24,275,22,576,209,49,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99617,56,6960,106633,153087,
21,PUEBLA,6,TEZIUTLAN,92,264,23128,26762,1348,3127,7039,4240,4667,7270,1815,26229,1499,170,37,34,25,20,3,49,27,22,19,361,13,4,2,2,6,144,78,89,36,14,20,7,101,10,13,616,151,47,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109448,70,6134,115652,160379,
21,PUEBLA,7,SAN MARTIN TEXMELUCAN DE LABASTIDA,88,281,19942,14916,2812,4939,4319,1951,4510,7045,3255,34812,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,859,427,64,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,119,81,56,14,132,48,59,26,20,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102833,75,5566,108474,174616,
21,PUEBLA,8,HUEJOTZINGO,80,271,16943,14144,4416,4664,4957,6659,3623,4330,2353,41973,1794,455,52,61,35,23,25,90,33,37,59,27,17,13,13,9,7,225,121,82,25,125,29,15,48,27,37,1163,397,51,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109522,107,6863,116492,174128,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/08_HUEJOTZINGO_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,75,292,29901,11687,2540,3472,4150,2086,2187,1368,732,51953,2451,360,88,49,26,22,7,112,16,17,28,13,8,5,3,1,3,203,60,52,12,14,4,1,8,6,24,1314,350,87,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115762,128,4866,120756,189340,
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,123,324,23284,10168,1294,4197,4216,2017,2096,1045,836,51729,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,1408,444,72,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,70,39,39,8,136,55,13,2,2,10,,,,,,,,,,,,,,,,,,,,,,,106121,92,4634,110847,196030,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/10_PUEBLA_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,48,268,19724,15122,1388,3386,5812,1858,1581,1233,476,44603,1874,338,64,58,25,30,18,130,33,22,25,16,11,5,3,4,9,134,108,75,20,14,5,12,20,21,50,1501,513,90,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100834,135,3788,104757,180125,
21,PUEBLA,12,AMOZOC DE MOTA,69,264,17854,12513,2442,5326,3344,3520,4241,3022,5091,44920,2350,452,30,33,24,15,5,79,15,17,11,13,88,144,6,1,13,243,139,60,47,77,11,18,39,159,28,1895,482,104,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109382,139,5675,115196,168910,
21,PUEBLA,13,TEPEACA,78,263,25978,18788,2661,3961,7453,3177,1873,1619,2375,34363,1287,273,52,38,40,29,19,90,35,59,17,25,24,5,7,5,9,291,130,87,56,32,7,6,17,17,12,929,314,57,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106562,51,5264,111877,161817,
21,PUEBLA,14,CIUDAD SERDAN,108,274,25807,14837,3928,6459,3240,8426,8859,5840,2703,22460,955,311,41,43,43,28,8,237,36,40,19,15,114,35,10,69,24,330,204,224,42,80,43,18,63,38,26,847,494,60,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107281,18,7284,114583,156517,
21,PUEBLA,15,TECAMACHALCO,74,253,10866,12550,2897,4372,3886,2532,1404,2989,13456,41267,1463,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,423,93,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,71,49,62,13,248,76,113,42,21,94,,,,,,,,,,,,100747,44,6885,107676,155988,
