MUNICIPIO,SECCION,Lista Nominal,CASILLA,PAN,PRI,APM,PT,PVEM,PCM,PARM,PDS,PAS,NO REGISTRADOS,NULOS
AMACUZAC,1,517,BASICA,38,84,157,25,0,0,0,0,0,2,15
AMACUZAC,1,517,CONTIGUA1,38,97,162,12,0,0,0,0,0,2,14
AMACUZAC,2,667,BASICA,29,162,173,21,2,0,2,0,0,0,10
AMACUZAC,3,504,BASICA,14,135,169,29,0,0,0,0,0,0,0
AMACUZAC,3,505,CONTIGUA1,19,125,166,37,0,0,0,0,0,0,0
AMACUZAC,4,453,BASICA,26,119,141,37,0,0,0,0,0,0,13
AMACUZAC,4,453,CONTIGUA1,24,93,153,36,0,0,0,0,0,0,12
AMACUZAC,4,292,GEOGRAFICA,36,81,37,21,0,1,0,0,0,0,6
AMACUZAC,5,498,BASICA,46,84,141,32,0,0,0,0,0,2,8
AMACUZAC,6,510,BASICA,29,118,122,5,0,0,0,0,0,0,9
AMACUZAC,6,510,CONTIGUA1,29,142,110,5,0,0,0,0,0,0,9
AMACUZAC,6,511,CONTIGUA2,29,135,116,6,0,0,0,0,0,0,6
AMACUZAC,7,375,BASICA,58,78,91,6,1,0,0,0,0,0,2
AMACUZAC,7,376,CONTIGUA1,43,97,88,5,4,0,0,0,0,0,8
AMACUZAC,8,462,BASICA,49,110,138,9,0,0,0,0,0,0,14
AMACUZAC,8,463,CONTIGUA1,39,129,102,22,1,0,0,0,0,0,6
AMACUZAC,9,437,BASICA,9,140,109,1,1,0,1,0,0,0,4
AMACUZAC,9,437,CONTIGUA1,10,115,96,2,0,0,1,0,0,0,9
AMACUZAC,9,311,GEOGRAFICA,20,84,71,7,1,0,1,0,0,0,5
AMACUZAC,10,491,BASICA,14,106,122,10,2,1,0,0,0,0,8
AMACUZAC,10,491,CONTIGUA1,16,91,133,11,0,0,0,0,0,0,8
AMACUZAC,11,603,BASICA,17,145,116,18,0,0,0,0,0,0,17
ATLATLAHUCAN,12,741,BASICA,56,179,27,3,180,0,0,0,0,0,14
ATLATLAHUCAN,12,741,CONTIGUA1,42,184,23,0,205,0,0,0,0,0,31
ATLATLAHUCAN,13,642,BASICA,39,190,31,0,174,0,0,0,0,0,17
ATLATLAHUCAN,13,642,CONTIGUA1,42,174,21,1,172,0,0,0,0,0,17
ATLATLAHUCAN,14,576,BASICA,17,152,12,0,160,0,0,0,0,0,18
ATLATLAHUCAN,14,577,CONTIGUA1,21,148,14,0,170,0,0,0,0,0,12
ATLATLAHUCAN,15,478,BASICA,14,117,20,2,113,0,0,0,0,0,20
ATLATLAHUCAN,15,479,CONTIGUA1,11,87,26,0,145,0,0,0,0,0,0
ATLATLAHUCAN,16,473,BASICA,10,149,13,0,119,0,0,0,0,0,22
ATLATLAHUCAN,17,738,BASICA,12,169,15,0,251,0,0,0,0,0,30
ATLATLAHUCAN,18,520,BASICA,23,99,45,0,174,0,0,2,0,0,14
ATLATLAHUCAN,19,734,BASICA,26,233,37,3,176,0,1,0,0,0,16
ATLATLAHUCAN,20,267,BASICA,113,37,18,2,20,0,0,0,0,0,0
ATLATLAHUCAN,21,242,BASICA,105,36,17,0,7,4,0,1,0,0,1
