Clave,MUNICIPIO:    ,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,NULOS,TOTAL
37,IGUALA DE LA INDEPENDENCIA,1558,B,2,123,109,0,9,0,4,247
37,IGUALA DE LA INDEPENDENCIA,1559,B,1,115,139,0,1,0,8,264
37,IGUALA DE LA INDEPENDENCIA,1560,B,5,125,111,0,3,0,5,249
37,IGUALA DE LA INDEPENDENCIA,1561,B,0,40,30,0,0,0,0,70
37,IGUALA DE LA INDEPENDENCIA,1562,B,0,145,78,0,2,2,5,232
37,IGUALA DE LA INDEPENDENCIA,1562,C,0,172,88,0,1,0,2,263
37,IGUALA DE LA INDEPENDENCIA,1563,B,0,214,87,0,1,3,1,306
37,IGUALA DE LA INDEPENDENCIA,1564,B,2,136,71,0,2,0,6,217
,,,,,,,,,,,
38,IGUALAPA,1565,B,0,247,232,0,0,0,13,492
38,IGUALAPA,1566,B,0,224,90,0,0,0,13,327
38,IGUALAPA,1571,B,0,103,87,0,0,0,5,195
38,IGUALAPA,1568,EX,0,167,37,0,0,0,9,213
38,IGUALAPA,1567,B,0,228,149,0,0,0,19,396
38,IGUALAPA,1568,B,0,206,184,0,0,0,22,412
38,IGUALAPA,1569,B,0,234,239,0,0,0,25,498
38,IGUALAPA,1570,B,0,114,131,0,0,0,4,249
38,IGUALAPA,1572,B,0,111,172,0,0,0,3,286
38,IGUALAPA,1573,B,0,118,104,0,0,0,4,226
38,IGUALAPA,1574,B,0,80,67,0,0,4,2,153
38,IGUALAPA,1575,B,0,220,158,0,0,7,17,402
,,,,,,,,,,,
39,IXCATEOPAN DE CUAUHTEMOC,1576,B,0,199,173,0,0,0,2,374
39,IXCATEOPAN DE CUAUHTEMOC,1576,E,0,0,0,0,0,0,0,0
39,IXCATEOPAN DE CUAUHTEMOC,1576,C,0,186,161,0,0,0,1,348
39,IXCATEOPAN DE CUAUHTEMOC,1577,B,0,234,248,0,0,0,8,490
39,IXCATEOPAN DE CUAUHTEMOC,1578,B,0,49,57,0,0,0,3,109
39,IXCATEOPAN DE CUAUHTEMOC,1579,B,0,49,52,0,0,0,0,101
39,IXCATEOPAN DE CUAUHTEMOC,1580,B,0,96,118,0,0,0,3,217
39,IXCATEOPAN DE CUAUHTEMOC,1581,B,0,52,17,0,0,0,3,72
39,IXCATEOPAN DE CUAUHTEMOC,1582,B,0,91,92,0,0,0,6,189
39,IXCATEOPAN DE CUAUHTEMOC,1583,B,0,65,45,0,0,0,5,115
39,IXCATEOPAN DE CUAUHTEMOC,1584,B,0,124,83,0,0,0,4,211
39,IXCATEOPAN DE CUAUHTEMOC,1585,B,0,101,104,0,0,0,4,209
39,IXCATEOPAN DE CUAUHTEMOC,1586,B,0,65,17,0,0,0,3,85
39,IXCATEOPAN DE CUAUHTEMOC,1587,B,0,106,115,0,0,0,4,225
39,IXCATEOPAN DE CUAUHTEMOC,1588,B,0,138,102,0,0,0,1,431
,,,,,,,,,,,
40,JOSE AZUETA,1589,B,1,85,146,0,3,1,5,241
40,JOSE AZUETA,1589,C,2,99,133,0,1,1,3,239
40,JOSE AZUETA,1590,CA,3,120,145,0,2,0,1,271
40,JOSE AZUETA,1590,CB,2,133,120,0,2,0,10,267
40,JOSE AZUETA,1590,CC,4,130,152,0,2,1,5,294
40,JOSE AZUETA,1590,CD,1,117,136,0,6,2,3,265
40,JOSE AZUETA,1590,B,2,120,153,0,2,0,2,279
40,JOSE AZUETA,1591,B,2,106,175,0,1,0,5,289
40,JOSE AZUETA,1592,B,3,100,104,0,1,0,7,215
40,JOSE AZUETA,1592,C,3,108,94,0,0,0,5,210
40,JOSE AZUETA,1593,B,4,85,126,0,1,1,4,221
40,JOSE AZUETA,1593,C,4,106,123,0,1,1,4,239
40,JOSE AZUETA,1594,B,9,162,171,0,0,0,14,356
40,JOSE AZUETA,1594,C,4,177,175,0,6,1,14,377
40,JOSE AZUETA,1595,B,5,116,109,0,0,0,0,230
40,JOSE AZUETA,1595,C,2,117,97,0,1,4,6,227
40,JOSE AZUETA,1596,B,6,106,103,0,4,0,3,222
40,JOSE AZUETA,1597,B,5,126,97,0,0,0,1,229
40,JOSE AZUETA,1598,B,3,158,130,0,2,6,5,304
40,JOSE AZUETA,1599,B,3,92,80,0,2,11,1,189
40,JOSE AZUETA,1599,C,1,85,80,0,0,4,2,172
40,JOSE AZUETA,1600,B,3,52,113,0,1,1,3,173
40,JOSE AZUETA,1600,C,0,61,105,0,4,1,1,172
40,JOSE AZUETA,1601,B,5,102,156,0,1,0,1,265
40,JOSE AZUETA,1602,B,6,117,112,0,3,0,3,241
40,JOSE AZUETA,1603,B,1,89,71,0,1,1,1,164
40,JOSE AZUETA,1603,C,0,97,81,0,2,0,2,182
40,JOSE AZUETA,1604,B,1,97,96,0,2,0,0,196
40,JOSE AZUETA,1605,B,2,116,156,0,4,0,4,282
40,JOSE AZUETA,1606,B,0,78,105,0,5,2,1,191
40,JOSE AZUETA,1606,C,3,86,103,0,0,0,1,193
40,JOSE AZUETA,1607,B,3,85,121,0,2,1,6,218
40,JOSE AZUETA,1607,C,3,94,99,0,2,0,4,202
40,JOSE AZUETA,1607,E,0,0,0,0,0,0,0,0
40,JOSE AZUETA,1608,B,1,94,123,0,5,0,1,224
40,JOSE AZUETA,1608,C,2,90,129,0,1,1,1,224
40,JOSE AZUETA,1609,CA,9,88,128,0,6,10,3,244
40,JOSE AZUETA,1609,CB,0,84,132,0,1,9,0,226
40,JOSE AZUETA,1609,B,4,101,131,0,3,4,5,248
40,JOSE AZUETA,1610,B,3,134,78,0,2,3,3,223
40,JOSE AZUETA,1610,C,2,112,75,0,4,2,2,197
40,JOSE AZUETA,1611,B,6,255,316,0,2,4,11,594
40,JOSE AZUETA,1611,C,1,150,162,0,2,1,7,323
40,JOSE AZUETA,1612,B,2,111,107,0,1,1,0,222
40,JOSE AZUETA,1612,C,1,107,120,0,2,5,4,239
40,JOSE AZUETA,1613,B,3,117,111,0,2,1,4,238
40,JOSE AZUETA,1613,C,2,138,116,0,0,1,0,257
40,JOSE AZUETA,1614,B,1,155,100,0,0,1,6,263
40,JOSE AZUETA,1614,C,2,152,92,0,0,0,4,250
40,JOSE AZUETA,1615,B,2,290,137,0,4,1,4,438
40,JOSE AZUETA,1616,B,2,167,107,0,3,1,4,284
40,JOSE AZUETA,1616,C,1,182,111,0,0,0,2,296
40,JOSE AZUETA,1617,B,4,130,159,0,1,0,5,299
40,JOSE AZUETA,1617,C,2,127,165,0,2,0,5,301
40,JOSE AZUETA,1618,B,3,76,104,0,1,0,2,186
40,JOSE AZUETA,1619,B,3,135,140,0,2,2,4,286
40,JOSE AZUETA,1619,C,4,158,154,0,2,6,0,324
40,JOSE AZUETA,1620,B,1,72,124,0,1,1,1,200
40,JOSE AZUETA,1620,C,1,96,101,0,2,0,0,200
40,JOSE AZUETA,1621,B,1,97,112,0,6,2,3,221
40,JOSE AZUETA,1622,B,5,71,101,0,5,4,2,188
40,JOSE AZUETA,1623,B,1,34,48,0,1,1,2,87
40,JOSE AZUETA,1624,B,4,138,95,0,4,8,1,250
40,JOSE AZUETA,1625,B,1,180,147,0,2,2,4,336
40,JOSE AZUETA,1626,B,1,46,84,0,2,0,2,135
40,JOSE AZUETA,1627,B,0,144,18,0,0,1,7,170
40,JOSE AZUETA,1628,B,1,176,127,0,4,1,7,316
40,JOSE AZUETA,1628,C,3,172,116,0,4,0,15,310
40,JOSE AZUETA,1629,B,2,213,114,0,0,1,12,342
40,JOSE AZUETA,1630,B,1,43,18,0,0,0,1,63
40,JOSE AZUETA,1631,B,0,73,78,0,0,1,2,154
40,JOSE AZUETA,1632,B,1,232,77,0,1,1,2,314
40,JOSE AZUETA,1633,B,0,106,57,0,0,0,10,173
40,JOSE AZUETA,1634,B,1,37,7,0,0,0,3,48
40,JOSE AZUETA,1635,B,2,122,100,0,2,0,4,230
40,JOSE AZUETA,1635,C,4,134,99,0,1,0,8,246
40,JOSE AZUETA,1636,B,3,119,112,0,3,1,13,251
40,JOSE AZUETA,1636,C,3,135,103,0,1,0,5,247
40,JOSE AZUETA,1637,B,0,80,20,0,1,0,3,104
40,JOSE AZUETA,1638,EX,6,74,57,0,0,0,10,147
40,JOSE AZUETA,1638,B,2,147,94,0,2,1,5,251
40,JOSE AZUETA,1639,B,4,187,89,0,2,4,5,291
40,JOSE AZUETA,1640,B,2,77,92,0,0,0,10,181
40,JOSE AZUETA,1640,C,2,84,93,0,1,0,3,183
40,JOSE AZUETA,1641,B,4,155,111,0,2,0,12,284
40,JOSE AZUETA,1641,C,0,140,146,0,2,0,3,291
40,JOSE AZUETA,1642,B,1,146,37,0,0,0,3,187
40,JOSE AZUETA,1643,EX,9,166,200,0,2,9,3,389
40,JOSE AZUETA,1643,B,2,122,57,0,1,0,5,187
40,JOSE AZUETA,1644,B,14,121,108,0,7,0,1,251
40,JOSE AZUETA,1644,E,0,0,0,0,0,0,0,0
40,JOSE AZUETA,1645,B,5,97,114,0,2,0,3,221
40,JOSE AZUETA,1646,B,5,144,110,0,4,2,6,271
40,JOSE AZUETA,1646,C,3,151,130,0,1,0,6,291
40,JOSE AZUETA,1647,B,2,143,198,0,2,0,12,357
40,JOSE AZUETA,1647,C,4,145,197,0,0,0,0,346
40,JOSE AZUETA,1648,B,5,142,121,0,1,0,5,274
40,JOSE AZUETA,1648,C,1,172,117,0,1,0,6,297
40,JOSE AZUETA,1649,B,1,246,94,0,3,0,4,348
40,JOSE AZUETA,1650,B,3,191,62,0,1,1,6,264
40,JOSE AZUETA,1651,B,5,173,90,0,1,0,0,269
40,JOSE AZUETA,1652,B,4,135,122,0,2,0,2,265
40,JOSE AZUETA,1653,B,5,202,124,0,0,0,3,334
,,,,,,,,,,,
41,JUAN R. ESCUDERO,1654,B,2,60,129,0,0,0,0,191
41,JUAN R. ESCUDERO,1654,C,3,67,122,0,1,0,0,193
41,JUAN R. ESCUDERO,1655,B,9,68,115,0,1,0,0,193
41,JUAN R. ESCUDERO,1655,C,5,70,106,0,0,0,0,181
41,JUAN R. ESCUDERO,1656,B,7,86,214,0,0,0,0,307
41,JUAN R. ESCUDERO,1656,E,0,0,0,0,0,0,0,0
41,JUAN R. ESCUDERO,1656,C,16,92,171,0,0,0,0,279
41,JUAN R. ESCUDERO,1657,B,18,86,121,0,1,0,0,226
41,JUAN R. ESCUDERO,1657,C,22,91,115,0,0,0,0,228
41,JUAN R. ESCUDERO,1658,B,13,92,167,0,0,0,0,272
41,JUAN R. ESCUDERO,1659,B,5,90,113,0,1,0,0,209
41,JUAN R. ESCUDERO,1659,C,9,97,103,0,1,0,0,210
41,JUAN R. ESCUDERO,1660,B,11,160,186,0,1,0,0,358
41,JUAN R. ESCUDERO,1661,B,23,132,178,0,1,0,0,334
41,JUAN R. ESCUDERO,1662,B,1,152,119,0,2,0,0,274
41,JUAN R. ESCUDERO,1663,B,10,147,95,0,1,0,0,253
41,JUAN R. ESCUDERO,1664,B,4,102,79,0,1,0,0,186
41,JUAN R. ESCUDERO,1665,B,7,180,126,0,17,0,0,330
41,JUAN R. ESCUDERO,1666,B,3,198,102,0,0,0,0,303
41,JUAN R. ESCUDERO,1667,B,5,207,127,0,1,0,0,340
41,JUAN R. ESCUDERO,1668,B,2,62,110,0,2,0,0,176
41,JUAN R. ESCUDERO,1669,B,11,48,72,0,0,0,0,131
41,JUAN R. ESCUDERO,1670,B,8,94,68,0,0,0,0,170
41,JUAN R. ESCUDERO,1671,B,1,29,24,0,0,0,0,54
41,JUAN R. ESCUDERO,1672,B,1,30,84,0,0,0,0,115
41,JUAN R. ESCUDERO,1673,B,1,15,47,0,0,0,0,63
41,JUAN R. ESCUDERO,1674,B,33,185,81,0,0,0,0,299
41,JUAN R. ESCUDERO,1674,C,32,139,132,0,0,0,0,303
41,JUAN R. ESCUDERO,1675,B,8,75,44,0,0,0,0,127
41,JUAN R. ESCUDERO,1676,B,4,169,157,0,1,0,0,331
41,JUAN R. ESCUDERO,1676,C,6,196,130,0,2,0,0,334
,,,,,,,,,,0,
,,,,,,,,,,,
42,LEONARDO BRAVO,1677,B,0,108,115,0,0,0,0,223
42,LEONARDO BRAVO,1677,C,0,93,132,0,0,0,0,225
42,LEONARDO BRAVO,1678,B,0,89,156,0,0,0,0,245
42,LEONARDO BRAVO,1678,C,0,84,172,0,0,0,0,256
42,LEONARDO BRAVO,1679,B,0,85,143,0,0,0,0,228
42,LEONARDO BRAVO,1680,B,0,115,199,0,0,0,0,314
42,LEONARDO BRAVO,1680,C,0,124,196,0,0,0,0,320
42,LEONARDO BRAVO,1681,B,0,137,72,0,0,0,0,209
42,LEONARDO BRAVO,1681,C,0,128,70,0,0,0,0,198
42,LEONARDO BRAVO,1682,B,0,171,127,0,0,0,0,298
