ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PT_MORENA_ES,C_COMUN_PRI_PVEM_NA,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,Sonora,1,SAN LUIS RÍO COLORADO,79,184,,,,,,1048,,,,601,9792,,18384,10248,,,2133,,,,42206,53,1300,43559,101463,
26,Sonora,2,PUERTO PEÑASCO,30,147,,,,,,1140,,,,1031,10451,,15173,9523,,,,,,,37318,58,1417,38793,94602,
26,Sonora,3,CABORCA,67,165,,,,,,3824,,,,576,7441,14171,20842,,,,,,,,46854,33,2234,49121,92005,
26,Sonora,4,NOGALES,77,180,,,,,,4739,,,,581,11002,12144,19923,,,,,,,,48389,16,1611,50016,108586,
26,Sonora,5,NOGALES,71,179,,,,,,4297,,,,553,11404,10579,16358,,,,,,,,43191,39,1515,44745,106168,
26,Sonora,6,HERMOSILLO,65,166,,,,,,3569,,,,1138,8228,17471,21295,,,,,,,,51701,59,1621,53381,100321,
26,Sonora,7,AGUA PRIETA,59,177,,,,,,2200,,,,1118,14866,15598,17153,,,,,,,,50935,11,1847,52793,105423,
26,Sonora,8,HERMOSILLO,75,163,,,,,,3493,,,,615,6434,8901,20367,,,,,1484,,,41294,80,1234,42608,97314,
26,Sonora,9,HERMOSILLO,93,193,,,,,,4084,,,,1143,9259,16604,18698,,,,,,,,49788,24,1677,51489,111515,
26,Sonora,10,HERMOSILLO,40,150,,,,,,3579,,,,1233,8046,15286,21705,,,,,,,,49849,34,1740,51623,99598,
26,Sonora,11,HERMOSILLO,77,167,,,,,,2344,,,,729,4779,14090,19083,,,,,,,,41025,60,1305,42390,94849,
26,Sonora,12,HERMOSILLO,65,165,,,,,,3491,,,,1254,8094,13269,19786,,,,,,,,45894,35,1349,47278,96441,
26,Sonora,13,GUAYMAS,76,175,,,,,,1812,,,,1335,7828,,23531,10753,,,,,3088,,48347,43,1273,49663,96727,
26,Sonora,14,EMPALME,65,153,,,,,,2218,,,,1303,5830,,20413,7555,,,,,,,37319,11,1323,38653,88292,
26,Sonora,15,CD. OBREGÓN,77,192,,,,,,3412,,,,863,2502,14169,26938,,4136,,,,,,52020,41,1556,53617,107171,
26,Sonora,16,CD. OBREGÓN,82,184,,,,,,5939,,,,411,4152,11496,21833,,,8183,,,,,52014,91,1666,53771,105320,
26,Sonora,17,CD. OBREGÓN,60,176,,,,,,3985,,,,581,3110,10871,29388,,,,,,,6295,54230,39,1463,55732,107956,
26,Sonora,18,SANTA ANA,142,233,,,,,2842,2757,,15397,610,1912,20222,,,29895,,,,,,,73635,25,3485,77145,114519,
26,Sonora,19,NAVOJOA,55,153,,,,,,868,,,,521,5465,16329,24456,,,,,,,,47639,19,1285,48943,93366,
26,Sonora,20,ETCHOJOA,73,160,,,,,,979,,,,290,6944,16099,24356,,,,,,,,48668,14,1795,50477,87674,
26,Sonora,21,HUATABAMPO,85,174,,,,,,4815,,,,626,13340,,19174,16186,,,,,,,54141,6,2705,56852,92378,
