ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,Sonora,1,SAN LUIS RÍO COLORADO,79,184,8918,0,721,0,1508,1048,0,15207,931,601,153,,,,,371,195,38,134,10248,,,2133,,,,42206,53,1300,43559,101463,
26,Sonora,2,PUERTO PEÑASCO,30,147,9562,0,715,0,1285,1140,0,12652,669,1031,174,,,,,274,167,28,98,9523,,,,,,,37318,58,1417,38793,94602,
26,Sonora,3,CABORCA,67,165,6314,11672,915,1032,1301,3824,798,18199,602,576,212,344,257,47,21,370,239,28,103,,,,,,,,46854,33,2234,49121,92005,
26,Sonora,4,NOGALES,77,180,9825,9964,939,811,1384,4739,843,17393,668,581,238,278,169,68,11,249,162,27,40,,,,,,,,48389,16,1611,50016,108586,
26,Sonora,5,NOGALES,71,179,10146,8916,992,675,1073,4297,547,14466,327,553,266,218,168,45,10,227,186,22,57,,,,,,,,43191,39,1515,44745,106168,
26,Sonora,6,HERMOSILLO,65,166,7521,14729,568,1094,1242,3569,1025,18725,691,1138,139,288,263,49,23,332,195,17,93,,,,,,,,51701,59,1621,53381,100321,
26,Sonora,7,AGUA PRIETA,59,177,13495,12873,1133,869,2316,2200,1067,13726,559,1118,238,382,289,91,27,211,237,36,68,,,,,,,,50935,11,1847,52793,105423,
26,Sonora,8,HERMOSILLO,75,163,5815,7113,522,777,1081,3493,663,18243,513,615,97,157,160,18,13,286,139,13,92,,,,,1484,,,41294,80,1234,42608,97314,
26,Sonora,9,HERMOSILLO,93,193,8617,13355,450,1276,976,4084,1398,16656,554,1143,192,297,200,52,26,271,141,14,86,,,,,,,,49788,24,1677,51489,111515,
26,Sonora,10,HERMOSILLO,40,150,7373,12389,547,1162,1258,3579,1055,19176,632,1233,126,321,296,46,17,358,174,10,97,,,,,,,,49849,34,1740,51623,99598,
26,Sonora,11,HERMOSILLO,77,167,4262,11550,449,991,1261,2344,940,16668,503,729,68,275,252,65,17,378,170,20,83,,,,,,,,41025,60,1305,42390,94849,
26,Sonora,12,HERMOSILLO,65,165,7467,10839,490,951,1306,3491,978,17324,558,1254,137,214,222,45,20,271,192,15,120,,,,,,,,45894,35,1349,47278,96441,
26,Sonora,13,GUAYMAS,76,175,6506,0,1136,0,2989,1812,0,18938,548,1335,186,,,,,488,374,50,144,10753,,,,,3088,,48347,43,1273,49663,96727,
26,Sonora,14,EMPALME,65,153,3021,0,2603,0,1748,2218,0,17356,494,1303,206,,,,,416,263,28,108,7555,,,,,,,37319,11,1323,38653,88292,
26,Sonora,15,CD. OBREGÓN,77,192,1887,11270,548,1085,1188,3412,1170,24279,505,863,67,356,210,59,19,540,221,24,181,,4136,,,,,,52020,41,1556,53617,107171,
26,Sonora,16,CD. OBREGÓN,82,184,3539,9145,552,1127,1319,5939,728,19262,416,411,61,225,199,35,37,435,235,22,144,,,8183,,,,,52014,91,1666,53771,105320,
26,Sonora,17,CD. OBREGÓN,60,176,2459,8774,593,810,1196,3985,910,26853,487,581,58,200,134,33,10,486,230,15,121,,,,,,,6295,54230,39,1463,55732,107956,
26,Sonora,18,SANTA ANA,142,233,17650,0,2019,0,2842,2757,0,15397,610,1912,553,,,,,,,,,29895,,,,,,,73635,25,3485,77145,114519,
26,Sonora,19,NAVOJOA,55,153,4728,14019,644,862,1096,868,876,22234,368,521,93,266,233,53,20,360,254,27,117,,,,,,,,47639,19,1285,48943,93366,
26,Sonora,20,ETCHOJOA,73,160,5007,13805,1728,520,1412,979,947,21555,444,290,209,397,331,83,16,468,287,30,160,,,,,,,,48668,14,1795,50477,87674,
26,Sonora,21,HUATABAMPO,85,174,5640,0,618,0,835,4815,0,7341,175,626,7082,,,,,10642,105,23,53,16186,,,,,,,54141,6,2705,56852,92378,
