CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,Sonora,18,SANTA ANA,1,ACONCHI,1,B,1,0,B,104,0,6,0,6,1,0,47,3,1,2,,,,,,,,,206,,,,,,,376,0,20,396,542,Acta Casilla,,,
1,26,Sonora,18,SANTA ANA,1,ACONCHI,1,C,1,0,C01,135,0,4,0,1,2,0,52,0,0,3,,,,,,,,,175,,,,,,,372,0,14,386,541,Acta Casilla,,,
1,26,Sonora,18,SANTA ANA,1,ACONCHI,1,C,2,0,C02,101,0,3,0,4,2,0,68,1,3,5,,,,,,,,,191,,,,,,,378,0,13,391,541,Acta Casilla,,,
1,26,Sonora,18,SANTA ANA,1,ACONCHI,2,B,1,0,B,124,0,8,0,1,4,0,38,3,2,4,,,,,,,,,106,,,,,,,290,0,16,306,404,Acta Casilla,,,
1,26,Sonora,18,SANTA ANA,1,ACONCHI,2,C,1,0,C01,131,0,7,0,4,5,0,51,1,0,3,,,,,,,,,77,,,,,,,279,0,18,297,403,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,3,B,1,0,B,120,66,9,8,6,5,5,77,4,1,1,0,1,0,0,0,0,0,0,,,,,,,,303,1,17,321,660,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,3,C,1,0,C01,128,92,3,9,6,1,1,56,2,0,2,1,7,0,0,1,1,0,0,,,,,,,,310,0,13,323,659,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,4,B,1,0,B,62,43,4,4,4,0,1,44,0,0,1,2,0,0,0,3,0,0,0,,,,,,,,168,0,7,175,356,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,5,B,1,0,B,129,77,2,2,4,4,4,51,2,7,0,3,3,0,1,2,1,0,1,,,,,,,,293,0,5,298,621,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,6,B,1,0,B,127,59,4,3,8,3,4,79,4,2,0,1,2,0,0,0,0,0,0,,,,,,,,296,0,11,307,635,Acta Casilla,,,
