ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
4,CAMPECHE,1,CAMPECHE,146,349,24697,40204,5620,2695,1919,2095,8999,13178,1918,3730,2269,,,107324,4525,111849,193978,0.5766
4,CAMPECHE,2,CALKINI,36,76,1937,9640,358,773,235,649,4089,9595,261,970,363,,,28870,808,29678,38336,0.7741
4,CAMPECHE,3,CARMEN,135,285,34851,24763,3656,1491,1228,916,1540,9044,973,1137,1586,105,,81290,2629,83919,167626,0.5006
4,CAMPECHE,4,CHAMPOTON,56,112,8355,17834,2186,591,1013,704,1895,4201,260,278,787,,,38104,1588,39692,60337,0.6578
4,CAMPECHE,5,HECELCHAKAN,18,36,5924,3521,192,225,51,102,1398,919,79,3416,295,,,16122,523,16645,20658,0.8057
4,CAMPECHE,6,HOPELCHEN,33,51,6929,8253,144,70,277,176,1358,604,63,29,510,,,18413,458,18871,25321,0.7453
4,CAMPECHE,7,PALIZADA,10,13,2929,2113,19,65,14,10,71,41,3,3,172,,,5440,93,5533,6891,0.8029
4,CAMPECHE,8,TENABO,7,14,2461,2880,36,69,18,12,235,159,13,40,281,,,6204,115,6319,7457,0.8474
4,CAMPECHE,9,ESCARCEGA,36,70,7298,7859,1373,438,297,812,506,2058,190,131,656,,,21618,780,22398,37448,0.5981
4,CAMPECHE,10,CANDELARIA,30,56,11674,5898,131,70,134,234,126,273,33,76,199,,,18848,457,19305,28778,0.6708
4,CAMPECHE,11,CALAKMUL,18,37,5189,4830,326,82,143,185,429,280,25,28,360,,,11877,375,12252,16780,0.7301
