municipality,section,PAN,PRI,PRD,MC,NA,PVEM,PT,PRI-PVEM-NA,PRI-PVEM,PRI-NA,Nulos,Validos,Total, ,
AMEALCO DE BONFIL,1,312,0,8,7,18,0,0,0,384,0,32,729,761, ,
AMEALCO DE BONFIL,2,233,0,11,5,13,0,0,0,325,0,22,587,609, ,
AMEALCO DE BONFIL,3,311,0,23,10,32,0,0,0,522,0,21,898,919, ,
AMEALCO DE BONFIL,4,403,0,21,13,43,0,0,0,556,0,38,1036,1074, ,
AMEALCO DE BONFIL,5,373,0,21,9,33,0,0,0,506,0,50,942,992, ,
AMEALCO DE BONFIL,6,274,0,13,4,18,0,0,0,202,0,47,511,558, ,
AMEALCO DE BONFIL,7,134,0,21,7,11,0,0,0,201,0,37,374,411, ,
AMEALCO DE BONFIL,8,350,0,17,8,7,0,0,0,253,0,57,635,692, ,
AMEALCO DE BONFIL,9,472,0,23,6,17,0,0,0,253,0,85,771,856, ,
AMEALCO DE BONFIL,10,242,0,9,7,17,0,0,0,265,0,20,540,560, ,
AMEALCO DE BONFIL,11,390,0,20,5,27,0,0,0,331,0,33,773,806, ,
AMEALCO DE BONFIL,12,208,0,20,7,18,0,0,0,235,0,22,488,510, ,
AMEALCO DE BONFIL,13,614,0,20,6,21,0,0,0,324,0,43,985,1028, ,
AMEALCO DE BONFIL,14,599,0,31,8,35,0,0,0,586,0,104,1259,1363, ,
AMEALCO DE BONFIL,15,496,0,29,9,33,0,0,0,378,0,69,945,1014, ,
AMEALCO DE BONFIL,16,427,0,22,11,13,0,0,0,189,0,21,662,683, ,
AMEALCO DE BONFIL,17,478,0,11,7,15,0,0,0,276,0,39,787,826, ,
AMEALCO DE BONFIL,18,189,0,6,4,4,0,0,0,185,0,32,388,420, ,
AMEALCO DE BONFIL,19,898,0,72,8,67,0,0,0,468,0,72,1513,1585, ,
AMEALCO DE BONFIL,20,336,0,11,4,19,0,0,0,143,0,34,513,547, ,
AMEALCO DE BONFIL,21,120,0,24,5,30,0,0,0,139,0,17,318,335, ,
AMEALCO DE BONFIL,22,375,0,36,15,30,0,0,0,571,0,107,1027,1134, ,
AMEALCO DE BONFIL,23,534,0,35,14,40,0,0,0,483,0,34,1106,1140, ,
AMEALCO DE BONFIL,24,565,0,77,241,19,0,0,0,298,0,93,1200,1293, ,
AMEALCO DE BONFIL,25,488,0,15,7,20,0,0,0,313,0,48,843,891, ,
AMEALCO DE BONFIL,26,414,0,22,8,15,0,0,0,309,0,77,768,845, ,
AMEALCO DE BONFIL,27,297,0,17,3,7,0,0,0,161,0,54,485,539, ,
AMEALCO DE BONFIL,28,252,0,4,2,2,0,0,0,264,0,35,524,559, ,
AMEALCO DE BONFIL,29,196,0,18,3,24,0,0,0,176,0,41,417,458,,
AMEALCO DE BONFIL,30,332,0,17,5,64,0,0,0,284,0,40,702,742,,
AMEALCO DE BONFIL,31,191,0,10,0,14,0,0,0,144,0,0,359,359,,
AMEALCO DE BONFIL,32,270,0,23,3,39,0,0,0,258,0,12,593,605,,
AMEALCO DE BONFIL,33,387,0,76,4,83,0,0,0,445,0,102,995,1097,,
AMEALCO DE BONFIL,34,216,0,13,4,11,0,0,0,181,0,30,425,455,,
ARROYO SECO,35,271,624,195,0,0,0,0,0,0,0,28,1090,1118,,
ARROYO SECO,36,117,188,135,0,0,0,0,0,0,0,16,440,456,,
ARROYO SECO,37,65,76,35,0,0,0,0,0,0,0,5,176,181,,
ARROYO SECO,38,17,49,64,0,0,0,0,0,0,0,5,130,135,,
ARROYO SECO,39,255,637,394,0,0,0,0,0,0,0,51,1286,1337,,
ARROYO SECO,40,57,58,48,0,0,0,0,0,0,0,11,163,174,,
ARROYO SECO,41,200,244,210,0,0,0,0,0,0,0,28,654,682,,
ARROYO SECO,42,159,229,235,0,0,0,0,0,0,0,21,623,644,,
ARROYO SECO,43,142,298,164,0,0,0,0,0,0,0,22,604,626,,
ARROYO SECO,44,42,109,95,0,0,0,0,0,0,0,6,246,252,,
ARROYO SECO,45,248,538,724,0,0,0,0,0,0,0,57,1510,1567,,
CADEREYTA DE MONTES,46,575,0,31,57,0,71,182,0,0,692,109,1608,1717,,
CADEREYTA DE MONTES,47,442,0,24,24,0,47,107,0,0,497,102,1141,1243, ,
CADEREYTA DE MONTES,48,319,0,15,30,0,16,67,0,0,394,38,841,879, ,
CADEREYTA DE MONTES,49,512,0,8,27,0,35,82,0,0,587,72,1251,1323, ,
CADEREYTA DE MONTES,50,433,0,27,71,0,53,123,0,0,774,80,1481,1561, ,
CADEREYTA DE MONTES,51,364,0,16,163,0,36,66,0,0,511,70,1156,1226, ,
CADEREYTA DE MONTES,52,96,0,12,4,0,21,17,0,0,242,64,392,456, ,
