id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN ,PRI ,PRD ,PT ,PVEM ,PC ,PSN ,PAS ,ADC ,Mexico Posible,Fuerza Ciudadana,Nulos,total
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,TECOMAN,,9,TECOMAN,700,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,312,124,93,22,0,0,0,1,8,31,0,0,8,287
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,TECOMAN,,9,TECOMAN,517,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,314,130,73,9,8,0,0,0,3,12,0,5,5,245
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,TECOMAN,,9,TECOMAN,655,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,321,101,59,81,6,0,0,0,0,60,0,0,27,334
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,TECOMAN,,9,TECOMAN,504,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,324,96,97,19,4,0,0,0,10,11,0,0,9,246
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,TECOMAN,,9,TECOMAN,190,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,331,33,30,27,1,0,0,0,0,1,0,0,3,95
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,TECOMAN,,9,TECOMAN,612,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,334,36,86,54,3,0,0,0,21,26,0,0,10,236
6,6/7/2003,12,Ayuntamientos,6,0,1,C,Contigua,0,TECOMAN,,9,TECOMAN,612,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,334,67,87,37,2,0,0,0,10,31,0,1,7,242
6,6/7/2003,12,Ayuntamientos,6,0,3,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,738,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,138,68,181,43,7,6,0,0,0,1,3,1,16,326
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,721,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,140,92,167,52,15,3,0,0,2,13,2,3,10,359
6,6/7/2003,12,Ayuntamientos,6,0,2,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,721,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,140,109,175,59,4,6,0,0,0,13,1,3,4,374
6,6/7/2003,12,Ayuntamientos,6,0,1,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,421,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,141,71,125,35,2,3,0,0,1,9,0,1,2,249
6,6/7/2003,12,Ayuntamientos,6,0,2,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,653,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,145,127,165,49,18,3,0,0,1,13,3,2,6,387
6,6/7/2003,12,Ayuntamientos,6,0,2,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,685,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,147,117,150,44,5,8,0,0,1,30,1,8,5,369
6,6/7/2003,12,Ayuntamientos,6,0,2,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,561,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,148,84,183,60,3,0,0,0,0,31,1,27,3,392
6,6/7/2003,12,Ayuntamientos,6,0,1,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,603,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,150,130,106,35,8,1,0,0,7,12,3,3,8,313
6,6/7/2003,12,Ayuntamientos,6,0,1,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,620,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,153,100,142,29,3,5,0,0,4,18,1,2,12,316
6,6/7/2003,12,Ayuntamientos,6,0,1,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,699,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,155,109,157,47,8,5,0,0,0,25,0,5,4,360
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,548,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,157,89,132,74,6,5,0,0,2,16,0,2,4,330
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,667,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,159,115,113,55,13,7,0,0,0,9,1,1,7,321
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,635,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,161,98,151,53,7,1,0,0,1,16,1,3,6,337
6,6/7/2003,12,Ayuntamientos,6,0,3,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,636,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,161,89,156,46,5,6,0,0,0,13,1,2,3,321
6,6/7/2003,12,Ayuntamientos,6,0,5,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,738,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,163,122,179,46,11,5,0,0,3,24,2,1,2,395
6,6/7/2003,12,Ayuntamientos,6,0,6,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,738,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,163,110,212,56,15,6,0,0,2,22,2,8,1,434
6,6/7/2003,12,Ayuntamientos,6,0,8,C,Contigua,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,738,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,163,120,184,55,15,6,0,0,1,14,2,6,3,406
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,581,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,165,106,174,22,10,7,0,0,2,20,1,3,5,350
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,VILLA DE ALVAREZ,,10,VILLA DE ALVAREZ,201,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,169,39,49,16,1,3,0,0,0,1,1,0,4,114
6,6/7/2003,12,Ayuntamientos,6,0,1,C,Contigua,0,COLIMA,,2,COLIMA,697,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,74,136,127,38,5,2,0,1,1,12,0,2,13,337
6,6/7/2003,12,Ayuntamientos,6,0,1,C,Contigua,0,COLIMA,,2,COLIMA,469,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,75,77,91,17,8,3,0,0,0,11,1,0,13,221
6,6/7/2003,12,Ayuntamientos,6,0,1,B,Basica,0,COLIMA,,2,COLIMA,490,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,84,44,153,11,0,3,0,0,0,41,0,0,24,276
6,6/7/2003,12,Ayuntamientos,6,0,1,C,Contigua,0,COLIMA,,2,COLIMA,395,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,89,61,99,9,1,0,0,0,0,4,1,0,7,182
6,6/7/2003,12,Ayuntamientos,6,0,1,C,Contigua,0,COMALA,,3,COMALA,745,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,92,265,150,36,8,0,0,3,0,0,0,0,6,468
6,6/7/2003,12,Ayuntamientos,6,0,1,C,Contigua,0,COMALA,,3,COMALA,493,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,100,171,109,18,2,0,0,0,0,0,7,0,8,315
