CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,170,B,57,82,57,135,5,8,0,5,14,2,0,0,365,5,370,580,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,170,C01,49,109,66,112,6,5,0,1,14,0,0,0,362,12,374,579,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,170,C02,49,91,62,116,4,4,0,2,11,1,0,0,340,6,346,579,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,171,B,62,60,57,110,2,4,0,11,12,2,0,0,320,12,332,506,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,171,C01,58,59,76,107,6,2,0,5,8,3,0,0,324,5,329,506,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,171,C02,52,53,56,112,4,5,0,7,18,3,0,0,310,13,323,505,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,172,B,31,61,44,86,10,1,0,4,9,1,0,0,247,8,255,402,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,172,C01,23,44,36,106,15,1,0,6,10,0,0,0,241,13,254,401,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,173,B,38,115,44,107,5,7,0,1,16,1,0,1,334,10,345,565,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,173,C01,49,92,53,110,5,4,0,6,8,3,0,0,330,11,341,564,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,174,B,49,73,49,58,2,4,0,0,72,1,0,0,308,10,318,470,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,174,C01,38,63,49,78,2,2,0,1,65,0,0,0,298,8,306,470,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,175,B,61,108,41,103,2,7,0,1,14,1,0,0,338,7,345,553,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,176,B,42,77,33,113,4,3,0,3,8,1,0,0,284,11,295,502,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,176,C01,39,78,51,123,7,2,0,1,13,0,0,0,314,6,320,502,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,177,B,55,74,60,127,5,5,0,15,33,0,0,0,374,14,388,639,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,177,C01,41,92,63,137,6,5,0,6,27,2,0,0,379,11,390,639,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,178,B,55,74,37,83,3,7,0,5,117,1,0,0,382,24,406,612,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,178,C01,50,60,33,125,5,3,0,7,122,0,0,0,405,10,415,611,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,179,B,36,64,24,93,4,3,0,11,46,0,0,0,281,18,299,433,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,179,C01,27,43,38,83,1,6,0,9,50,0,0,0,257,14,271,432,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,180,B,42,64,19,95,2,3,0,0,20,0,0,0,245,6,251,380,Acta Casilla,,,
